,Network_Existing_Generation_Full,Network_Line_In_Node_1_Node_6_cac1,Network_Line_In_Node_1_Node_6_cac2,Network_Line_In_Node_1_Node_6_cac3,Network_Line_In_Node_2_Node_3_cac1,Network_Line_In_Node_2_Node_3_cac2,Network_Line_In_Node_2_Node_3_cac3,Network_Line_In_Node_2_Node_6_cac1,Network_Line_In_Node_2_Node_6_cac2,Network_Line_In_Node_2_Node_6_cac3,Network_Line_In_Node_3_Node_4_cac1,Network_Line_In_Node_3_Node_4_cac2,Network_Line_In_Node_3_Node_4_cac3,Network_Line_In_Node_3_Node_6_cac1,Network_Line_In_Node_3_Node_6_cac2,Network_Line_In_Node_3_Node_6_cac3,Network_Line_In_Node_4_Node_5_cac1,Network_Line_In_Node_4_Node_5_cac2,Network_Line_In_Node_4_Node_5_cac3,Network_Line_In_Node_4_Node_6_cac1,Network_Line_In_Node_4_Node_6_cac2,Network_Line_In_Node_4_Node_6_cac3,Network_Line_In_Node_4_Node_9_cac1,Network_Line_In_Node_4_Node_9_cac2,Network_Line_In_Node_4_Node_9_cac3,Network_Line_In_Node_6_Node_7_cac1,Network_Line_In_Node_6_Node_7_cac2,Network_Line_In_Node_6_Node_7_cac3,Network_Line_In_Node_6_Node_8_cac1,Network_Line_In_Node_6_Node_8_cac2,Network_Line_In_Node_6_Node_8_cac3,Network_Line_In_Node_7_Node_8_cac1,Network_Line_In_Node_7_Node_8_cac2,Network_Line_In_Node_7_Node_8_cac3,Network_Line_In_Node_8_Node_9_cac1,Network_Line_In_Node_8_Node_9_cac2,Network_Line_In_Node_8_Node_9_cac3
0,1.65544,1.6534919,1.6515439,1.6495959,1.6529331,1.6507853,1.6486369,1.6459196,1.6367582,1.6275967,1.6546593,1.6538787,1.6530982,1.648189,1.6412966,1.6344043,0.07624779,0.08032664,0.07790418,1.6575829,1.660085,1.6625868,1.6496332,1.6438265,1.6380194,1.6485347,1.6416291,1.6347239,1.6572143,1.6593472,1.6614803,1.6556295,1.6558933,1.656299,1.6513345,1.647588,1.6438414
1,1.5056533,1.5033611,1.5010687,1.4987762,1.5035053,1.5013572,1.4992092,1.4964918,1.4873303,1.4781686,1.5048108,1.5039682,1.5031257,1.498761,1.4918687,1.4849764,0.07628654,0.08071085,0.07578704,1.5081552,1.5106571,1.5131587,1.4997425,1.4938314,1.4879204,1.498593,1.4915327,1.4844722,1.5077866,1.5099196,1.5120527,1.5060593,1.5064653,1.5068713,1.5019069,1.49816,1.4944135
2,1.2418216,1.239529,1.2372367,1.2349443,1.2396734,1.2375255,1.2353773,1.2326599,1.2234985,1.214337,1.2409787,1.2401363,1.2392938,1.2349293,1.228037,1.2211446,0.07628654,0.07783062,0.07261373,1.2443235,1.2468252,1.2493271,1.2359107,1.2299997,1.2240885,1.2347612,1.2277007,1.2206403,1.2439547,1.2460877,1.2482207,1.2422277,1.2426335,1.2430396,1.2380749,1.2343283,1.2305816
3,1.0063459,1.0040536,1.0017612,0.9994687,1.0041977,1.0020499,0.99990165,0.99718434,0.98802286,0.9788613,1.0055033,1.0046607,1.0038182,0.99945354,0.9925614,0.98566896,0.07628654,0.07490032,0.06965547,1.0088477,1.0113496,1.0138515,1.000435,0.9945238,0.98861283,0.9992855,0.9922251,0.9851647,1.0084791,1.010612,1.0127451,1.0067519,1.007158,1.007564,1.0025992,0.99885267,0.995106
4,0.83500725,0.8327149,0.8304225,0.82813007,0.8328592,0.83071125,0.82856315,0.8258458,0.81668425,0.8075227,0.8341647,0.8333221,0.8324795,0.82811505,0.8212227,0.8143304,0.07628654,0.0725354,0.067277335,0.8375091,0.84001094,0.8425128,0.8290963,0.8231853,0.81727433,0.82794696,0.82088643,0.81382614,0.8371403,0.8392734,0.84140646,0.8354133,0.83581924,0.8362253,0.8312607,0.8275141,0.8237675
5,0.77254283,0.7702505,0.7679581,0.7656657,0.77039486,0.76824695,0.7660988,0.76338136,0.7542198,0.74505836,0.7717002,0.77085763,0.77001506,0.7656506,0.75875825,0.7518659,0.07628654,0.07133828,0.06608979,0.77504474,0.7775465,0.7803095,0.7666319,0.76072085,0.7548099,0.76548254,0.7584221,0.75136167,0.7746759,0.776809,0.77894205,0.7729489,0.7733549,0.77376086,0.76879627,0.7650497,0.76130307
6,0.7851592,0.7828666,0.78057426,0.77828187,0.783011,0.780863,0.77871495,0.7759976,0.76683605,0.75767446,0.7843164,0.78347385,0.7826313,0.7782667,0.7713744,0.7644822,0.07628654,0.071387805,0.066154,0.7876609,0.7901626,0.7926902,0.77924806,0.77333707,0.7674262,0.77809876,0.77103823,0.7639778,0.78729206,0.78942525,0.7915583,0.7855651,0.785971,0.7863771,0.7814124,0.7776659,0.77391917
7,0.84166706,0.83937466,0.8370822,0.83479,0.83951896,0.83737093,0.83522284,0.8325055,0.823344,0.8141825,0.8408244,0.83998185,0.8391393,0.8347748,0.82788247,0.82099,0.07628654,0.07294569,0.06770307,0.84416896,0.8466707,0.84917253,0.8357561,0.82984513,0.82393414,0.8346066,0.8275463,0.8204859,0.8438001,0.84593326,0.8480663,0.842073,0.8424791,0.84288496,0.83792037,0.83417386,0.8304272
8,0.8091591,0.80686665,0.80457425,0.8022818,0.807011,0.80486304,0.8027149,0.7999975,0.7908359,0.7816745,0.80831647,0.8074739,0.80663127,0.8022668,0.79537445,0.7884821,0.07628654,0.07369263,0.06843214,0.8116609,0.81416273,0.8166645,0.80324817,0.79733706,0.79142624,0.8020987,0.7950383,0.7879779,0.8112921,0.81342524,0.8155582,0.8095652,0.80997103,0.81037706,0.8054125,0.8016658,0.7979192
9,0.87228036,0.869988,0.8676956,0.86540323,0.87013227,0.8679843,0.86583614,0.8631188,0.85395736,0.84479576,0.87143785,0.87059516,0.8697525,0.86538804,0.8584958,0.85160345,0.07628654,0.079123944,0.07382819,0.87478226,0.8772841,0.8801802,0.8663694,0.8604583,0.8545475,0.86522007,0.8581596,0.8510992,0.87441343,0.87654656,0.87867945,0.8726864,0.87309235,0.8734984,0.8685338,0.86478704,0.8610405
10,1.1173232,1.1154585,1.1135938,1.1117293,1.114665,1.1124743,1.110283,1.1079574,1.0988519,1.08985,1.1166872,1.1160512,1.1154155,1.1100774,1.1032063,1.0963812,0.080182485,0.082584195,0.07861417,1.1198894,1.1229228,1.1259559,1.1116037,1.1058843,1.1001648,1.1105542,1.1037853,1.0970162,1.1192019,1.1214768,1.1237873,1.1172868,1.1172504,1.1174994,1.1130515,1.1092472,1.1054424
11,1.2593008,1.2574363,1.2555715,1.2537068,1.2563463,1.2533917,1.2504373,1.2499349,1.2405689,1.2312032,1.2586648,1.2580289,1.257393,1.2520548,1.2448089,1.2375628,0.08087345,0.08303644,0.081093766,1.2613243,1.2633477,1.2650638,1.2535814,1.247862,1.2421426,1.2525319,1.245763,1.2389938,1.2611794,1.2630581,1.2649368,1.2592643,1.259228,1.2591916,1.2547938,1.2502869,1.2457799
12,1.2998401,1.2979755,1.2961107,1.2942462,1.2968855,1.2939311,1.2909764,1.2904742,1.2811085,1.2717425,1.2992041,1.2985682,1.2979321,1.2925942,1.2853482,1.2781023,0.08118229,0.08325407,0.081767894,1.3018636,1.3038089,1.3048433,1.2941207,1.2884012,1.2826818,1.2930712,1.2863022,1.2795333,1.3017188,1.3035975,1.3054761,1.2998037,1.2997671,1.2997309,1.2953333,1.290826,1.2863191
13,1.3849552,1.3830905,1.381226,1.3793613,1.3820007,1.3790463,1.3760915,1.3755893,1.3662236,1.3568577,1.3843192,1.3836833,1.3828297,1.3777093,1.3704633,1.3632172,0.08100291,0.08312756,0.082382664,1.3869787,1.3885189,1.3895537,1.3792359,1.3735163,1.3675373,1.3781861,1.3714173,1.3646482,1.386834,1.3887126,1.3905913,1.3849189,1.3848823,1.3848459,1.3804482,1.3759413,1.3714343
14,1.3781365,1.3762718,1.3744073,1.3725425,1.3751818,1.3722275,1.3692731,1.3687706,1.3594049,1.350039,1.3775005,1.3768646,1.3762287,1.3708905,1.3636447,1.3563986,0.080730915,0.08293614,0.08192592,1.38016,1.3821836,1.3833908,1.3724169,1.3666975,1.3609784,1.3713676,1.3645986,1.3578296,1.3800153,1.3818939,1.3837725,1.3781,1.3780638,1.3780273,1.3736297,1.3691225,1.3646157
15,1.1538724,1.1520078,1.150143,1.1482785,1.1509176,1.1485249,1.1463338,1.1445065,1.1351405,1.1259006,1.1532363,1.1526004,1.1519643,1.1466262,1.1393805,1.132432,0.08026079,0.08260672,0.07884956,1.1559403,1.1589735,1.1620067,1.1481527,1.1424334,1.1367139,1.1471033,1.1403341,1.1335653,1.1557509,1.1576296,1.1598378,1.1538359,1.1537994,1.1538724,1.1493654,1.1452978,1.1414933
16,1.0495399,1.0472938,1.0450478,1.0428017,1.0473225,1.0451055,1.042888,1.0405571,1.0315744,1.0225916,1.0488193,1.0480986,1.047378,1.042719,1.0358982,1.0290773,0.07904439,0.08133464,0.07612106,1.0525702,1.0556005,1.058631,1.0437481,1.0379561,1.0321642,1.0425987,1.0356573,1.0287161,1.0518099,1.0540797,1.0563496,1.0498426,1.0501451,1.0504478,1.0457984,1.0420569,1.0383153
17,1.1688808,1.1665884,1.1642959,1.1620035,1.1667328,1.1645848,1.1624365,1.1597193,1.1505576,1.1413963,1.1680382,1.1671956,1.166353,1.1619884,1.1550962,1.148204,0.0784988,0.08054497,0.07549462,1.1713825,1.1738843,1.1763862,1.1629697,1.1570588,1.1511478,1.1618204,1.1547599,1.1476996,1.1710137,1.1731468,1.1752797,1.1692867,1.1696929,1.1700987,1.1651341,1.1613874,1.1576409
18,1.7278059,1.725895,1.7239839,1.722073,1.7249206,1.7227967,1.720675,1.7182614,1.7087166,1.6994976,1.727048,1.7262901,1.7255323,1.7204885,1.7132474,1.7063507,0.07874506,0.08223015,0.07947139,1.7295449,1.7320496,1.7345544,1.7219675,1.7161288,1.7102906,1.7209178,1.7140297,1.7071418,1.7295477,1.7313869,1.7335607,1.727873,1.7279401,1.728007,1.7232939,1.7194206,1.7156113
19,2.0569398,2.0547433,2.0525467,2.05035,2.053617,2.050294,2.0469704,2.0469444,2.0369492,2.0269537,2.0556114,2.0542827,2.052954,2.0496726,2.0424051,2.0351374,0.0774867,0.082499534,0.08429569,2.057446,2.0579522,2.0541089,2.0505168,2.0440934,2.0376701,2.0497694,2.042598,2.0354269,2.0584338,2.059928,2.0614214,2.056785,2.05663,2.0564752,2.0520043,2.0470686,2.0421326
20,2.2161639,2.2127223,2.208458,2.2041934,2.2123291,2.2076714,2.2030137,2.2043414,2.1916957,2.17905,2.2118769,2.2067666,2.2016568,2.2088966,2.2016287,2.1943614,0.08045584,0.08238194,0.08837679,2.2116947,2.2064025,2.2011106,2.206483,2.1959789,2.185475,2.2078037,2.1986196,2.1894357,2.2168214,2.2166562,2.2164907,2.214344,2.2117012,2.2090585,2.2087667,2.2005465,2.192326
21,2.3184233,2.314159,2.309894,2.3056297,2.3137653,2.3091078,2.30445,2.3057778,2.2931318,2.280486,2.313313,2.308203,2.3030927,2.31248,2.3065367,2.3005936,0.08808483,0.08219385,0.08435141,2.313131,2.3078387,2.3025465,2.307919,2.297415,2.2869112,2.3092391,2.3000555,2.2908719,2.3182578,2.3180923,2.3179266,2.3157806,2.3131375,2.310495,2.3102028,2.3019826,2.2937624
22,2.2574089,2.2531443,2.2488794,2.244615,2.252751,2.2480931,2.2434356,2.2447634,2.2321177,2.219472,2.2522984,2.2471883,2.2420785,2.2514656,2.2455225,2.2388394,0.0843384,0.082351185,0.083490916,2.2521167,2.2468243,2.241532,2.2469049,2.2364006,2.2258968,2.2482252,2.2390413,2.2298574,2.2572436,2.257078,2.2569122,2.254766,2.2521234,2.2494807,2.2491882,2.2409682,2.232748
23,1.9134632,1.9112666,1.9090695,1.9068726,1.9101399,1.9068165,1.9034936,1.9034678,1.8934722,1.8834765,1.9121346,1.9108061,1.9094774,1.9061956,1.8989283,1.8916606,0.080138326,0.08341858,0.08387137,1.9139694,1.9144752,1.9152542,1.90704,1.9006166,1.894193,1.9062921,1.899121,1.8919498,1.9149569,1.9164505,1.9179444,1.9133081,1.9131528,1.9129978,1.9085271,1.9035915,1.8986558
24,1.5145184,1.512263,1.5100079,1.5077527,1.5123967,1.5102752,1.5081533,1.5053375,1.4961568,1.486976,1.5136987,1.5128787,1.512059,1.5076224,1.5007256,1.4938291,0.080917664,0.083067566,0.079174206,1.5170233,1.5195283,1.5219675,1.5085757,1.5026332,1.4966904,1.5074754,1.5004324,1.4933892,1.516692,1.5188655,1.521039,1.5148019,1.5150853,1.5153688,1.5107089,1.5068992,1.5030895
25,1.1133393,1.111084,1.1088287,1.1065733,1.1112175,1.1090958,1.1069741,1.1041585,1.0949776,1.0857968,1.1125194,1.1116995,1.1108798,1.1064429,1.0995466,1.0926503,0.0804935,0.08051781,0.07534462,1.1158441,1.1183488,1.1208537,1.1073966,1.1014538,1.0955112,1.1062962,1.099253,1.0922098,1.1155127,1.1176863,1.1198598,1.1136227,1.113906,1.1141895,1.1095296,1.10572,1.1019106
26,0.881252,0.8789966,0.87674147,0.87448615,0.8791303,0.8770086,0.8748868,0.872082,0.8629205,0.8537589,0.88043207,0.87961215,0.87879235,0.8743557,0.86745924,0.8605666,0.07985726,0.07812605,0.0732509,0.8837568,0.88626164,0.88876635,0.87533265,0.86942154,0.8635106,0.87420887,0.86716586,0.8601226,0.88342553,0.8855992,0.8877726,0.88164955,0.8820555,0.8824616,0.8774969,0.87375027,0.87000376
27,0.75180054,0.7495082,0.7472158,0.74600434,0.7496525,0.74750453,0.7453564,0.74263906,0.73347753,0.724316,0.750958,0.7501154,0.7504033,0.7449083,0.73801607,0.7311236,0.07896915,0.074834526,0.06944913,0.7543023,0.7568042,0.7597505,0.7458896,0.73997855,0.73406756,0.7447402,0.73767984,0.7306194,0.75393367,0.75606674,0.75819975,0.7522066,0.75261265,0.75301856,0.7480539,0.7443074,0.7405607
28,0.70331436,0.7010218,0.6987295,0.6992832,0.7011663,0.69901824,0.69687015,0.6941528,0.6849912,0.6758296,0.7024718,0.7016291,0.7032138,0.696422,0.6895297,0.68263733,0.07487268,0.07137412,0.0660259,0.7058162,0.7083179,0.71236897,0.6974034,0.6914923,0.6857945,0.69625396,0.6891935,0.68242383,0.7054473,0.7075805,0.71019685,0.7037203,0.7041263,0.7045323,0.6995677,0.6958211,0.6920745
29,0.7810972,0.7788047,0.7765124,0.77427804,0.77894914,0.7768011,0.774653,0.77193564,0.7627741,0.75361264,0.78025466,0.7794121,0.7785694,0.77420497,0.76731265,0.7604203,0.07466645,0.06973342,0.06443317,0.783599,0.78610086,0.78974164,0.77518624,0.7692752,0.76336426,0.7740368,0.7669764,0.75991595,0.78323025,0.7853634,0.7874964,0.78150326,0.78190917,0.78231525,0.77735066,0.77360386,0.76985735
30,1.0838957,1.0816033,1.0793108,1.0770184,1.0817474,1.0795996,1.0774515,1.0747341,1.0655727,1.056411,1.083053,1.0822105,1.0813677,1.0770035,1.070111,1.0632187,0.07628654,0.07125528,0.06601054,1.0863974,1.0888994,1.0914011,1.0779846,1.0720736,1.0661627,1.0768352,1.069775,1.0627145,1.0860287,1.0881618,1.0902948,1.0843017,1.0847076,1.0851136,1.080149,1.0764024,1.0726558
31,1.5269281,1.5246356,1.5223432,1.5200508,1.5247798,1.5226319,1.5204839,1.5177665,1.5086051,1.4994435,1.5260855,1.5252428,1.5244004,1.5200357,1.5131437,1.506251,0.07628654,0.074375845,0.069170885,1.52943,1.5319316,1.5344335,1.5210172,1.515106,1.5091951,1.5198678,1.5128075,1.5057467,1.5290612,1.5311941,1.5333273,1.5273342,1.52774,1.5281463,1.5231816,1.519435,1.5156883
32,1.9857408,1.982433,1.9793968,1.9763607,1.9834243,1.9811078,1.9787911,1.9770136,1.9682862,1.9595586,1.9842378,1.9827347,1.9812313,1.9791982,1.9729275,1.966657,0.06814418,0.075819165,0.0706556,1.9871066,1.9887451,1.990383,1.9800674,1.974481,1.9689869,1.9782505,1.9707597,1.9632691,1.9862243,1.9867082,1.9872404,1.9879446,1.990148,1.9923513,1.9820534,1.978366,1.9746788
