Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,2030-01-01T00:00:00+01:00,Gas,0.1248721091666628
2030,sc01,2030-01-01T00:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T00:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Solar,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Wind,0.03926875
2030,sc01,2030-01-01T01:00:00+01:00,Gas,0.12615412161508882
2030,sc01,2030-01-01T01:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T01:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Solar,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Wind,0.036176400000000004
2030,sc01,2030-01-01T02:00:00+01:00,Gas,0.12695862074516528
2030,sc01,2030-01-01T02:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T02:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Solar,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Wind,0.03355456875
2030,sc01,2030-01-01T03:00:00+01:00,Gas,0.1281990437920983
2030,sc01,2030-01-01T03:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T03:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T03:00:00+01:00,Solar,0.0
2030,sc01,2030-01-01T03:00:00+01:00,Wind,0.0321916
2030,sc01,2030-01-01T04:00:00+01:00,Gas,0.13369140301712096
2030,sc01,2030-01-01T04:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T04:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T04:00:00+01:00,Solar,0.0
2030,sc01,2030-01-01T04:00:00+01:00,Wind,0.030223125
2030,sc01,2030-01-01T05:00:00+01:00,Gas,0.14165140548368205
2030,sc01,2030-01-01T05:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T05:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T05:00:00+01:00,Solar,0.0
2030,sc01,2030-01-01T05:00:00+01:00,Wind,0.02811128125
2030,sc01,2030-01-01T06:00:00+01:00,Gas,0.14738769932502815
2030,sc01,2030-01-01T06:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T06:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T06:00:00+01:00,Solar,0.0
2030,sc01,2030-01-01T06:00:00+01:00,Wind,0.02668404375
2030,sc01,2030-01-01T07:00:00+01:00,Gas,0.14986131536877428
2030,sc01,2030-01-01T07:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T07:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T07:00:00+01:00,Solar,2.3775000000000002e-05
2030,sc01,2030-01-01T07:00:00+01:00,Wind,0.024214081250000002
2030,sc01,2030-01-01T08:00:00+01:00,Gas,0.14906396847022146
2030,sc01,2030-01-01T08:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T08:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T08:00:00+01:00,Solar,0.0004486
2030,sc01,2030-01-01T08:00:00+01:00,Wind,0.021923718749999998
2030,sc01,2030-01-01T09:00:00+01:00,Gas,0.14196566197371302
2030,sc01,2030-01-01T09:00:00+01:00,Battery,0.0
2030,sc01,2030-01-01T09:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,2030-01-01T09:00:00+01:00,Solar,0.0098104125
2030,sc01,2030-01-01T09:00:00+01:00,Wind,0.018496324999999997
