Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-16 20:00:00+01:00,Wind_Gijon,16.580800000000004
2030,sc01,01-16 20:00:00+01:00,CCGT_1,0.0
2030,sc01,01-16 20:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-16 20:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-16 20:00:00+01:00,BrownLignite,0.0
2030,sc01,01-16 20:00:00+01:00,OCGT_1,0.0
2030,sc01,01-16 20:00:00+01:00,Nuclear,66.3576
2030,sc01,01-16 20:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-16 20:00:00+01:00,CCGT_3,0.0
2030,sc01,01-16 20:00:00+01:00,Wind_Bilbo,9.150400000000001
2030,sc01,01-16 20:00:00+01:00,CCGT_2,0.0
2030,sc01,01-16 20:00:00+01:00,Wind_Acoruna,14.8264
2030,sc01,01-16 20:00:00+01:00,OCGT_3,0.0
2030,sc01,01-16 20:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-16 20:00:00+01:00,OCGT_2,0.0
2030,sc01,01-16 20:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-16 20:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-16 20:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-16 20:00:00+01:00,CCGT_4,19.654044739613987
2030,sc01,01-16 23:00:00+01:00,Wind_Gijon,19.364
2030,sc01,01-16 23:00:00+01:00,CCGT_1,0.0
2030,sc01,01-16 23:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-16 23:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-16 23:00:00+01:00,BrownLignite,0.0
2030,sc01,01-16 23:00:00+01:00,OCGT_1,0.0
2030,sc01,01-16 23:00:00+01:00,Nuclear,74.73773481224109
2030,sc01,01-16 23:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-16 23:00:00+01:00,CCGT_3,0.0
2030,sc01,01-16 23:00:00+01:00,Wind_Bilbo,18.828400000000002
2030,sc01,01-16 23:00:00+01:00,CCGT_2,0.0
2030,sc01,01-16 23:00:00+01:00,Wind_Acoruna,16.5212
2030,sc01,01-16 23:00:00+01:00,OCGT_3,0.0
2030,sc01,01-16 23:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-16 23:00:00+01:00,OCGT_2,0.0
2030,sc01,01-16 23:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-16 23:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-16 23:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-16 23:00:00+01:00,CCGT_4,0.0
2030,sc01,01-18 17:00:00+01:00,Wind_Gijon,15.444
2030,sc01,01-18 17:00:00+01:00,CCGT_1,0.0
2030,sc01,01-18 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-18 17:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-18 17:00:00+01:00,BrownLignite,0.0
2030,sc01,01-18 17:00:00+01:00,OCGT_1,0.0
2030,sc01,01-18 17:00:00+01:00,Nuclear,76.3884
2030,sc01,01-18 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-18 17:00:00+01:00,CCGT_3,0.0
2030,sc01,01-18 17:00:00+01:00,Wind_Bilbo,5.5836
2030,sc01,01-18 17:00:00+01:00,CCGT_2,0.0
2030,sc01,01-18 17:00:00+01:00,Wind_Acoruna,6.534000000000001
2030,sc01,01-18 17:00:00+01:00,OCGT_3,0.0
2030,sc01,01-18 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-18 17:00:00+01:00,OCGT_2,0.0
2030,sc01,01-18 17:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-18 17:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-18 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-18 17:00:00+01:00,CCGT_4,10.194335688735013
2030,sc01,01-21 02:00:00+01:00,Wind_Gijon,16.821600000000004
2030,sc01,01-21 02:00:00+01:00,CCGT_1,0.0
2030,sc01,01-21 02:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-21 02:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-21 02:00:00+01:00,BrownLignite,0.0
2030,sc01,01-21 02:00:00+01:00,OCGT_1,0.0
2030,sc01,01-21 02:00:00+01:00,Nuclear,61.28894573217903
2030,sc01,01-21 02:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-21 02:00:00+01:00,CCGT_3,0.0
2030,sc01,01-21 02:00:00+01:00,Wind_Bilbo,25.4904
2030,sc01,01-21 02:00:00+01:00,CCGT_2,0.0
2030,sc01,01-21 02:00:00+01:00,Wind_Acoruna,27.348
2030,sc01,01-21 02:00:00+01:00,OCGT_3,0.0
2030,sc01,01-21 02:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-21 02:00:00+01:00,OCGT_2,0.0
2030,sc01,01-21 02:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-21 02:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-21 02:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-21 02:00:00+01:00,CCGT_4,0.0
2030,sc01,01-22 20:00:00+01:00,Wind_Gijon,42.7056
2030,sc01,01-22 20:00:00+01:00,CCGT_1,0.0
2030,sc01,01-22 20:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-22 20:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-22 20:00:00+01:00,BrownLignite,0.0
2030,sc01,01-22 20:00:00+01:00,OCGT_1,0.0
2030,sc01,01-22 20:00:00+01:00,Nuclear,95.67840000000001
2030,sc01,01-22 20:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-22 20:00:00+01:00,CCGT_3,1.071058463830343
2030,sc01,01-22 20:00:00+01:00,Wind_Bilbo,19.206771836897662
