Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-09 02:00:00+01:00,CCGT_4,0.0
2030,sc01,01-09 02:00:00+01:00,Nuclear,0.0
2030,sc01,01-09 02:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-09 02:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-09 02:00:00+01:00,OCGT_1,0.0
2030,sc01,01-09 02:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-09 02:00:00+01:00,OCGT_2,0.0
2030,sc01,01-09 02:00:00+01:00,CCGT_1,0.0
2030,sc01,01-09 02:00:00+01:00,OCGT_3,0.0
2030,sc01,01-09 02:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-09 02:00:00+01:00,CCGT_3,0.0
2030,sc01,01-09 02:00:00+01:00,CCGT_2,0.0
2030,sc01,01-09 02:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 22:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 22:00:00+01:00,Nuclear,0.4910748634602804
2030,sc01,01-10 22:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 22:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 22:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 22:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 22:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 22:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 22:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 22:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 22:00:00+01:00,CCGT_3,0.0
2030,sc01,01-10 22:00:00+01:00,CCGT_2,0.0
2030,sc01,01-10 22:00:00+01:00,BrownLignite,0.0
2030,sc01,01-14 11:00:00+01:00,CCGT_4,0.0
2030,sc01,01-14 11:00:00+01:00,Nuclear,0.8024356923302894
2030,sc01,01-14 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-14 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-14 11:00:00+01:00,OCGT_1,0.0
2030,sc01,01-14 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-14 11:00:00+01:00,OCGT_2,0.0
2030,sc01,01-14 11:00:00+01:00,CCGT_1,0.0
2030,sc01,01-14 11:00:00+01:00,OCGT_3,0.0
2030,sc01,01-14 11:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-14 11:00:00+01:00,CCGT_3,0.3416933206678973
2030,sc01,01-14 11:00:00+01:00,CCGT_2,0.0
2030,sc01,01-14 11:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 11:00:00+01:00,CCGT_4,0.37247515124209035
2030,sc01,01-17 11:00:00+01:00,Nuclear,1.0
2030,sc01,01-17 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-17 11:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-17 11:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 11:00:00+01:00,CCGT_1,0.08057234235238118
2030,sc01,01-17 11:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 11:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 11:00:00+01:00,CCGT_3,0.3358529195314286
2030,sc01,01-17 11:00:00+01:00,CCGT_2,0.0
2030,sc01,01-17 11:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 21:00:00+01:00,CCGT_4,0.0
2030,sc01,01-17 21:00:00+01:00,Nuclear,0.9069746323613154
2030,sc01,01-17 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-17 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-17 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 21:00:00+01:00,CCGT_1,0.0
2030,sc01,01-17 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 21:00:00+01:00,CCGT_3,0.04428589087401864
2030,sc01,01-17 21:00:00+01:00,CCGT_2,0.0
2030,sc01,01-17 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-20 09:00:00+01:00,CCGT_4,0.0
2030,sc01,01-20 09:00:00+01:00,Nuclear,0.7983544721099012
2030,sc01,01-20 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-20 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-20 09:00:00+01:00,OCGT_1,0.0
2030,sc01,01-20 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-20 09:00:00+01:00,OCGT_2,0.0
2030,sc01,01-20 09:00:00+01:00,CCGT_1,0.0
2030,sc01,01-20 09:00:00+01:00,OCGT_3,0.0
2030,sc01,01-20 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-20 09:00:00+01:00,CCGT_3,0.0
2030,sc01,01-20 09:00:00+01:00,CCGT_2,0.0
2030,sc01,01-20 09:00:00+01:00,BrownLignite,0.0
2030,sc01,01-21 17:00:00+01:00,CCGT_4,0.5110202492524343
2030,sc01,01-21 17:00:00+01:00,Nuclear,1.0
2030,sc01,01-21 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-21 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-21 17:00:00+01:00,OCGT_1,0.0
2030,sc01,01-21 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-21 17:00:00+01:00,OCGT_2,0.0
2030,sc01,01-21 17:00:00+01:00,CCGT_1,0.0
2030,sc01,01-21 17:00:00+01:00,OCGT_3,0.0
2030,sc01,01-21 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-21 17:00:00+01:00,CCGT_3,0.33793753398075216
2030,sc01,01-21 17:00:00+01:00,CCGT_2,0.5508649612252475
2030,sc01,01-21 17:00:00+01:00,BrownLignite,0.0
2030,sc01,01-22 08:00:00+01:00,CCGT_4,0.5228343782127333
2030,sc01,01-22 08:00:00+01:00,Nuclear,1.0
2030,sc01,01-22 08:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-22 08:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-22 08:00:00+01:00,OCGT_1,0.0
2030,sc01,01-22 08:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-22 08:00:00+01:00,OCGT_2,0.0
2030,sc01,01-22 08:00:00+01:00,CCGT_1,0.0
2030,sc01,01-22 08:00:00+01:00,OCGT_3,0.0
2030,sc01,01-22 08:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-22 08:00:00+01:00,CCGT_3,0.45344547888813075
2030,sc01,01-22 08:00:00+01:00,CCGT_2,0.23312161732186895
2030,sc01,01-22 08:00:00+01:00,BrownLignite,0.0
2030,sc01,01-22 10:00:00+01:00,CCGT_4,0.5141151168898874
2030,sc01,01-22 10:00:00+01:00,Nuclear,1.0
2030,sc01,01-22 10:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-22 10:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-22 10:00:00+01:00,OCGT_1,0.0
2030,sc01,01-22 10:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-22 10:00:00+01:00,OCGT_2,0.0
2030,sc01,01-22 10:00:00+01:00,CCGT_1,0.0
2030,sc01,01-22 10:00:00+01:00,OCGT_3,0.0
2030,sc01,01-22 10:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-22 10:00:00+01:00,CCGT_3,0.3410167548019997
2030,sc01,01-22 10:00:00+01:00,CCGT_2,0.031051351317999965
2030,sc01,01-22 10:00:00+01:00,BrownLignite,0.0
2030,sc01,01-23 15:00:00+01:00,CCGT_4,0.27593213511385745
2030,sc01,01-23 15:00:00+01:00,Nuclear,1.0
2030,sc01,01-23 15:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-23 15:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-23 15:00:00+01:00,OCGT_1,0.0
2030,sc01,01-23 15:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-23 15:00:00+01:00,OCGT_2,0.0
2030,sc01,01-23 15:00:00+01:00,CCGT_1,0.0
2030,sc01,01-23 15:00:00+01:00,OCGT_3,0.0
2030,sc01,01-23 15:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-23 15:00:00+01:00,CCGT_3,0.4226713977390004
2030,sc01,01-23 15:00:00+01:00,CCGT_2,0.0
2030,sc01,01-23 15:00:00+01:00,BrownLignite,0.0
2030,sc01,01-24 06:00:00+01:00,CCGT_4,0.0
2030,sc01,01-24 06:00:00+01:00,Nuclear,0.2541280182685333
2030,sc01,01-24 06:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-24 06:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-24 06:00:00+01:00,OCGT_1,0.0
2030,sc01,01-24 06:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-24 06:00:00+01:00,OCGT_2,0.0
2030,sc01,01-24 06:00:00+01:00,CCGT_1,0.0
2030,sc01,01-24 06:00:00+01:00,OCGT_3,0.0
2030,sc01,01-24 06:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-24 06:00:00+01:00,CCGT_3,0.0
2030,sc01,01-24 06:00:00+01:00,CCGT_2,0.0
2030,sc01,01-24 06:00:00+01:00,BrownLignite,0.0
2030,sc01,01-24 09:00:00+01:00,CCGT_4,0.6063360681003743
2030,sc01,01-24 09:00:00+01:00,Nuclear,1.0
2030,sc01,01-24 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-24 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-24 09:00:00+01:00,OCGT_1,0.0
2030,sc01,01-24 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-24 09:00:00+01:00,OCGT_2,0.0
2030,sc01,01-24 09:00:00+01:00,CCGT_1,0.0
2030,sc01,01-24 09:00:00+01:00,OCGT_3,0.0
2030,sc01,01-24 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-24 09:00:00+01:00,CCGT_3,0.386453220179486
2030,sc01,01-24 09:00:00+01:00,CCGT_2,0.0022895711405138686
2030,sc01,01-24 09:00:00+01:00,BrownLignite,0.0
2030,sc01,01-24 13:00:00+01:00,CCGT_4,0.20079034670936272
2030,sc01,01-24 13:00:00+01:00,Nuclear,1.0
2030,sc01,01-24 13:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-24 13:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-24 13:00:00+01:00,OCGT_1,0.0
2030,sc01,01-24 13:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-24 13:00:00+01:00,OCGT_2,0.0
2030,sc01,01-24 13:00:00+01:00,CCGT_1,0.0
2030,sc01,01-24 13:00:00+01:00,OCGT_3,0.0
2030,sc01,01-24 13:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-24 13:00:00+01:00,CCGT_3,0.256739444131
2030,sc01,01-24 13:00:00+01:00,CCGT_2,0.0
2030,sc01,01-24 13:00:00+01:00,BrownLignite,0.0
2030,sc01,01-26 09:00:00+01:00,CCGT_4,0.19631931329138466
2030,sc01,01-26 09:00:00+01:00,Nuclear,1.0
2030,sc01,01-26 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-26 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-26 09:00:00+01:00,OCGT_1,0.0
2030,sc01,01-26 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-26 09:00:00+01:00,OCGT_2,0.0
2030,sc01,01-26 09:00:00+01:00,CCGT_1,0.0
2030,sc01,01-26 09:00:00+01:00,OCGT_3,0.0
2030,sc01,01-26 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-26 09:00:00+01:00,CCGT_3,0.0
2030,sc01,01-26 09:00:00+01:00,CCGT_2,0.0
2030,sc01,01-26 09:00:00+01:00,BrownLignite,0.0
2030,sc01,01-26 17:00:00+01:00,CCGT_4,0.3428385996404494
2030,sc01,01-26 17:00:00+01:00,Nuclear,1.0
2030,sc01,01-26 17:00:00+01:00,DomesticCoal_Anthracite,0.0
