,Weight
sti1,60
sti10,17
sti100,21
sti101,158
sti102,18
sti103,22
sti104,66
sti105,31
sti106,30
sti107,44
sti108,30
sti109,19
sti11,58
sti110,44
sti111,16
sti112,2
sti113,57
sti114,10
sti115,75
sti116,38
sti117,39
sti118,49
sti119,44
sti12,50
sti120,15
sti121,4
sti122,70
sti123,76
sti124,142
sti125,20
sti126,9
sti127,28
sti128,39
sti129,146
sti13,45
sti130,12
sti131,24
sti132,8
sti133,66
sti134,11
sti135,59
sti136,37
sti137,36
sti138,166
sti139,17
sti14,58
sti140,57
sti141,46
sti142,14
sti143,81
sti144,19
sti145,44
sti146,23
sti147,15
sti148,78
sti149,179
sti15,65
sti150,56
sti16,177
sti17,28
sti18,46
sti19,18
sti2,65
sti20,87
sti21,154
sti22,54
sti23,12
sti24,19
sti25,169
sti26,56
sti27,195
sti28,15
sti29,52
sti3,9
sti30,36
sti31,23
sti32,55
sti33,50
sti34,15
sti35,74
sti36,2
sti37,67
sti38,17
sti39,50
sti4,25
sti40,59
sti41,26
sti42,14
sti43,175
sti44,33
sti45,70
sti46,63
sti47,20
sti48,46
sti49,24
sti5,150
sti50,162
sti51,5
sti52,179
sti53,167
sti54,63
sti55,190
sti56,56
sti57,6
sti58,17
sti59,9
sti6,25
sti60,158
sti61,104
sti62,33
sti63,20
sti64,16
sti65,51
sti66,25
sti67,60
sti68,55
sti69,11
sti7,36
sti70,75
sti71,85
sti72,23
sti73,33
sti74,35
sti75,33
sti76,26
sti77,45
sti78,11
sti79,18
sti8,120
sti80,20
sti81,71
sti82,56
sti83,137
sti84,10
sti85,39
sti86,51
sti87,67
sti88,173
sti89,55
sti9,163
sti90,7
sti91,163
sti92,47
sti93,34
sti94,65
sti95,191
sti96,195
sti97,47
sti98,22
sti99,158
