Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-04 04:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-04 04:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-04 04:00:00+01:00,OCGT_3,0.0
2030,sc01,01-04 04:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-04 04:00:00+01:00,CCGT_2,0.0
2030,sc01,01-04 04:00:00+01:00,CCGT_3,0.0
2030,sc01,01-04 04:00:00+01:00,Nuclear,0.0
2030,sc01,01-04 04:00:00+01:00,CCGT_4,0.0
2030,sc01,01-04 04:00:00+01:00,OCGT_1,0.0
2030,sc01,01-04 04:00:00+01:00,BrownLignite,0.0
2030,sc01,01-04 04:00:00+01:00,OCGT_2,0.0
2030,sc01,01-04 04:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-04 04:00:00+01:00,CCGT_1,0.0
2030,sc01,01-05 10:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-05 10:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-05 10:00:00+01:00,OCGT_3,0.0
2030,sc01,01-05 10:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-05 10:00:00+01:00,CCGT_2,72.52696732452543
2030,sc01,01-05 10:00:00+01:00,CCGT_3,0.0
2030,sc01,01-05 10:00:00+01:00,Nuclear,0.0
2030,sc01,01-05 10:00:00+01:00,CCGT_4,0.0
2030,sc01,01-05 10:00:00+01:00,OCGT_1,0.0
2030,sc01,01-05 10:00:00+01:00,BrownLignite,0.0
2030,sc01,01-05 10:00:00+01:00,OCGT_2,0.0
2030,sc01,01-05 10:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-05 10:00:00+01:00,CCGT_1,0.0
2030,sc01,01-05 15:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-05 15:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-05 15:00:00+01:00,OCGT_3,0.0
2030,sc01,01-05 15:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-05 15:00:00+01:00,CCGT_2,89.64876187006752
2030,sc01,01-05 15:00:00+01:00,CCGT_3,0.0
2030,sc01,01-05 15:00:00+01:00,Nuclear,0.0
2030,sc01,01-05 15:00:00+01:00,CCGT_4,0.0
2030,sc01,01-05 15:00:00+01:00,OCGT_1,0.0
2030,sc01,01-05 15:00:00+01:00,BrownLignite,0.0
2030,sc01,01-05 15:00:00+01:00,OCGT_2,0.0
2030,sc01,01-05 15:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-05 15:00:00+01:00,CCGT_1,0.0
2030,sc01,01-07 19:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-07 19:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-07 19:00:00+01:00,OCGT_3,0.0
2030,sc01,01-07 19:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-07 19:00:00+01:00,CCGT_2,40.46668071090654
2030,sc01,01-07 19:00:00+01:00,CCGT_3,0.0
2030,sc01,01-07 19:00:00+01:00,Nuclear,0.0
2030,sc01,01-07 19:00:00+01:00,CCGT_4,0.0
2030,sc01,01-07 19:00:00+01:00,OCGT_1,0.0
2030,sc01,01-07 19:00:00+01:00,BrownLignite,0.0
2030,sc01,01-07 19:00:00+01:00,OCGT_2,0.0
2030,sc01,01-07 19:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-07 19:00:00+01:00,CCGT_1,0.0
2030,sc01,01-08 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-08 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-08 17:00:00+01:00,OCGT_3,0.0
2030,sc01,01-08 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-08 17:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-08 17:00:00+01:00,CCGT_3,51.115742379068095
2030,sc01,01-08 17:00:00+01:00,Nuclear,0.0
2030,sc01,01-08 17:00:00+01:00,CCGT_4,0.0
2030,sc01,01-08 17:00:00+01:00,OCGT_1,0.0
2030,sc01,01-08 17:00:00+01:00,BrownLignite,0.0
2030,sc01,01-08 17:00:00+01:00,OCGT_2,0.0
2030,sc01,01-08 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-08 17:00:00+01:00,CCGT_1,41.86718041123023
2030,sc01,01-10 05:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 05:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 05:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 05:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 05:00:00+01:00,CCGT_2,0.0
2030,sc01,01-10 05:00:00+01:00,CCGT_3,0.0
2030,sc01,01-10 05:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 05:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 05:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 05:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 05:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 05:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 05:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 11:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 11:00:00+01:00,CCGT_2,61.15288987191364
2030,sc01,01-10 11:00:00+01:00,CCGT_3,22.111373857273275
2030,sc01,01-10 11:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 11:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 11:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 11:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 11:00:00+01:00,OCGT_2,0.0
