Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-05 20:00:00+01:00,bus069,bus077,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,bus092,bus100,eac1,0.2459401857416008
2030,sc01,01-05 20:00:00+01:00,bus077,bus082,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,bus049,bus066,eac2,0.11182576972767996
2030,sc01,01-05 20:00:00+01:00,bus046,bus047,eac1,0.17874983611324552
2030,sc01,01-05 20:00:00+01:00,bus068,bus069,eac1,0.5562434656772949
2030,sc01,01-05 20:00:00+01:00,bus024,bus070,eac1,0.1968713476897127
2030,sc01,01-05 20:00:00+01:00,bus081,bus080,eac1,0.411191954351971
2030,sc01,01-05 20:00:00+01:00,bus008,bus030,eac1,0.09188747082439724
2030,sc01,01-05 20:00:00+01:00,bus070,bus074,eac1,0.06770849984239037
2030,sc01,01-05 20:00:00+01:00,bus003,bus005,cac1,0.7449432004386335
2030,sc01,01-05 20:00:00+01:00,bus043,bus044,eac1,0.054750162650015324
2030,sc01,01-05 20:00:00+01:00,bus089,bus092,eac1,0.030726913612680585
2030,sc01,01-05 20:00:00+01:00,bus003,bus012,eac1,0.4034757742577535
2030,sc01,01-05 20:00:00+01:00,bus056,bus058,eac1,0.04137870853299993
2030,sc01,01-05 20:00:00+01:00,bus037,bus039,eac1,0.06760116030865385
2030,sc01,01-05 20:00:00+01:00,bus040,bus041,eac1,0.024925644734485893
2030,sc01,01-05 20:00:00+01:00,bus034,bus037,eac1,0.21475732516212925
2030,sc01,01-05 20:00:00+01:00,bus066,bus067,eac1,0.15168913713924348
2030,sc01,01-05 20:00:00+01:00,bus023,bus024,eac1,0.7055365392255851
2030,sc01,01-05 20:00:00+01:00,bus023,bus025,eac1,0.17322995771185798
2030,sc01,01-05 20:00:00+01:00,bus047,bus049,eac1,0.24217779968973266
2030,sc01,01-05 20:00:00+01:00,bus077,bus078,eac1,0.04995318618497865
2030,sc01,01-05 20:00:00+01:00,bus078,bus079,eac1,0.15577362242992537
2030,sc01,01-05 20:00:00+01:00,bus051,bus052,eac1,0.09448458749381987
2030,sc01,01-05 20:00:00+01:00,bus009,bus010,eac1,0.40478911394518036
2030,sc01,01-05 20:00:00+01:00,bus096,bus097,eac1,0.7900162628891477
2030,sc01,01-05 20:00:00+01:00,bus012,bus016,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,bus054,bus056,eac1,0.003936723400714367
2030,sc01,01-05 20:00:00+01:00,bus100,bus103,eac1,0.2410511961846531
2030,sc01,01-05 20:00:00+01:00,bus109,bus110,eac1,0.3571396388195534
2030,sc01,01-05 20:00:00+01:00,bus001,bus003,eac1,0.4796759558979262
2030,sc01,01-05 20:00:00+01:00,bus049,bus050,eac1,0.17761764843216837
2030,sc01,01-05 20:00:00+01:00,bus094,bus095,eac1,0.39827573550813555
2030,sc01,01-05 20:00:00+01:00,bus080,bus098,eac1,0.7843645521886288
2030,sc01,01-05 20:00:00+01:00,bus020,bus021,eac1,0.07710097492591193
2030,sc01,01-05 20:00:00+01:00,bus025,bus027,eac1,0.2726618402691901
2030,sc01,01-05 20:00:00+01:00,bus014,bus015,eac1,0.2098842787785898
2030,sc01,01-05 20:00:00+01:00,bus056,bus059,eac2,0.07956923116271253
2030,sc01,01-05 20:00:00+01:00,bus069,bus075,eac1,0.38724699939533935
2030,sc01,01-05 20:00:00+01:00,bus030,bus038,eac1,0.41714143738389214
2030,sc01,01-05 20:00:00+01:00,bus094,bus100,cac1,0.10825026664172394
2030,sc01,01-05 20:00:00+01:00,bus002,bus012,eac1,0.7377917048790373
2030,sc01,01-05 20:00:00+01:00,bus077,bus080,eac2,0.07429747168702673
2030,sc01,01-05 20:00:00+01:00,bus085,bus086,eac1,0.04218702505883783
2030,sc01,01-05 20:00:00+01:00,bus071,bus072,eac1,0.19687134768971284
2030,sc01,01-05 20:00:00+01:00,bus047,bus069,eac1,0.51944469307398
2030,sc01,01-05 20:00:00+01:00,bus045,bus049,eac1,0.1309078837956973
2030,sc01,01-05 20:00:00+01:00,bus008,bus005,cac1,0.9631126729705034
2030,sc01,01-05 20:00:00+01:00,bus094,bus096,eac1,0.7594148138272465
2030,sc01,01-05 20:00:00+01:00,bus011,bus013,eac1,0.28268578465686334
2030,sc01,01-05 20:00:00+01:00,bus015,bus033,cac1,0.7301080240223644
2030,sc01,01-05 20:00:00+01:00,bus100,bus106,eac1,0.08036762652464588
2030,sc01,01-05 20:00:00+01:00,bus074,bus075,eac1,0.9999975124439989
2030,sc01,01-05 20:00:00+01:00,bus088,bus089,eac1,0.07409274156223689
2030,sc01,01-05 20:00:00+01:00,bus039,bus040,eac1,0.01063297968104774
2030,sc01,01-05 20:00:00+01:00,bus042,bus049,eac2,0.11838697154658274
2030,sc01,01-05 20:00:00+01:00,bus114,bus115,eac1,0.14192830370273105
2030,sc01,01-05 20:00:00+01:00,bus038,bus065,cac1,0.34674864190491345
2030,sc01,01-05 20:00:00+01:00,bus051,bus058,eac1,0.07614943149140056
2030,sc01,01-05 20:00:00+01:00,bus016,bus017,eac1,0.2985309814614575
2030,sc01,01-05 20:00:00+01:00,bus080,bus097,eac1,0.8334796799204488
2030,sc01,01-05 20:00:00+01:00,bus076,bus118,eac1,0.3813197117677868
2030,sc01,01-05 20:00:00+01:00,bus004,bus011,eac1,0.33500305071590736
2030,sc01,01-05 20:00:00+01:00,bus049,bus054,eac2,0.13620344615236005
2030,sc01,01-05 20:00:00+01:00,bus006,bus007,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,bus103,bus104,eac1,0.03488208320123344
2030,sc01,01-05 20:00:00+01:00,bus030,bus017,eac1,0.45918280953531593
2030,sc01,01-05 20:00:00+01:00,bus064,bus061,eac1,0.2145028656564034
2030,sc01,01-05 20:00:00+01:00,bus007,bus012,eac1,0.5204261645281505
2030,sc01,01-05 20:00:00+01:00,bus005,bus006,cac1,0.6970414960000574
2030,sc01,01-05 20:00:00+01:00,bus105,bus106,eac1,0.27662105711575696
2030,sc01,01-05 20:00:00+01:00,bus015,bus017,eac1,0.03321978767778503
2030,sc01,01-05 20:00:00+01:00,bus108,bus109,eac1,0.45088837024061945
2030,sc01,01-05 20:00:00+01:00,bus046,bus048,eac1,0.019367767130812626
2030,sc01,01-05 20:00:00+01:00,bus100,bus101,eac1,0.4050113664937158
2030,sc01,01-05 20:00:00+01:00,bus064,bus065,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,bus065,bus068,eac1,0.766622889048674
2030,sc01,01-05 20:00:00+01:00,bus011,bus012,eac1,0.7106806924480572
2030,sc01,01-05 20:00:00+01:00,bus092,bus093,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,bus044,bus045,eac1,0.10111113548341623
2030,sc01,01-05 20:00:00+01:00,bus095,bus096,eac1,0.8904566800829004
2030,sc01,01-05 20:00:00+01:00,bus055,bus056,eac1,0.042969639579826274
2030,sc01,01-05 20:00:00+01:00,bus028,bus029,eac1,0.024191582504938004
2030,sc01,01-05 20:00:00+01:00,bus033,bus037,cac1,0.14755408052691402
2030,sc01,01-05 20:00:00+01:00,bus054,bus056,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,bus018,bus019,eac1,0.1639871876902337
