Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-15 04:00:00+01:00,CT NG 52,0.0
2030,sc01,01-15 04:00:00+01:00,Wind 09,0.397098039024
2030,sc01,01-15 04:00:00+01:00,CT NG 02,0.0
2030,sc01,01-15 04:00:00+01:00,Hydro 25,4.2573258
2030,sc01,01-15 04:00:00+01:00,Solar 48,0.0
2030,sc01,01-15 04:00:00+01:00,ST NG 06,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 56,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 32,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 06,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 13,0.0
2030,sc01,01-15 04:00:00+01:00,ST NG 09,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 25,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 29,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 36,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 06,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 02,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 74,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 68,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 15,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 11,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 10,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 56,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 14,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 25,0.0
2030,sc01,01-15 04:00:00+01:00,Wind 01,0.920012567616
2030,sc01,01-15 04:00:00+01:00,Solar 46,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 05,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 20,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 22,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 31,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 61,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 15,0.0
2030,sc01,01-15 04:00:00+01:00,Hydro 33,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 20,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 33,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 47,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 24,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 33,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 41,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 50,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 04,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 43,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 67,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 11,0.0
2030,sc01,01-15 04:00:00+01:00,ST Coal 01,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 01,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 14,0.0
2030,sc01,01-15 04:00:00+01:00,Wind 08,0.6364732378560001
2030,sc01,01-15 04:00:00+01:00,CT NG 23,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 08,0.0
2030,sc01,01-15 04:00:00+01:00,Wind 13,29.852025798119996
2030,sc01,01-15 04:00:00+01:00,Solar 68,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 12,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 40,0.0
2030,sc01,01-15 04:00:00+01:00,CC NG 28,0.0
2030,sc01,01-15 04:00:00+01:00,Solar 06,0.0
2030,sc01,01-15 04:00:00+01:00,Hydro 42,1.260729084
2030,sc01,01-15 04:00:00+01:00,CT NG 47,0.0
2030,sc01,01-15 04:00:00+01:00,CT NG 21,0.0
