Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-08 18:00:00+01:00,bus079,bus080,eac1,-0.11698139316008555
2030,sc01,01-08 18:00:00+01:00,bus024,bus070,eac1,-0.11595613793772669
2030,sc01,01-08 18:00:00+01:00,bus060,bus062,eac1,-0.016407682325329243
2030,sc01,01-08 18:00:00+01:00,bus049,bus050,eac1,0.08701410641647578
2030,sc01,01-08 18:00:00+01:00,bus003,bus005,cac1,-0.20801500721426489
2030,sc01,01-08 18:00:00+01:00,bus007,bus012,eac1,-0.2621844859056024
2030,sc01,01-08 18:00:00+01:00,bus105,bus106,eac1,0.011678053273881495
2030,sc01,01-08 18:00:00+01:00,bus012,bus016,eac1,0.06344678490357225
2030,sc01,01-08 18:00:00+01:00,bus017,bus018,eac1,0.3566933827988209
2030,sc01,01-08 18:00:00+01:00,bus003,bus005,cac2,-0.20801500721426489
2030,sc01,01-08 18:00:00+01:00,bus039,bus040,eac1,-0.006797671755007617
2030,sc01,01-08 18:00:00+01:00,bus092,bus102,eac1,-0.09038652071500475
2030,sc01,01-08 18:00:00+01:00,bus017,bus031,eac1,0.23335331289034278
2030,sc01,01-08 18:00:00+01:00,bus056,bus058,eac1,-0.01827400789075051
2030,sc01,01-08 18:00:00+01:00,bus070,bus075,eac1,-0.11824231073598412
2030,sc01,01-08 18:00:00+01:00,bus110,bus111,eac1,0.0
2030,sc01,01-08 18:00:00+01:00,bus012,bus117,cac1,0.14509209
2030,sc01,01-08 18:00:00+01:00,bus001,bus002,eac1,-0.10742191596590356
2030,sc01,01-08 18:00:00+01:00,bus026,bus030,cac1,0.20887600728654876
2030,sc01,01-08 18:00:00+01:00,bus106,bus107,eac1,0.0631370887087942
2030,sc01,01-08 18:00:00+01:00,bus068,bus116,eac1,-0.014394000000000018
2030,sc01,01-08 18:00:00+01:00,bus061,bus062,eac1,0.042293424875597174
2030,sc01,01-08 18:00:00+01:00,bus025,bus027,cac1,0.28517605396979673
2030,sc01,01-08 18:00:00+01:00,bus026,bus030,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus075,bus118,eac1,-0.22226970162644313
2030,sc01,01-08 18:00:00+01:00,bus023,bus032,cac2,0.1976361187610285
2030,sc01,01-08 18:00:00+01:00,bus030,bus038,cac1,-0.9243483486624093
2030,sc01,01-08 18:00:00+01:00,bus004,bus005,eac1,-0.28583514791277553
2030,sc01,01-08 18:00:00+01:00,bus070,bus071,eac1,0.11595613793772674
2030,sc01,01-08 18:00:00+01:00,bus065,bus068,cac1,-0.9264540797059313
2030,sc01,01-08 18:00:00+01:00,bus023,bus025,eac1,-0.2900816968815695
2030,sc01,01-08 18:00:00+01:00,bus065,bus066,eac1,0.55362260834171
2030,sc01,01-08 18:00:00+01:00,bus065,bus068,cac2,-0.9264540797059323
2030,sc01,01-08 18:00:00+01:00,bus033,bus037,eac1,0.025201482499953187
2030,sc01,01-08 18:00:00+01:00,bus054,bus055,eac1,0.003951427524368167
2030,sc01,01-08 18:00:00+01:00,bus103,bus105,eac1,0.15585919704575835
2030,sc01,01-08 18:00:00+01:00,bus038,bus065,eac1,-0.5012905451649905
2030,sc01,01-08 18:00:00+01:00,bus085,bus086,eac1,0.09863564362000021
2030,sc01,01-08 18:00:00+01:00,bus055,bus059,eac1,-0.05131574785835469
2030,sc01,01-08 18:00:00+01:00,bus005,bus006,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus025,bus027,eac1,0.28517605396979673
2030,sc01,01-08 18:00:00+01:00,bus041,bus042,eac1,-0.043240631295647924
2030,sc01,01-08 18:00:00+01:00,bus034,bus037,eac1,-0.25608972118239137
2030,sc01,01-08 18:00:00+01:00,bus099,bus100,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus086,bus087,eac1,0.0
2030,sc01,01-08 18:00:00+01:00,bus042,bus049,eac2,-0.06206314023883902
2030,sc01,01-08 18:00:00+01:00,bus030,bus038,eac1,-0.3081161162208032
2030,sc01,01-08 18:00:00+01:00,bus076,bus118,eac1,0.27091517536644316
2030,sc01,01-08 18:00:00+01:00,bus015,bus019,eac1,0.381077433014122
2030,sc01,01-08 18:00:00+01:00,bus056,bus059,eac2,-0.04496969208752316
2030,sc01,01-08 18:00:00+01:00,bus077,bus078,eac1,0.04517018593991445
2030,sc01,01-08 18:00:00+01:00,bus109,bus110,eac1,0.06951272818571719
2030,sc01,01-08 18:00:00+01:00,bus037,bus039,eac1,0.03300317162499239
2030,sc01,01-08 18:00:00+01:00,bus049,bus066,eac2,-0.1836185976059891
2030,sc01,01-08 18:00:00+01:00,bus069,bus075,eac1,0.3638489795765081
2030,sc01,01-08 18:00:00+01:00,bus114,bus115,eac1,0.06014848883223545
2030,sc01,01-08 18:00:00+01:00,bus054,bus059,eac1,-0.04707619913589228
2030,sc01,01-08 18:00:00+01:00,bus005,bus011,eac1,0.13586272999564375
2030,sc01,01-08 18:00:00+01:00,bus096,bus097,eac1,-0.08351598565473972
2030,sc01,01-08 18:00:00+01:00,bus081,bus080,eac1,-1.139
2030,sc01,01-08 18:00:00+01:00,bus051,bus052,eac1,0.04678946000278106
2030,sc01,01-08 18:00:00+01:00,bus092,bus094,eac1,-0.21382627108151805
2030,sc01,01-08 18:00:00+01:00,bus050,bus057,eac1,0.06195431543647578
2030,sc01,01-08 18:00:00+01:00,bus046,bus047,eac1,-0.0862117901542594
2030,sc01,01-08 18:00:00+01:00,bus014,bus015,eac1,-0.09034401557110572
2030,sc01,01-08 18:00:00+01:00,bus008,bus030,cac1,-0.812276844792112
2030,sc01,01-08 18:00:00+01:00,bus069,bus070,eac1,0.48080111277250204
2030,sc01,01-08 18:00:00+01:00,bus080,bus097,eac1,0.10562756832473974
2030,sc01,01-08 18:00:00+01:00,bus074,bus075,cac1,-0.411523690278937
2030,sc01,01-08 18:00:00+01:00,bus003,bus012,eac1,-0.12949669180556683
2030,sc01,01-08 18:00:00+01:00,bus027,bus115,eac1,0.09943230496776456
2030,sc01,01-08 18:00:00+01:00,bus051,bus058,eac1,0.0359632686007505
2030,sc01,01-08 18:00:00+01:00,bus029,bus031,eac1,-0.17407543015654603
2030,sc01,01-08 18:00:00+01:00,bus082,bus096,eac1,0.402
2030,sc01,01-08 18:00:00+01:00,bus001,bus003,cac1,-0.13129343121704806
2030,sc01,01-08 18:00:00+01:00,bus100,bus101,eac1,0.21720377077500475
2030,sc01,01-08 18:00:00+01:00,bus022,bus023,eac1,-0.13806235700896557
2030,sc01,01-08 18:00:00+01:00,bus042,bus049,eac1,-0.06206314023883902
2030,sc01,01-08 18:00:00+01:00,bus075,bus077,eac1,-0.402
2030,sc01,01-08 18:00:00+01:00,bus049,bus054,eac1,0.06632581110908775
2030,sc01,01-08 18:00:00+01:00,bus090,bus091,eac1,-0.11736207144406802
2030,sc01,01-08 18:00:00+01:00,bus021,bus022,eac1,-0.0654821262189656
2030,sc01,01-08 18:00:00+01:00,bus040,bus041,eac1,0.01130126177435209
2030,sc01,01-08 18:00:00+01:00,bus015,bus033,cac1,-0.5562437820597095
2030,sc01,01-08 18:00:00+01:00,bus035,bus036,eac1,0.013160119886706956
2030,sc01,01-08 18:00:00+01:00,bus056,bus059,eac1,-0.04281974664907584
2030,sc01,01-08 18:00:00+01:00,bus023,bus032,cac1,0.1976361187610285
2030,sc01,01-08 18:00:00+01:00,bus049,bus066,eac1,-0.1836185976059891
2030,sc01,01-08 18:00:00+01:00,bus015,bus017,cac1,0.020035984711992416
2030,sc01,01-08 18:00:00+01:00,bus015,bus033,cac2,-0.5562437820597095
2030,sc01,01-08 18:00:00+01:00,bus103,bus104,eac1,0.11585699019191908
2030,sc01,01-08 18:00:00+01:00,bus054,bus056,eac1,-0.004902204496552376
2030,sc01,01-08 18:00:00+01:00,bus030,bus017,eac1,0.3583046791136142
2030,sc01,01-08 18:00:00+01:00,bus077,bus082,cac1,0.0
2030,sc01,01-08 18:00:00+01:00,bus008,bus030,eac1,-0.270758948264037
2030,sc01,01-08 18:00:00+01:00,bus001,bus003,eac1,-0.13129343121704806
2030,sc01,01-08 18:00:00+01:00,bus028,bus029,eac1,6.241554345398637e-05
2030,sc01,01-08 18:00:00+01:00,bus019,bus034,eac1,-0.1299366715680913
2030,sc01,01-08 18:00:00+01:00,bus071,bus072,eac1,0.11595613793772674
2030,sc01,01-08 18:00:00+01:00,bus047,bus049,eac1,0.10097738912346799
2030,sc01,01-08 18:00:00+01:00,bus094,bus095,eac1,-0.03776834825893538
2030,sc01,01-08 18:00:00+01:00,bus076,bus077,eac1,-0.37115433656644314
2030,sc01,01-08 18:00:00+01:00,bus103,bus110,eac1,0.2310911161142828
2030,sc01,01-08 18:00:00+01:00,bus005,bus006,cac1,0.2453079007192015
2030,sc01,01-08 18:00:00+01:00,bus019,bus020,eac1,0.16667889838103445
2030,sc01,01-08 18:00:00+01:00,bus099,bus100,cac1,0.07895453200947322
2030,sc01,01-08 18:00:00+01:00,bus024,bus072,eac1,-0.11595613793772669
2030,sc01,01-08 18:00:00+01:00,bus020,bus021,eac1,0.036075512181034386
2030,sc01,01-08 18:00:00+01:00,bus100,bus103,eac1,0.6108368157519604
2030,sc01,01-08 18:00:00+01:00,bus062,bus066,eac1,-0.0534580900800376
2030,sc01,01-08 18:00:00+01:00,bus015,bus017,eac1,0.020035984711992416
2030,sc01,01-08 18:00:00+01:00,bus091,bus092,eac1,-0.11736207144406802
2030,sc01,01-08 18:00:00+01:00,bus080,bus099,cac1,0.06747983200947316
2030,sc01,01-08 18:00:00+01:00,bus049,bus069,eac1,-0.22294894810611546
2030,sc01,01-08 18:00:00+01:00,bus093,bus094,cac1,-0.24407690689265732
2030,sc01,01-08 18:00:00+01:00,bus077,bus082,eac1,-0.15446878797076224
2030,sc01,01-08 18:00:00+01:00,bus065,bus068,eac1,-0.9264540797059323
2030,sc01,01-08 18:00:00+01:00,bus047,bus069,eac1,-0.23730875581772734
2030,sc01,01-08 18:00:00+01:00,bus032,bus113,eac1,-0.21108507597200576
2030,sc01,01-08 18:00:00+01:00,bus068,bus069,cac2,-0.5419894130392654
2030,sc01,01-08 18:00:00+01:00,bus080,bus099,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus016,bus017,eac1,-0.11793542049642775
2030,sc01,01-08 18:00:00+01:00,bus093,bus094,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus085,bus088,eac1,0.1722487910167072
2030,sc01,01-08 18:00:00+01:00,bus077,bus080,eac2,-0.08692349738934446
2030,sc01,01-08 18:00:00+01:00,bus032,bus114,eac1,0.11817166777223542
2030,sc01,01-08 18:00:00+01:00,bus108,bus109,eac1,0.10708820348571724
2030,sc01,01-08 18:00:00+01:00,bus044,bus045,eac1,-0.051642427358992826
2030,sc01,01-08 18:00:00+01:00,bus083,bus085,eac1,0.2838344720471109
2030,sc01,01-08 18:00:00+01:00,bus043,bus044,eac1,-0.02805674188899282
2030,sc01,01-08 18:00:00+01:00,bus066,bus067,eac1,0.07543721894969424
2030,sc01,01-08 18:00:00+01:00,bus059,bus060,eac1,-0.08740552726039652
2030,sc01,01-08 18:00:00+01:00,bus038,bus037,cac1,0.2714071706117578
2030,sc01,01-08 18:00:00+01:00,bus040,bus042,eac1,-0.0288913321120301
2030,sc01,01-08 18:00:00+01:00,bus045,bus046,eac1,-0.060632495546761256
2030,sc01,01-08 18:00:00+01:00,bus068,bus081,eac1,-1.139
2030,sc01,01-08 18:00:00+01:00,bus023,bus024,cac1,0.0
2030,sc01,01-08 18:00:00+01:00,bus038,bus037,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus095,bus096,eac1,-0.2350396354589354
2030,sc01,01-08 18:00:00+01:00,bus017,bus113,cac1,-0.3874879240279941
2030,sc01,01-08 18:00:00+01:00,bus088,bus089,eac1,-0.05320410268329279
2030,sc01,01-08 18:00:00+01:00,bus069,bus077,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus092,bus100,eac1,-0.1532789693917794
2030,sc01,01-08 18:00:00+01:00,bus017,bus113,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus059,bus061,eac1,-0.10123003471020603
2030,sc01,01-08 18:00:00+01:00,bus100,bus104,eac1,0.24716019643812703
2030,sc01,01-08 18:00:00+01:00,bus013,bus015,eac1,-0.13346161620112068
2030,sc01,01-08 18:00:00+01:00,bus077,bus080,eac1,-0.18818489125528182
2030,sc01,01-08 18:00:00+01:00,bus063,bus059,eac1,0.4058729798602434
2030,sc01,01-08 18:00:00+01:00,bus089,bus092,eac2,-0.053875366979089234
2030,sc01,01-08 18:00:00+01:00,bus063,bus064,eac1,-0.4058729798602433
2030,sc01,01-08 18:00:00+01:00,bus074,bus075,eac1,-0.13714077658803003
2030,sc01,01-08 18:00:00+01:00,bus082,bus083,cac2,0.0
2030,sc01,01-08 18:00:00+01:00,bus094,bus100,cac1,-0.19711629551198373
2030,sc01,01-08 18:00:00+01:00,bus060,bus061,eac1,-0.1859780558350672
2030,sc01,01-08 18:00:00+01:00,bus083,bus084,eac1,0.2311030612819297
2030,sc01,01-08 18:00:00+01:00,bus026,bus025,eac1,0.44655659271345116
2030,sc01,01-08 18:00:00+01:00,bus015,bus033,eac1,-0.18541608449091612
2030,sc01,01-08 18:00:00+01:00,bus071,bus073,eac1,0.0
2030,sc01,01-08 18:00:00+01:00,bus037,bus040,eac1,0.0183754586373287
2030,sc01,01-08 18:00:00+01:00,bus094,bus100,cac2,-0.19711629551198373
2030,sc01,01-08 18:00:00+01:00,bus004,bus011,eac1,0.10152432711277548
2030,sc01,01-08 18:00:00+01:00,bus034,bus043,eac1,-0.0015228453989927782
2030,sc01,01-08 18:00:00+01:00,bus101,bus102,eac1,0.11387119277500479
2030,sc01,01-08 18:00:00+01:00,bus070,bus074,eac1,-0.08393235286696699
2030,sc01,01-08 18:00:00+01:00,bus068,bus069,cac1,-0.5419894130392654
2030,sc01,01-08 18:00:00+01:00,bus094,bus096,eac1,-0.16681029199127229
2030,sc01,01-08 18:00:00+01:00,bus056,bus057,eac1,-0.044265054726475794
2030,sc01,01-08 18:00:00+01:00,bus078,bus079,eac1,-0.05949128906008555
2030,sc01,01-08 18:00:00+01:00,bus034,bus036,eac1,0.03535268275329306
2030,sc01,01-08 18:00:00+01:00,bus089,bus092,eac1,-0.16866723800780226
2030,sc01,01-08 18:00:00+01:00,bus080,bus098,eac1,0.10206011514627755
2030,sc01,01-08 18:00:00+01:00,bus011,bus013,eac1,0.11318811219887936
2030,sc01,01-08 18:00:00+01:00,bus048,bus049,eac1,-0.04263018309250188
2030,sc01,01-08 18:00:00+01:00,bus100,bus106,eac1,0.25342725703491265
2030,sc01,01-08 18:00:00+01:00,bus018,bus019,eac1,-0.07858291080117913
2030,sc01,01-08 18:00:00+01:00,bus105,bus108,eac1,0.11648207231071717
2030,sc01,01-08 18:00:00+01:00,bus045,bus049,eac1,-0.06913751035223137
2030,sc01,01-08 18:00:00+01:00,bus064,bus061,eac1,0.32088251542087143
2030,sc01,01-08 18:00:00+01:00,bus031,bus032,eac1,-0.05366739995620323
2030,sc01,01-08 18:00:00+01:00,bus035,bus037,eac1,-0.06479802925670697
2030,sc01,01-08 18:00:00+01:00,bus084,bus085,eac1,0.17943678274192965
2030,sc01,01-08 18:00:00+01:00,bus033,bus037,cac1,0.07565772758971168
2030,sc01,01-08 18:00:00+01:00,bus038,bus065,cac1,-0.5012905451649905
2030,sc01,01-08 18:00:00+01:00,bus080,bus096,eac1,0.0948174703954679
2030,sc01,01-08 18:00:00+01:00,bus053,bus054,eac1,-0.013648857827218919
2030,sc01,01-08 18:00:00+01:00,bus068,bus069,eac1,-0.5419894130392654
