Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-06 02:00:00+01:00,bus008,bus030,eac1,-0.043407673859999996
2030,sc01,01-06 02:00:00+01:00,bus054,bus059,eac1,0.017129728346051476
2030,sc01,01-06 02:00:00+01:00,bus094,bus095,eac1,0.11143175231208657
2030,sc01,01-06 02:00:00+01:00,bus049,bus051,eac1,0.07015964427360072
2030,sc01,01-06 02:00:00+01:00,bus084,bus085,eac1,-0.0557226056828829
2030,sc01,01-06 02:00:00+01:00,bus023,bus032,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus012,bus016,eac1,0.1456676183755684
2030,sc01,01-06 02:00:00+01:00,bus034,bus036,eac1,0.019484332694876205
2030,sc01,01-06 02:00:00+01:00,bus030,bus038,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus096,bus097,eac1,-0.10746238429454846
2030,sc01,01-06 02:00:00+01:00,bus056,bus058,eac1,0.016363845175594915
2030,sc01,01-06 02:00:00+01:00,bus080,bus097,eac1,0.12412350596454846
2030,sc01,01-06 02:00:00+01:00,bus075,bus077,eac1,-0.0034047678396340597
2030,sc01,01-06 02:00:00+01:00,bus008,bus009,eac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus099,bus100,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus045,bus049,eac1,-0.12081175408380668
2030,sc01,01-06 02:00:00+01:00,bus089,bus092,eac2,-0.03391148639970143
2030,sc01,01-06 02:00:00+01:00,bus019,bus034,eac1,0.018648352382193756
2030,sc01,01-06 02:00:00+01:00,bus050,bus057,eac1,0.023888535957068524
2030,sc01,01-06 02:00:00+01:00,bus080,bus098,eac1,0.20231077448982815
2030,sc01,01-06 02:00:00+01:00,bus105,bus107,eac1,-0.04172398793915916
2030,sc01,01-06 02:00:00+01:00,bus012,bus117,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus062,bus066,eac1,-0.028861436684390562
2030,sc01,01-06 02:00:00+01:00,bus105,bus106,eac1,-0.051135107211034536
2030,sc01,01-06 02:00:00+01:00,bus004,bus011,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus080,bus096,eac1,0.11595360696239754
2030,sc01,01-06 02:00:00+01:00,bus109,bus110,eac1,0.07050140889784717
2030,sc01,01-06 02:00:00+01:00,bus030,bus017,eac1,0.3362589928066666
2030,sc01,01-06 02:00:00+01:00,bus027,bus032,eac1,-0.0650024735641111
2030,sc01,01-06 02:00:00+01:00,bus085,bus086,eac1,-0.11247279549
2030,sc01,01-06 02:00:00+01:00,bus091,bus092,eac1,-0.009587187106797457
2030,sc01,01-06 02:00:00+01:00,bus038,bus037,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus055,bus059,eac1,0.009983780548753818
2030,sc01,01-06 02:00:00+01:00,bus064,bus065,eac1,0.07054158121356502
2030,sc01,01-06 02:00:00+01:00,bus098,bus100,eac1,0.11707506428982817
2030,sc01,01-06 02:00:00+01:00,bus011,bus012,eac1,-0.26900078158264557
2030,sc01,01-06 02:00:00+01:00,bus103,bus105,eac1,0.04941803602114658
2030,sc01,01-06 02:00:00+01:00,bus074,bus075,eac1,-0.12447856365632848
2030,sc01,01-06 02:00:00+01:00,bus069,bus077,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,bus003,bus012,eac1,-0.08269467270111569
