Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-03 13:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-03 13:00:00+01:00,Geothermal,0.0
2030,sc01,01-03 13:00:00+01:00,Oil,0.0
2030,sc01,01-03 13:00:00+01:00,WT-Onshore,287.14887216937007
2030,sc01,01-03 13:00:00+01:00,DG-BTM,34.824561412033276
2030,sc01,01-03 13:00:00+01:00,Hydro,220.42334742161404
2030,sc01,01-03 13:00:00+01:00,SolarPV-Tracking,93.9911122662057
2030,sc01,01-03 13:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-03 13:00:00+01:00,Natural gas,10.586702002228797
2030,sc01,01-03 13:00:00+01:00,SolarPV-NonTracking,128.9140252511319
2030,sc01,01-03 13:00:00+01:00,Biomass,0.0
2030,sc01,01-03 13:00:00+01:00,Coal,0.0
2030,sc01,01-03 13:00:00+01:00,Battery,0.0
2030,sc01,01-06 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-06 15:00:00+01:00,Geothermal,0.0
2030,sc01,01-06 15:00:00+01:00,Oil,0.0
2030,sc01,01-06 15:00:00+01:00,WT-Onshore,504.10413709254806
2030,sc01,01-06 15:00:00+01:00,DG-BTM,66.53837494223443
2030,sc01,01-06 15:00:00+01:00,Hydro,331.9019497787198
2030,sc01,01-06 15:00:00+01:00,SolarPV-Tracking,257.07483033502876
2030,sc01,01-06 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-06 15:00:00+01:00,Natural gas,12.778469740527157
2030,sc01,01-06 15:00:00+01:00,SolarPV-NonTracking,189.15798579799406
2030,sc01,01-06 15:00:00+01:00,Biomass,0.0
2030,sc01,01-06 15:00:00+01:00,Coal,0.0
2030,sc01,01-06 15:00:00+01:00,Battery,0.0
2030,sc01,01-06 20:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-06 20:00:00+01:00,Geothermal,0.224
2030,sc01,01-06 20:00:00+01:00,Oil,0.0
2030,sc01,01-06 20:00:00+01:00,WT-Onshore,70.16556928876793
2030,sc01,01-06 20:00:00+01:00,DG-BTM,0.08923936929600002
2030,sc01,01-06 20:00:00+01:00,Hydro,53.552717904000005
