Period,Scenario,LoadLevel,mEUR
2030,sc01,01-09 05:00:00+01:00,958834.9701345357
2030,sc01,01-14 22:00:00+01:00,1239942.874721125
2030,sc01,01-18 19:00:00+01:00,226788.11690608258
2030,sc01,01-19 22:00:00+01:00,1987347.0290694083
2030,sc01,01-20 04:00:00+01:00,672536.415605479
2030,sc01,01-21 18:00:00+01:00,10832.165024791693
2030,sc01,01-21 23:00:00+01:00,896621.5688037315
2030,sc01,01-22 00:00:00+01:00,1595767.891339737
2030,sc01,01-22 10:00:00+01:00,1100838.5986716726
2030,sc01,01-23 06:00:00+01:00,1480778.9876545812
2030,sc01,01-27 20:00:00+01:00,1445253.3091611404
2030,sc01,01-29 22:00:00+01:00,3488595.7102700095
2030,sc01,02-08 13:00:00+01:00,1110686.1992008418
2030,sc01,02-08 22:00:00+01:00,830597.504529808
2030,sc01,02-10 01:00:00+01:00,145724.06627449245
2030,sc01,02-25 22:00:00+01:00,761554.2977514123
2030,sc01,03-02 20:00:00+01:00,865516.4365756676
2030,sc01,03-02 23:00:00+01:00,2503305.8355827373
2030,sc01,03-18 16:00:00+01:00,1453564.998120416
2030,sc01,03-21 21:00:00+01:00,601339.3704224523
2030,sc01,03-28 07:00:00+01:00,1200054.2782067573
2030,sc01,04-04 09:00:00+02:00,974900.3614759172
2030,sc01,04-09 18:00:00+02:00,759258.7706696419
2030,sc01,04-11 07:00:00+02:00,33625.19673936374
2030,sc01,04-15 06:00:00+02:00,1029905.4657218357
2030,sc01,04-26 15:00:00+02:00,1956351.386494585
2030,sc01,04-30 11:00:00+02:00,406089.125383
2030,sc01,05-08 07:00:00+02:00,86587.55701895356
2030,sc01,05-09 20:00:00+02:00,520033.9880119705
2030,sc01,05-14 16:00:00+02:00,783395.0217252435
2030,sc01,05-24 13:00:00+02:00,256208.27952756014
2030,sc01,05-30 00:00:00+02:00,0.0
2030,sc01,06-05 11:00:00+02:00,1327914.8122351416
2030,sc01,06-09 21:00:00+02:00,765815.2765491006
2030,sc01,06-13 20:00:00+02:00,1332766.9312357844
2030,sc01,06-16 21:00:00+02:00,1051083.1148536033
2030,sc01,06-21 20:00:00+02:00,1039783.944892271
2030,sc01,06-24 08:00:00+02:00,206677.64299524168
2030,sc01,07-02 22:00:00+02:00,530342.2157437343
2030,sc01,07-08 00:00:00+02:00,0.0
2030,sc01,07-19 07:00:00+02:00,1174989.4710787733
2030,sc01,07-23 21:00:00+02:00,473000.1591245939
2030,sc01,07-24 00:00:00+02:00,868911.997528074
2030,sc01,07-29 18:00:00+02:00,1710081.1146687604
2030,sc01,07-31 22:00:00+02:00,1386042.4476573253
2030,sc01,08-06 19:00:00+02:00,1810099.6495856373
2030,sc01,08-10 00:00:00+02:00,0.0
2030,sc01,08-16 12:00:00+02:00,655159.3569017253
2030,sc01,08-21 23:00:00+02:00,459890.1952031398
2030,sc01,08-24 18:00:00+02:00,777659.1245004028
2030,sc01,08-29 13:00:00+02:00,796465.0489420363
2030,sc01,09-01 00:00:00+02:00,0.0
2030,sc01,09-02 21:00:00+02:00,1172912.682113325
2030,sc01,09-15 00:00:00+02:00,0.0
2030,sc01,09-24 11:00:00+02:00,675100.2623004416
2030,sc01,09-27 14:00:00+02:00,523788.7868153855
2030,sc01,09-27 20:00:00+02:00,515557.9433680646
2030,sc01,10-05 00:00:00+02:00,0.0
2030,sc01,10-07 10:00:00+02:00,1057041.3623998796
2030,sc01,10-16 18:00:00+02:00,1092711.564332418
2030,sc01,10-26 13:00:00+02:00,0.0
2030,sc01,10-30 06:00:00+01:00,525656.5261389448
2030,sc01,11-05 13:00:00+01:00,1533352.4909762244
2030,sc01,11-05 19:00:00+01:00,225601.84302251393
2030,sc01,11-06 12:00:00+01:00,1264422.887034851
2030,sc01,11-06 15:00:00+01:00,792519.5661675122
2030,sc01,11-10 18:00:00+01:00,2069207.9824999128
2030,sc01,11-12 19:00:00+01:00,1052506.130311728
2030,sc01,11-13 18:00:00+01:00,396714.6433684579
2030,sc01,11-18 10:00:00+01:00,820781.4257149005
2030,sc01,11-21 17:00:00+01:00,640758.9237791987
2030,sc01,11-23 12:00:00+01:00,738999.3327174345
2030,sc01,11-28 08:00:00+01:00,3912819.1944682403
2030,sc01,11-28 17:00:00+01:00,1255683.9862579552
2030,sc01,12-05 20:00:00+01:00,2280034.8652192783
2030,sc01,12-10 22:00:00+01:00,1272303.5792480446
2030,sc01,12-11 11:00:00+01:00,772821.0261945059
2030,sc01,12-13 10:00:00+01:00,1087097.2011102024
2030,sc01,12-19 07:00:00+01:00,974804.5411241342
2030,sc01,12-21 11:00:00+01:00,485055.74345612223
