Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-08 01:00:00+01:00,CC NG 35,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 15,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 08,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 13,0.0
2030,sc01,01-08 01:00:00+01:00,ST NG 04,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 03,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 71,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 21,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 12,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 22,120.44779841389392
2030,sc01,01-08 01:00:00+01:00,CT NG 23,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 45,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 24,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 47,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 46,0.0
2030,sc01,01-08 01:00:00+01:00,ST Coal 01,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 19,0.3277080028790812
2030,sc01,01-08 01:00:00+01:00,CT NG 04,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 17,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 05,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 72,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 01,0.0
2030,sc01,01-08 01:00:00+01:00,CT Oil 04,0.0
2030,sc01,01-08 01:00:00+01:00,CT Oil 05,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 16,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 15,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 35,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 68,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 07,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 09,0.0
2030,sc01,01-08 01:00:00+01:00,CT NG 54,0.0
2030,sc01,01-08 01:00:00+01:00,CC NG 29,0.0
