Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-02 01:00:00+01:00,N_108,N_110,eac1,-0.03168199093727858
2030,sc01,01-02 01:00:00+01:00,N_107,N_108,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_112,N_123,eac1,-0.08798632769322268
2030,sc01,01-02 01:00:00+01:00,N_106,N_110,eac1,-0.06712906951382464
2030,sc01,01-02 01:00:00+01:00,N_117,N_122,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_101,N_103,eac1,-0.06154901013802863
2030,sc01,01-02 01:00:00+01:00,N_107,N_108,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_110,N_111,eac1,-0.11954417151692226
2030,sc01,01-02 01:00:00+01:00,N_120,N_123,eac1,0.17448869532526878
2030,sc01,01-02 01:00:00+01:00,N_117,N_122,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_108,N_109,eac1,-0.062877397141579
2030,sc01,01-02 01:00:00+01:00,N_107,N_108,eac1,-0.023245604247493168
2030,sc01,01-02 01:00:00+01:00,N_110,N_112,eac1,-0.08536964773550071
2030,sc01,01-02 01:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_117,N_122,eac1,-0.32547642561985696
2030,sc01,01-02 01:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-02 01:00:00+01:00,N_107,N_108,cac1,-0.023245604247493168
2030,sc01,01-02 01:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_117,N_122,cac1,-0.32547642561985696
2030,sc01,01-02 01:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_117,N_118,cac2,-0.11215421840262074
2030,sc01,01-02 01:00:00+01:00,N_109,N_112,eac1,-0.02398273993657346
2030,sc01,01-02 01:00:00+01:00,N_113,N_123,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_117,N_118,eac1,-0.05607710920131037
2030,sc01,01-02 01:00:00+01:00,N_109,N_111,cac1,-0.058157263717994956
2030,sc01,01-02 01:00:00+01:00,N_109,N_111,eac1,-0.058157263717994956
2030,sc01,01-02 01:00:00+01:00,N_111,N_113,eac1,0.038870127946805444
2030,sc01,01-02 01:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-02 01:00:00+01:00,N_113,N_123,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_121,N_122,eac1,-0.4650384963852745
2030,sc01,01-02 01:00:00+01:00,N_105,N_110,eac1,-0.02956972133131977
2030,sc01,01-02 01:00:00+01:00,N_112,N_113,eac1,-0.021366059978851437
2030,sc01,01-02 01:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_101,N_105,eac1,-0.0017038461413197703
2030,sc01,01-02 01:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_111,N_114,eac1,-0.27472882689971756
2030,sc01,01-02 01:00:00+01:00,N_114,N_116,eac1,-0.35086938725971756
2030,sc01,01-02 01:00:00+01:00,N_113,N_123,cac1,0.0
2030,sc01,01-02 01:00:00+01:00,N_102,N_104,eac1,-0.022498177632955724
2030,sc01,01-02 01:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_113,N_123,eac1,-0.08650236763204605
2030,sc01,01-02 01:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-02 01:00:00+01:00,N_115,N_116,eac1,-0.06665147805932858
2030,sc01,01-02 01:00:00+01:00,N_102,N_106,eac1,0.00529322529230411
2030,sc01,01-02 01:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-02 01:00:00+01:00,N_104,N_109,eac1,-0.0515414841629557
2030,sc01,01-02 01:00:00+01:00,N_106,N_108,cac1,0.01904540713612876
2030,sc01,01-02 01:00:00+01:00,N_115,N_116,cac1,-0.06665147805932853
2030,sc01,01-02 01:00:00+01:00,N_115,N_121,eac1,-0.16611228938134287
2030,sc01,01-02 01:00:00+01:00,N_101,N_102,eac1,0.020865327839348413
2030,sc01,01-02 01:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-02 01:00:00+01:00,N_116,N_117,cac3,-0.6553473430749159
2030,sc01,01-02 01:00:00+01:00,N_118,N_121,cac2,-0.14946310350196623
2030,sc01,01-02 01:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-02 01:00:00+01:00,N_103,N_109,eac1,0.042805109111971384
2030,sc01,01-02 01:00:00+01:00,N_118,N_121,eac1,-0.074731551750983
