Period,Scenario,LoadLevel,mEUR
2030,sc01,01-05 06:00:00+01:00,9013.74885820179
2030,sc01,01-08 18:00:00+01:00,4129.382263956724
2030,sc01,01-09 22:00:00+01:00,2292.958097426335
2030,sc01,01-10 14:00:00+01:00,39218.740804477384
2030,sc01,01-12 12:00:00+01:00,14216.182031733973
2030,sc01,01-13 13:00:00+01:00,9159.883509313218
2030,sc01,01-14 14:00:00+01:00,27496.41247032992
2030,sc01,01-15 11:00:00+01:00,49639.789815248194
2030,sc01,01-16 06:00:00+01:00,3072.981356099567
2030,sc01,01-16 16:00:00+01:00,21352.307474482503
2030,sc01,01-18 02:00:00+01:00,10900.104303824506
2030,sc01,01-21 08:00:00+01:00,44976.969585736755
2030,sc01,01-21 09:00:00+01:00,14859.390561402864
2030,sc01,01-22 11:00:00+01:00,18756.602237442978
2030,sc01,01-22 13:00:00+01:00,16626.47668985347
2030,sc01,01-23 06:00:00+01:00,1975.006587608454
2030,sc01,01-25 08:00:00+01:00,6847.940184462712
2030,sc01,01-27 15:00:00+01:00,5340.839563735763
2030,sc01,01-28 20:00:00+01:00,4288.083615091424
2030,sc01,01-31 21:00:00+01:00,2715.1358685561704
2030,sc01,02-02 23:00:00+01:00,20065.594428770342
2030,sc01,02-04 13:00:00+01:00,21967.275165802937
2030,sc01,02-07 17:00:00+01:00,34572.860514472486
2030,sc01,02-11 09:00:00+01:00,27871.631004504095
2030,sc01,02-13 08:00:00+01:00,4307.406920416911
2030,sc01,02-15 11:00:00+01:00,10433.042322356094
2030,sc01,02-17 12:00:00+01:00,27814.561381302246
2030,sc01,02-18 14:00:00+01:00,2444.060436555108
2030,sc01,02-18 16:00:00+01:00,12089.528411050087
2030,sc01,02-21 20:00:00+01:00,4804.006538827527
2030,sc01,02-22 07:00:00+01:00,11389.78373130678
2030,sc01,02-22 11:00:00+01:00,7871.698094275072
2030,sc01,02-25 10:00:00+01:00,6811.709960882893
2030,sc01,02-27 07:00:00+01:00,47853.060938167706
2030,sc01,02-27 14:00:00+01:00,2946.242614435114
2030,sc01,03-05 00:00:00+01:00,23947.17648438359
2030,sc01,03-05 09:00:00+01:00,10782.944825957005
2030,sc01,03-10 17:00:00+01:00,5416.0875712285515
2030,sc01,03-18 09:00:00+01:00,7598.802735719587
2030,sc01,03-18 23:00:00+01:00,21410.77940478138
2030,sc01,03-19 06:00:00+01:00,8937.788225378616
2030,sc01,03-20 06:00:00+01:00,25629.549028349746
2030,sc01,03-24 06:00:00+01:00,1461.5342796864993
2030,sc01,03-27 12:00:00+01:00,1928.4489556651638
2030,sc01,03-28 15:00:00+01:00,2861.7947157097574
2030,sc01,03-29 00:00:00+01:00,17052.8344829529
2030,sc01,03-29 19:00:00+01:00,46688.24838419219
2030,sc01,04-06 07:00:00+02:00,20241.562013316165
2030,sc01,04-09 11:00:00+02:00,1989.2383812227563
2030,sc01,04-09 17:00:00+02:00,9136.714987480818
2030,sc01,04-09 23:00:00+02:00,16284.270787104553
2030,sc01,04-14 18:00:00+02:00,4559.263012923622
2030,sc01,04-14 19:00:00+02:00,10917.123055808976
2030,sc01,04-15 19:00:00+02:00,20391.27372321948
2030,sc01,04-20 12:00:00+02:00,17350.222914986054
2030,sc01,04-23 11:00:00+02:00,1671.1577613056913
2030,sc01,04-29 07:00:00+02:00,21003.978344316376
2030,sc01,04-30 09:00:00+02:00,5651.203097814895
2030,sc01,05-01 16:00:00+02:00,26283.916773429635
2030,sc01,05-09 06:00:00+02:00,16412.26258355287
