Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,02-16 22:00:00+01:00,N_113,N_123,eac1,0.021722970582738893
2030,sc01,02-16 22:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,02-16 22:00:00+01:00,N_102,N_104,eac1,-0.02417502849740724
2030,sc01,02-16 22:00:00+01:00,N_109,N_111,eac1,-0.034227674317468815
2030,sc01,02-16 22:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,02-16 22:00:00+01:00,N_117,N_118,cac2,-0.08578004345350121
2030,sc01,02-16 22:00:00+01:00,N_110,N_112,eac1,-0.09151090250303745
2030,sc01,02-16 22:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,02-16 22:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,02-16 22:00:00+01:00,N_116,N_119,eac1,-0.12141888357527042
2030,sc01,02-16 22:00:00+01:00,N_116,N_117,eac1,-0.034637643343606694
2030,sc01,02-16 22:00:00+01:00,N_112,N_123,eac1,-0.0327536545574684
2030,sc01,02-16 22:00:00+01:00,N_101,N_102,eac1,-0.0722593732110042
2030,sc01,02-16 22:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,02-16 22:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,02-16 22:00:00+01:00,N_118,N_121,eac1,0.01296475067859948
2030,sc01,02-16 22:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,02-16 22:00:00+01:00,N_114,N_116,eac1,-0.12822239626628323
2030,sc01,02-16 22:00:00+01:00,N_111,N_113,eac1,-0.12879186373116108
2030,sc01,02-16 22:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,02-16 22:00:00+01:00,N_101,N_103,eac1,-0.03369621975086337
2030,sc01,02-16 22:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,02-16 22:00:00+01:00,N_115,N_121,eac1,-0.06319562358196645
2030,sc01,02-16 22:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,02-16 22:00:00+01:00,N_121,N_122,eac1,0.0016281298110311093
2030,sc01,02-16 22:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,02-16 22:00:00+01:00,N_109,N_112,eac1,-0.04718897024053087
2030,sc01,02-16 22:00:00+01:00,N_115,N_116,eac1,-0.11084631922702082
2030,sc01,02-16 22:00:00+01:00,N_117,N_118,eac1,-0.042890021726750605
2030,sc01,02-16 22:00:00+01:00,N_106,N_110,eac1,-0.015208666523597342
2030,sc01,02-16 22:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,02-16 22:00:00+01:00,N_108,N_109,eac1,-0.09313624581871685
2030,sc01,02-16 22:00:00+01:00,N_110,N_111,eac1,-0.0785496065799754
2030,sc01,02-16 22:00:00+01:00,N_107,N_108,eac1,-0.07329431913000001
2030,sc01,02-16 22:00:00+01:00,N_105,N_110,eac1,0.008816690421867557
