,Weight
sti1,238
sti10,75
sti11,71
sti12,258
sti13,54
sti14,58
sti15,259
sti16,274
sti17,231
sti18,103
sti19,63
sti2,244
sti20,61
sti21,27
sti22,50
sti23,114
sti24,92
sti25,62
sti26,66
sti27,313
sti28,45
sti29,85
sti3,51
sti30,75
sti31,87
sti32,255
sti33,35
sti34,221
sti35,72
sti36,285
sti37,255
sti38,77
sti39,83
sti4,52
sti40,74
sti41,216
sti42,75
sti43,54
sti44,33
sti45,51
sti46,288
sti47,92
sti48,67
sti49,49
sti5,104
sti50,27
sti51,45
sti52,53
sti53,12
sti54,60
sti55,62
sti56,69
sti57,49
sti58,94
sti59,88
sti6,304
sti60,287
sti61,65
sti62,105
sti63,60
sti64,36
sti65,47
sti66,249
sti67,66
sti68,45
sti69,261
sti7,91
sti70,63
sti71,49
sti72,37
sti73,58
sti74,31
sti75,70
sti76,193
sti77,54
sti78,246
sti79,86
sti8,61
sti80,68
sti9,51
