Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_2,eac1,0.9999904762811783
2030,sc01,2030-01-01T00:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_2,Node_3,eac1,0.13044246513522506
2030,sc01,2030-01-01T00:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_3,eac1,0.8054258380103972
2030,sc01,2030-01-01T00:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_2,eac1,0.9999904762811783
2030,sc01,2030-01-01T01:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_2,Node_3,eac1,0.10716445998323254
2030,sc01,2030-01-01T01:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_3,eac1,0.7913578336086576
2030,sc01,2030-01-01T01:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_2,eac1,0.9999904762811783
2030,sc01,2030-01-01T02:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_2,Node_3,eac1,0.07808524376819496
2030,sc01,2030-01-01T02:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_3,eac1,0.7766397175628407
2030,sc01,2030-01-01T02:00:00+01:00,Node_1,Node_2,cac2,0.0
