Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,02-28 08:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_2,eac1,0.16437497413241342
2030,sc01,02-28 08:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_3,eac1,0.5070840915472381
2030,sc01,02-28 08:00:00+01:00,Node_2,Node_3,cac1,0.5789886643009442
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,02-28 08:00:00+01:00,Node_2,Node_3,eac1,0.5789983139511051
2030,sc01,02-28 08:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,03-15 09:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_2,eac1,0.5740171174761927
2030,sc01,03-15 09:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_3,eac1,0.40645103705967556
2030,sc01,03-15 09:00:00+01:00,Node_2,Node_3,cac1,0.6575731645098709
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,03-15 09:00:00+01:00,Node_2,Node_3,eac1,0.6575841238799217
2030,sc01,03-15 09:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,03-24 17:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_2,eac1,0.17134024181219332
2030,sc01,03-24 17:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_3,eac1,0.6000555403179618
2030,sc01,03-24 17:00:00+01:00,Node_2,Node_3,cac1,0.5250852547735743
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,03-24 17:00:00+01:00,Node_2,Node_3,eac1,0.525094006048519
2030,sc01,03-24 17:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_3,cac3,0.0
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_2,cac1,0.0
2030,sc01,04-05 02:00:00+02:00,Node_2,Node_3,cac2,0.0
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_2,eac1,0.07716762772275115
2030,sc01,04-05 02:00:00+02:00,Node_2,Node_3,cac3,0.0
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_3,cac1,0.0
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_2,cac2,0.0
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_3,eac1,0.5472857393531416
2030,sc01,04-05 02:00:00+02:00,Node_2,Node_3,cac1,0.5135162633808985
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_2,cac3,0.0
2030,sc01,04-05 02:00:00+02:00,Node_2,Node_3,eac1,0.5135248218426663
2030,sc01,04-05 02:00:00+02:00,Node_1,Node_3,cac2,0.0
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_3,cac3,0.0
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_2,cac1,0.0
2030,sc01,04-15 19:00:00+02:00,Node_2,Node_3,cac2,0.0
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_2,eac1,0.5048556191604255
2030,sc01,04-15 19:00:00+02:00,Node_2,Node_3,cac3,0.0
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_3,cac1,0.0
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_2,cac2,0.0
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_3,eac1,0.5307544604513509
2030,sc01,04-15 19:00:00+02:00,Node_2,Node_3,cac1,0.7516167929787319
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_2,cac3,0.0
2030,sc01,04-15 19:00:00+02:00,Node_2,Node_3,eac1,0.7516293197164061
2030,sc01,04-15 19:00:00+02:00,Node_1,Node_3,cac2,0.0
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_3,cac3,0.0
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_2,cac1,0.0
2030,sc01,06-06 15:00:00+02:00,Node_2,Node_3,cac2,0.0
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_2,eac1,0.7183914614081248
2030,sc01,06-06 15:00:00+02:00,Node_2,Node_3,cac3,0.0
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_3,cac1,0.0
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_2,cac2,0.0
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_3,eac1,0.6411240293559767
2030,sc01,06-06 15:00:00+02:00,Node_2,Node_3,cac1,0.9554051188806219
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_2,cac3,0.0
2030,sc01,06-06 15:00:00+02:00,Node_2,Node_3,eac1,0.9554210420338882
2030,sc01,06-06 15:00:00+02:00,Node_1,Node_3,cac2,0.0
