Period,Scenario,LoadLevel,Area,Node,Technology,GWh
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,Wind,16.175327874999997
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,Wind,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,ENS,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,EnergyDemand,-10.5457593388
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,PowerFlowOut,-5.6295685362
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_1,PowerFlowIn,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,CCGT,59.70169268700374
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,CCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,ENS,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,EnergyDemand,-18.8553069512
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,PowerFlowOut,-33.44957356995062
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_2,PowerFlowIn,-7.396812165853121
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,Solar,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,Solar,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,ENS,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,EnergyDemand,-46.475954272
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,PowerFlowOut,0.0
2030,sc01,02-13 06:00:00+01:00,Area_1,Node_3,PowerFlowIn,46.47595427200375
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,Wind,21.0264917625
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,Wind,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,ENS,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,EnergyDemand,-6.149429785530001
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,PowerFlowOut,-14.877061976970001
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_1,PowerFlowIn,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,CCGT,27.930398862959997
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,CCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,ENS,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,EnergyDemand,-14.193250088219997
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,PowerFlowOut,-17.741392569540515
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_2,PowerFlowIn,4.00424379480052
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,Solar,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,Solar,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,ENS,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,EnergyDemand,-28.61421075171
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,PowerFlowOut,0.0
2030,sc01,03-01 00:00:00+01:00,Area_1,Node_3,PowerFlowIn,28.614210751709997
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,Wind,2.3607116500000003
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,Wind,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,ENS,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,EnergyDemand,-2.71109946842
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,PowerFlowOut,0.3503878184199998
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_1,PowerFlowIn,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,CCGT,24.451457629218705
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,CCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,ENS,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,EnergyDemand,-7.65919553876
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,PowerFlowOut,-12.41900265863362
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_2,PowerFlowIn,-4.373259431825087
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,Solar,0.093367675
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,Solar,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,ENS,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,EnergyDemand,-16.53524194704
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,PowerFlowOut,0.0
2030,sc01,03-11 07:00:00+01:00,Area_1,Node_3,PowerFlowIn,16.441874272038707
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,Wind,36.4133196375
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,Wind,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,ENS,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,EnergyDemand,-13.743691170140002
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,PowerFlowOut,-22.669628467360003
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_1,PowerFlowIn,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,CCGT,44.012098233086526
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,CCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,ENS,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,EnergyDemand,-28.05337306437
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,PowerFlowOut,-23.303858110216886
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_2,PowerFlowIn,7.345132941500357
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_3,Solar,11.3676072
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,03-19 12:00:00+01:00,Area_1,Node_3,CCGT,0.0
