Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-14 10:00:00+01:00,CCGT_4,0.0
2030,sc01,01-14 10:00:00+01:00,OCGT_3,0.0
2030,sc01,01-14 10:00:00+01:00,CCGT_1,0.0
2030,sc01,01-14 10:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-14 10:00:00+01:00,OCGT_2,0.0
2030,sc01,01-14 10:00:00+01:00,BrownLignite,0.0
2030,sc01,01-14 10:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-14 10:00:00+01:00,CCGT_2,0.0
2030,sc01,01-14 10:00:00+01:00,Nuclear,0.0
2030,sc01,01-14 10:00:00+01:00,CCGT_3,0.0
2030,sc01,01-14 10:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-14 10:00:00+01:00,OCGT_1,0.0
2030,sc01,01-14 10:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-18 04:00:00+01:00,CCGT_4,0.0
2030,sc01,01-18 04:00:00+01:00,OCGT_3,0.0
2030,sc01,01-18 04:00:00+01:00,CCGT_1,0.0
2030,sc01,01-18 04:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-18 04:00:00+01:00,OCGT_2,0.0
2030,sc01,01-18 04:00:00+01:00,BrownLignite,0.0
2030,sc01,01-18 04:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-18 04:00:00+01:00,CCGT_2,0.0
2030,sc01,01-18 04:00:00+01:00,Nuclear,0.0
2030,sc01,01-18 04:00:00+01:00,CCGT_3,0.0
2030,sc01,01-18 04:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-18 04:00:00+01:00,OCGT_1,0.0
2030,sc01,01-18 04:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-18 12:00:00+01:00,CCGT_4,0.0
2030,sc01,01-18 12:00:00+01:00,OCGT_3,0.0
2030,sc01,01-18 12:00:00+01:00,CCGT_1,0.0
2030,sc01,01-18 12:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-18 12:00:00+01:00,OCGT_2,0.0
2030,sc01,01-18 12:00:00+01:00,BrownLignite,0.0
2030,sc01,01-18 12:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-18 12:00:00+01:00,CCGT_2,0.0
2030,sc01,01-18 12:00:00+01:00,Nuclear,0.0
2030,sc01,01-18 12:00:00+01:00,CCGT_3,0.0
2030,sc01,01-18 12:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-18 12:00:00+01:00,OCGT_1,0.0
2030,sc01,01-18 12:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-28 21:00:00+01:00,CCGT_4,31.69169818250206
2030,sc01,01-28 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-28 21:00:00+01:00,CCGT_1,0.0
2030,sc01,01-28 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-28 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-28 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-28 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-28 21:00:00+01:00,CCGT_2,0.0
2030,sc01,01-28 21:00:00+01:00,Nuclear,0.0
2030,sc01,01-28 21:00:00+01:00,CCGT_3,0.6592104649049475
2030,sc01,01-28 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-28 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-28 21:00:00+01:00,ImportedCoal_Bituminous,0.0
