Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_9,eac1,-0.03971588783919783
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_1,Node_6,eac1,0.16937269023500007
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_3,eac1,0.03001530563771798
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_4,eac1,0.1541192046017224
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_1,Node_6,cac2,0.33874538047
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_6,eac1,-0.1653406043590797
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_8,eac1,0.13123683678213188
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_6,eac1,-0.11552072373771799
2030,sc01,01-07 02:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_7,Node_8,eac1,0.011742063877065945
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_5,cac1,0.10775270905
2030,sc01,01-07 02:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_8,Node_9,eac1,0.1295098120291978
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_5,eac1,0.10775270905
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_7,eac1,0.10153598806706593
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_6,eac1,-0.0920214686440044
2030,sc01,01-07 02:00:00+01:00,Node_1,Node_6,cac1,0.16937269023500007
2030,sc01,01-07 02:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-07 02:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_9,eac1,-0.17358595502811047
2030,sc01,01-18 10:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_1,Node_6,eac1,0.07634026376499997
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_2,Node_3,eac1,-0.011669469397674381
2030,sc01,01-18 10:00:00+01:00,Node_3,Node_4,eac1,0.1291318692583721
2030,sc01,01-18 10:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-18 10:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_1,Node_6,cac2,0.15268052752999994
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_6,eac1,-0.16044568551351746
2030,sc01,01-18 10:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-18 10:00:00+01:00,Node_6,Node_8,eac1,-0.004173339674593046
2030,sc01,01-18 10:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_2,Node_6,eac1,-0.1682286365023256
2030,sc01,01-18 10:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_7,Node_8,eac1,0.05131880372270348
2030,sc01,01-18 10:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_5,cac1,0.13894905294999998
2030,sc01,01-18 10:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-18 10:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-18 10:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-18 10:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-18 10:00:00+01:00,Node_4,Node_9,cac1,0.0
