Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,01-30 16:00:00+01:00,Node_9,15.0
2030,sc01,01-30 16:00:00+01:00,Node_4,15.0
2030,sc01,01-30 16:00:00+01:00,Node_2,15.0
2030,sc01,01-30 16:00:00+01:00,Node_1,15.0
2030,sc01,01-30 16:00:00+01:00,Node_6,15.0
2030,sc01,01-30 16:00:00+01:00,Node_8,15.0
2030,sc01,01-30 16:00:00+01:00,Node_5,15.0
2030,sc01,01-30 16:00:00+01:00,Node_7,15.0
2030,sc01,01-30 16:00:00+01:00,Node_3,15.0
2030,sc01,02-13 05:00:00+01:00,Node_9,15.0
2030,sc01,02-13 05:00:00+01:00,Node_4,14.999999999999996
2030,sc01,02-13 05:00:00+01:00,Node_2,15.0
2030,sc01,02-13 05:00:00+01:00,Node_1,15.0
2030,sc01,02-13 05:00:00+01:00,Node_6,15.0
2030,sc01,02-13 05:00:00+01:00,Node_8,15.0
2030,sc01,02-13 05:00:00+01:00,Node_5,14.999999999999996
2030,sc01,02-13 05:00:00+01:00,Node_7,15.0
2030,sc01,02-13 05:00:00+01:00,Node_3,15.0
2030,sc01,02-16 11:00:00+01:00,Node_9,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_4,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_2,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_1,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_6,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_8,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_5,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_7,14.999999999999998
2030,sc01,02-16 11:00:00+01:00,Node_3,14.999999999999998
2030,sc01,02-18 13:00:00+01:00,Node_9,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_4,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_2,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_1,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_6,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_8,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_5,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_7,64.91521206004073
2030,sc01,02-18 13:00:00+01:00,Node_3,64.91521206004073
2030,sc01,03-04 06:00:00+01:00,Node_9,15.000000000000002
2030,sc01,03-04 06:00:00+01:00,Node_4,15.000000000000004
2030,sc01,03-04 06:00:00+01:00,Node_2,15.000000000000002
2030,sc01,03-04 06:00:00+01:00,Node_1,15.0
2030,sc01,03-04 06:00:00+01:00,Node_6,15.000000000000002
2030,sc01,03-04 06:00:00+01:00,Node_8,15.000000000000002
2030,sc01,03-04 06:00:00+01:00,Node_5,15.000000000000004
