Period,Scenario,LoadLevel,mEUR
2030,sc01,01-11 14:00:00+01:00,2750.801950588854
2030,sc01,01-20 18:00:00+01:00,33141.16863546135
2030,sc01,01-28 07:00:00+01:00,31388.621376808183
2030,sc01,01-30 06:00:00+01:00,39937.974603675844
2030,sc01,01-31 02:00:00+01:00,9443.334395917744
2030,sc01,02-02 14:00:00+01:00,3820.4671322098616
2030,sc01,02-02 17:00:00+01:00,135435.31448034008
2030,sc01,02-03 18:00:00+01:00,259535.5370749269
2030,sc01,02-07 04:00:00+01:00,213413.76454125825
2030,sc01,02-11 14:00:00+01:00,123466.16929710942
2030,sc01,02-13 23:00:00+01:00,278270.24985010823
2030,sc01,02-15 14:00:00+01:00,16116.331156452268
2030,sc01,02-16 09:00:00+01:00,64136.40183118518
2030,sc01,02-17 10:00:00+01:00,7781.8131573406545
2030,sc01,02-18 13:00:00+01:00,11624.476315870994
2030,sc01,02-18 17:00:00+01:00,489483.95036687737
2030,sc01,02-21 09:00:00+01:00,6406.303311988642
2030,sc01,02-25 01:00:00+01:00,390035.6910218519
2030,sc01,02-27 14:00:00+01:00,8179.1917234368775
2030,sc01,03-05 11:00:00+01:00,5620.7674500905805
2030,sc01,03-11 23:00:00+01:00,140713.66410422092
2030,sc01,03-13 02:00:00+01:00,78591.05262679924
2030,sc01,03-15 10:00:00+01:00,1850.1125020229251
2030,sc01,03-28 07:00:00+01:00,31619.15311065701
2030,sc01,04-02 00:00:00+02:00,724606.5397950123
2030,sc01,04-07 19:00:00+02:00,105072.85558787725
2030,sc01,04-15 11:00:00+02:00,6027.950891454464
2030,sc01,04-19 13:00:00+02:00,7207.177585459448
2030,sc01,04-24 17:00:00+02:00,20861.10975084407
2030,sc01,05-01 19:00:00+02:00,247334.66562252838
2030,sc01,05-05 08:00:00+02:00,7968.091744192094
2030,sc01,05-06 15:00:00+02:00,64643.72416075973
2030,sc01,05-09 02:00:00+02:00,15966.937593904888
2030,sc01,05-14 06:00:00+02:00,539071.7560460119
2030,sc01,05-19 13:00:00+02:00,8183.808210054611
2030,sc01,05-21 15:00:00+02:00,17982.732336227455
2030,sc01,06-02 13:00:00+02:00,71140.52790391815
2030,sc01,06-07 13:00:00+02:00,6704.040071500797
2030,sc01,06-09 16:00:00+02:00,41647.31694143439
2030,sc01,06-14 14:00:00+02:00,6748.755864486033
2030,sc01,06-16 09:00:00+02:00,104192.70722871022
2030,sc01,06-24 01:00:00+02:00,974831.1085846281
2030,sc01,06-24 13:00:00+02:00,26078.756255746885
2030,sc01,06-28 22:00:00+02:00,1585627.3401307946
2030,sc01,06-29 18:00:00+02:00,38337.150159358265
2030,sc01,07-03 18:00:00+02:00,61004.59245634402
2030,sc01,07-09 14:00:00+02:00,42087.15052404875
2030,sc01,07-10 11:00:00+02:00,63640.26392864478
2030,sc01,07-15 08:00:00+02:00,80130.37082299053
2030,sc01,07-22 00:00:00+02:00,453573.4110101479
2030,sc01,08-01 05:00:00+02:00,152727.09281233296
2030,sc01,08-01 22:00:00+02:00,827733.9446989563
2030,sc01,08-20 21:00:00+02:00,39440.65097978849
2030,sc01,08-22 18:00:00+02:00,110359.38344294678
2030,sc01,08-24 10:00:00+02:00,59633.02131804071
2030,sc01,09-15 13:00:00+02:00,26248.03871808994
2030,sc01,09-16 04:00:00+02:00,599388.44346236
2030,sc01,09-16 07:00:00+02:00,96744.3325503705
2030,sc01,09-17 15:00:00+02:00,52502.99733048155
2030,sc01,09-19 11:00:00+02:00,7890.975342088557
2030,sc01,09-20 08:00:00+02:00,64107.113278510085
2030,sc01,09-29 19:00:00+02:00,1164944.4660681093
2030,sc01,10-17 10:00:00+02:00,3643.021323250706
2030,sc01,10-20 03:00:00+02:00,226150.62006648464
2030,sc01,10-23 16:00:00+02:00,119895.18520000452
2030,sc01,10-24 15:00:00+02:00,5867.011495295584
2030,sc01,10-26 09:00:00+02:00,18658.889507883043
2030,sc01,10-26 15:00:00+02:00,27075.16869785522
2030,sc01,10-31 19:00:00+01:00,348164.81291508465
2030,sc01,11-01 20:00:00+01:00,89945.72673685176
2030,sc01,11-09 00:00:00+01:00,154463.51666199387
2030,sc01,11-09 13:00:00+01:00,6310.936021208167
2030,sc01,11-10 21:00:00+01:00,114233.99754949864
2030,sc01,11-12 21:00:00+01:00,173418.47591969275
2030,sc01,11-15 00:00:00+01:00,46757.366341544905
2030,sc01,11-26 16:00:00+01:00,23746.95463450915
2030,sc01,11-27 09:00:00+01:00,11338.546592137596
2030,sc01,12-04 14:00:00+01:00,41178.443000950276
2030,sc01,12-14 17:00:00+01:00,19187.905105504473
2030,sc01,12-16 02:00:00+01:00,117410.83448548659
2030,sc01,12-28 05:00:00+01:00,10638.697698295373
