Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-01 06:00:00+01:00,PV_Malaga,382.0935110970001
2030,sc01,01-01 06:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 06:00:00+01:00,Wind_Bilbo,42.741313
2030,sc01,01-01 06:00:00+01:00,Wind_Gijon,298.927948
2030,sc01,01-01 06:00:00+01:00,Wind_Acoruna,332.3932134
2030,sc01,01-01 06:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 14:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 14:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 14:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 14:00:00+01:00,Wind_Gijon,132.2940425649997
2030,sc01,01-01 14:00:00+01:00,Wind_Acoruna,82.92419331299999
2030,sc01,01-01 14:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-04 06:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-04 06:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-04 06:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-04 06:00:00+01:00,Wind_Gijon,307.4924862
2030,sc01,01-04 06:00:00+01:00,Wind_Acoruna,13.097616496000109
2030,sc01,01-04 06:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-05 03:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-05 03:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-05 03:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-05 03:00:00+01:00,Wind_Gijon,231.1786162
2030,sc01,01-05 03:00:00+01:00,Wind_Acoruna,58.500058804
2030,sc01,01-05 03:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-09 01:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-09 01:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-09 01:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-09 01:00:00+01:00,Wind_Gijon,218.203756145
2030,sc01,01-09 01:00:00+01:00,Wind_Acoruna,61.22610063800005
2030,sc01,01-09 01:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-09 14:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-09 14:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-09 14:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-09 14:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-09 14:00:00+01:00,Wind_Acoruna,16.913546975000028
2030,sc01,01-09 14:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-12 01:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-12 01:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-12 01:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-12 01:00:00+01:00,Wind_Gijon,103.06060212699967
2030,sc01,01-12 01:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-12 01:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-12 19:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-12 19:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-12 19:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-12 19:00:00+01:00,Wind_Gijon,32.04523690100025
2030,sc01,01-12 19:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-12 19:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-13 19:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-13 19:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-13 19:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-13 19:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-13 19:00:00+01:00,Wind_Acoruna,92.301250994
2030,sc01,01-13 19:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-14 12:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-14 12:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-14 12:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-14 12:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-14 12:00:00+01:00,Wind_Acoruna,98.07455242500002
2030,sc01,01-14 12:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-14 14:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-14 14:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-14 14:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-14 14:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-14 14:00:00+01:00,Wind_Acoruna,94.90744478200008
2030,sc01,01-14 14:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-16 08:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-16 08:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-16 08:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-16 08:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-16 08:00:00+01:00,Wind_Acoruna,12.279188797000018
2030,sc01,01-16 08:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-17 14:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-17 14:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-17 14:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-17 14:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-17 14:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-17 14:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-18 04:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-18 04:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-18 04:00:00+01:00,Wind_Bilbo,22.18022496
2030,sc01,01-18 04:00:00+01:00,Wind_Gijon,188.944916648
2030,sc01,01-18 04:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-18 04:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-18 09:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-18 09:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-18 09:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-18 09:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-18 09:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-18 09:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-18 18:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-18 18:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-18 18:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-18 18:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-18 18:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-18 18:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-19 02:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-19 02:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-19 02:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-19 02:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-19 02:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-19 02:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-19 12:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-19 12:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-19 12:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-19 12:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-19 12:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-19 12:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-20 13:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-20 13:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-20 13:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-20 13:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-20 13:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-20 13:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-20 15:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-20 15:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-20 15:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-20 15:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-20 15:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-20 15:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-21 07:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-21 07:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-21 07:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-21 07:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-21 07:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-21 07:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-21 11:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-21 11:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-21 11:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-21 11:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-21 11:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-21 11:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-21 23:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-21 23:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-21 23:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-21 23:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-21 23:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-21 23:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-22 06:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-22 06:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-22 06:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-22 06:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-22 06:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-22 06:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-23 13:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-23 13:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-23 13:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-23 13:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-23 13:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-23 13:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-23 16:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-23 16:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-23 16:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-23 16:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-23 16:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-23 16:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-24 14:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-24 14:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-24 14:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-24 14:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-24 14:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-24 14:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-25 20:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-25 20:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-25 20:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-25 20:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-25 20:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-25 20:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-25 23:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-25 23:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-25 23:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-25 23:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-25 23:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-25 23:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-26 01:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-26 01:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-26 01:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-26 01:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-26 01:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-26 01:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-26 05:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-26 05:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-26 05:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-26 05:00:00+01:00,Wind_Gijon,308.8986044
2030,sc01,01-26 05:00:00+01:00,Wind_Acoruna,6.699279866999988
