Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-30 16:00:00+01:00,Oil,0.0
2030,sc01,01-30 16:00:00+01:00,Gas,144.03475431436
2030,sc01,01-30 16:00:00+01:00,Solar,18.15741388916
2030,sc01,01-30 16:00:00+01:00,Coal,0.0
2030,sc01,01-30 16:00:00+01:00,Wind,124.0872566388
2030,sc01,01-30 16:00:00+01:00,Nuclear,26.00852727236399
2030,sc01,02-02 05:00:00+01:00,Oil,0.0
2030,sc01,02-02 05:00:00+01:00,Gas,0.0
2030,sc01,02-02 05:00:00+01:00,Solar,156.98328228382803
2030,sc01,02-02 05:00:00+01:00,Coal,0.0
2030,sc01,02-02 05:00:00+01:00,Wind,2.9818161372439986
2030,sc01,02-02 05:00:00+01:00,Nuclear,0.0
2030,sc01,02-02 22:00:00+01:00,Oil,0.0
2030,sc01,02-02 22:00:00+01:00,Gas,0.0
2030,sc01,02-02 22:00:00+01:00,Solar,100.559398369875
2030,sc01,02-02 22:00:00+01:00,Coal,0.0
2030,sc01,02-02 22:00:00+01:00,Wind,34.82348619937499
2030,sc01,02-02 22:00:00+01:00,Nuclear,0.0
2030,sc01,02-04 15:00:00+01:00,Oil,0.0
2030,sc01,02-04 15:00:00+01:00,Gas,103.67365353875998
2030,sc01,02-04 15:00:00+01:00,Solar,88.90419421800001
2030,sc01,02-04 15:00:00+01:00,Coal,0.0
2030,sc01,02-04 15:00:00+01:00,Wind,104.68732393944
2030,sc01,02-04 15:00:00+01:00,Nuclear,0.0
2030,sc01,02-09 19:00:00+01:00,Oil,0.0
2030,sc01,02-09 19:00:00+01:00,Gas,0.0
2030,sc01,02-09 19:00:00+01:00,Solar,125.65648711265
2030,sc01,02-09 19:00:00+01:00,Coal,0.0
2030,sc01,02-09 19:00:00+01:00,Wind,56.88432074815002
2030,sc01,02-09 19:00:00+01:00,Nuclear,0.0
2030,sc01,02-21 07:00:00+01:00,Oil,0.0
2030,sc01,02-21 07:00:00+01:00,Gas,147.68355451366696
2030,sc01,02-21 07:00:00+01:00,Solar,7.086434585033001
2030,sc01,02-21 07:00:00+01:00,Coal,0.0
2030,sc01,02-21 07:00:00+01:00,Wind,90.39970725021
2030,sc01,02-21 07:00:00+01:00,Nuclear,18.998159207264997
2030,sc01,02-25 18:00:00+01:00,Oil,0.0
2030,sc01,02-25 18:00:00+01:00,Gas,118.21292744650201
2030,sc01,02-25 18:00:00+01:00,Solar,15.710859385457999
2030,sc01,02-25 18:00:00+01:00,Coal,0.0
2030,sc01,02-25 18:00:00+01:00,Wind,46.7660911461
2030,sc01,02-25 18:00:00+01:00,Nuclear,28.353582596651997
2030,sc01,02-25 22:00:00+01:00,Oil,0.0
2030,sc01,02-25 22:00:00+01:00,Gas,0.0
2030,sc01,02-25 22:00:00+01:00,Solar,150.45686740472001
2030,sc01,02-25 22:00:00+01:00,Coal,0.0
2030,sc01,02-25 22:00:00+01:00,Wind,59.95173368529598
2030,sc01,02-25 22:00:00+01:00,Nuclear,0.0
2030,sc01,03-02 04:00:00+01:00,Oil,0.0
2030,sc01,03-02 04:00:00+01:00,Gas,0.0
2030,sc01,03-02 04:00:00+01:00,Solar,133.436920561922
2030,sc01,03-02 04:00:00+01:00,Coal,0.0
2030,sc01,03-02 04:00:00+01:00,Wind,0.0
2030,sc01,03-02 04:00:00+01:00,Nuclear,0.0
2030,sc01,03-15 05:00:00+01:00,Oil,0.0
2030,sc01,03-15 05:00:00+01:00,Gas,0.0
2030,sc01,03-15 05:00:00+01:00,Solar,159.126372722148
2030,sc01,03-15 05:00:00+01:00,Coal,0.0
2030,sc01,03-15 05:00:00+01:00,Wind,29.474223910206014
2030,sc01,03-15 05:00:00+01:00,Nuclear,0.0
2030,sc01,03-27 17:00:00+01:00,Oil,0.0
2030,sc01,03-27 17:00:00+01:00,Gas,62.676715128130006
2030,sc01,03-27 17:00:00+01:00,Solar,52.18580077715001
2030,sc01,03-27 17:00:00+01:00,Coal,0.0
2030,sc01,03-27 17:00:00+01:00,Wind,74.26499748691
2030,sc01,03-27 17:00:00+01:00,Nuclear,15.381824289019997
2030,sc01,04-03 11:00:00+02:00,Oil,0.0
2030,sc01,04-03 11:00:00+02:00,Gas,0.0
2030,sc01,04-03 11:00:00+02:00,Solar,133.85772931789998
2030,sc01,04-03 11:00:00+02:00,Coal,0.0
2030,sc01,04-03 11:00:00+02:00,Wind,67.48386297101
2030,sc01,04-03 11:00:00+02:00,Nuclear,27.023243982211
2030,sc01,04-09 14:00:00+02:00,Oil,0.0
2030,sc01,04-09 14:00:00+02:00,Gas,0.0
2030,sc01,04-09 14:00:00+02:00,Solar,146.6031209872
2030,sc01,04-09 14:00:00+02:00,Coal,0.0
2030,sc01,04-09 14:00:00+02:00,Wind,127.18062722799999
2030,sc01,04-09 14:00:00+02:00,Nuclear,12.421477502756003
2030,sc01,04-10 00:00:00+02:00,Oil,0.0
2030,sc01,04-10 00:00:00+02:00,Gas,0.0
2030,sc01,04-10 00:00:00+02:00,Solar,138.42629592100798
2030,sc01,04-10 00:00:00+02:00,Coal,0.0
2030,sc01,04-10 00:00:00+02:00,Wind,0.0
2030,sc01,04-10 00:00:00+02:00,Nuclear,0.0
2030,sc01,04-11 18:00:00+02:00,Oil,0.0
2030,sc01,04-11 18:00:00+02:00,Gas,66.84587181435799
2030,sc01,04-11 18:00:00+02:00,Solar,13.571752085892001
2030,sc01,04-11 18:00:00+02:00,Coal,0.0
2030,sc01,04-11 18:00:00+02:00,Wind,17.25313687461
2030,sc01,04-11 18:00:00+02:00,Nuclear,25.271462588918
