Period,Scenario,LoadLevel,mEUR
2030,sc01,01-19 14:00:00+01:00,77665.39178839566
2030,sc01,01-24 23:00:00+01:00,7215095.144498009
2030,sc01,01-28 10:00:00+01:00,8661691.922407134
2030,sc01,02-13 00:00:00+01:00,26211095.052795533
2030,sc01,02-16 17:00:00+01:00,3106361.2116681384
2030,sc01,02-20 19:00:00+01:00,58031804.432791226
2030,sc01,03-18 13:00:00+01:00,1206194.488537512
2030,sc01,03-19 01:00:00+01:00,54494.25715986906
2030,sc01,03-30 09:00:00+01:00,2526173.0651658224
2030,sc01,04-08 03:00:00+02:00,13591125.284439
2030,sc01,04-17 09:00:00+02:00,892180.4397997136
2030,sc01,04-18 14:00:00+02:00,4374216.737889575
2030,sc01,04-27 23:00:00+02:00,2903492.715351228
2030,sc01,05-14 18:00:00+02:00,16774673.56736078
2030,sc01,06-16 04:00:00+02:00,7348358.682962924
2030,sc01,07-21 10:00:00+02:00,26047228.043230172
2030,sc01,08-20 17:00:00+02:00,23479509.398542035
2030,sc01,08-24 00:00:00+02:00,5518741.5832281895
2030,sc01,08-25 04:00:00+02:00,5378053.596271648
2030,sc01,08-29 07:00:00+02:00,2883384.1463721325
2030,sc01,09-04 11:00:00+02:00,16067664.791163431
2030,sc01,09-23 20:00:00+02:00,11906470.687415916
2030,sc01,10-29 04:00:00+01:00,18234121.170286797
2030,sc01,10-29 14:00:00+01:00,1636871.1911473323
2030,sc01,10-31 20:00:00+01:00,57591059.052395165
2030,sc01,11-10 02:00:00+01:00,7273931.89782746
2030,sc01,11-14 13:00:00+01:00,8432027.77333004
2030,sc01,11-18 10:00:00+01:00,1209193.1574325291
2030,sc01,11-26 17:00:00+01:00,16595044.85198652
2030,sc01,11-27 22:00:00+01:00,30146195.419653974
