,Weight
sti1,20
sti10,34
sti100,30
sti101,40
sti102,10
sti103,26
sti104,31
sti105,32
sti106,31
sti107,8
sti108,24
sti109,26
sti11,26
sti110,32
sti111,23
sti112,21
sti113,23
sti114,35
sti115,35
sti116,32
sti117,20
sti118,28
sti119,7
sti12,42
sti120,48
sti121,24
sti122,13
sti123,14
sti124,31
sti125,29
sti126,23
sti127,46
sti128,35
sti129,26
sti13,41
sti130,32
sti131,58
sti132,32
sti133,37
sti134,15
sti135,33
sti136,17
sti137,25
sti138,18
sti139,8
sti14,34
sti140,39
sti141,30
sti142,35
sti143,8
sti144,35
sti145,22
sti146,40
sti147,13
sti148,26
sti149,44
sti15,32
sti150,29
sti151,18
sti152,11
sti153,17
sti154,28
sti155,21
sti156,31
sti157,46
sti158,32
sti159,20
sti16,27
sti160,21
sti161,31
sti162,12
sti163,54
sti164,22
sti165,39
sti166,23
sti167,61
sti168,36
sti169,16
sti17,26
sti170,16
sti171,19
sti172,16
sti173,25
sti174,24
sti175,38
sti176,25
sti177,14
sti178,23
sti179,32
sti18,22
sti180,17
sti181,26
sti182,16
sti183,15
sti184,10
sti185,31
sti186,12
sti187,16
sti188,23
sti189,33
sti19,47
sti190,31
sti191,12
sti192,15
sti193,36
sti194,59
sti195,15
sti196,30
sti197,37
sti198,24
sti199,40
sti2,39
sti20,20
sti200,19
sti201,11
sti202,17
sti203,28
sti204,25
sti205,16
sti206,29
sti207,26
sti208,19
sti209,12
sti21,53
sti210,12
sti211,15
sti212,16
sti213,36
sti214,17
sti215,38
sti216,34
sti217,21
sti218,24
sti219,23
sti22,35
sti220,26
sti221,20
sti222,10
sti223,18
sti224,34
sti225,42
sti226,26
sti227,30
sti228,15
sti229,29
sti23,25
sti230,20
sti231,22
sti232,16
sti233,36
sti234,16
sti235,29
sti236,11
sti237,19
sti238,41
sti239,28
sti24,52
sti240,23
sti241,29
sti242,30
sti243,14
sti244,29
sti245,21
sti246,24
sti247,34
sti248,37
sti249,13
sti25,23
sti250,25
sti251,27
sti252,15
sti253,5
sti254,21
sti255,24
sti256,8
sti257,32
sti258,41
sti259,17
sti26,33
sti260,21
sti261,23
sti262,19
sti263,28
sti264,23
sti265,8
sti266,18
sti267,19
sti268,16
sti269,15
sti27,15
sti270,32
sti271,18
sti272,18
sti273,23
sti274,20
sti275,33
sti276,19
sti277,12
sti278,9
sti279,31
sti28,41
sti280,31
sti281,29
sti282,31
sti283,18
sti284,17
sti285,15
sti286,21
sti287,24
sti288,10
sti289,16
sti29,38
sti290,30
sti291,22
sti292,21
sti293,12
sti294,20
sti295,21
sti296,14
sti297,24
sti298,16
sti299,17
sti3,36
sti30,29
sti300,27
sti301,10
sti302,12
sti303,36
sti304,19
sti305,20
sti306,12
sti31,29
sti32,5
sti33,18
sti34,39
sti35,33
sti36,46
sti37,7
sti38,15
sti39,34
sti4,16
sti40,11
sti41,35
sti42,11
sti43,42
sti44,57
sti45,32
sti46,24
sti47,25
sti48,43
sti49,15
sti5,30
sti50,70
sti51,19
sti52,12
sti53,20
sti54,28
sti55,17
sti56,21
sti57,10
sti58,14
sti59,48
sti6,21
sti60,5
sti61,32
sti62,21
sti63,10
sti64,20
sti65,18
sti66,22
sti67,52
sti68,11
sti69,23
sti7,10
sti70,44
sti71,26
sti72,31
sti73,25
sti74,34
sti75,21
sti76,37
sti77,7
sti78,33
sti79,25
sti8,20
sti80,67
sti81,23
sti82,19
sti83,25
sti84,39
sti85,52
sti86,20
sti87,41
sti88,16
sti89,40
sti9,21
sti90,26
sti91,46
sti92,43
sti93,31
sti94,24
sti95,34
sti96,16
sti97,19
sti98,39
sti99,44
stn1,30
stn10,12
stn11,40
stn12,27
stn13,27
stn14,44
stn15,35
stn16,44
stn17,13
stn18,14
stn19,12
stn2,37
stn20,29
stn21,37
stn22,15
stn23,12
stn24,41
stn25,6
stn26,31
stn27,6
stn28,14
stn29,16
stn3,30
stn30,6
stn4,33
stn5,53
stn6,12
stn7,22
stn8,33
stn9,39
stp1,3
stp2,23
stp3,9
stp4,53
stp5,16
