Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-06 06:00:00+01:00,bus049,bus069,eac1,0.4512144556762287
2030,sc01,01-06 06:00:00+01:00,bus083,bus085,eac1,0.1422483756380276
2030,sc01,01-06 06:00:00+01:00,bus062,bus067,eac1,0.07754648623880314
2030,sc01,01-06 06:00:00+01:00,bus001,bus003,eac1,0.5622537600070218
2030,sc01,01-06 06:00:00+01:00,bus005,bus006,cac2,0.0
2030,sc01,01-06 06:00:00+01:00,bus099,bus100,cac1,0.3085922303827929
2030,sc01,01-06 06:00:00+01:00,bus085,bus088,eac1,0.24793821411908834
2030,sc01,01-06 06:00:00+01:00,bus056,bus058,eac1,0.04487150508106478
2030,sc01,01-06 06:00:00+01:00,bus082,bus083,cac2,0.0
2030,sc01,01-06 06:00:00+01:00,bus100,bus103,eac1,0.17209812227384597
2030,sc01,01-06 06:00:00+01:00,bus038,bus037,cac2,0.0
2030,sc01,01-06 06:00:00+01:00,bus101,bus102,eac1,0.07764999516160385
2030,sc01,01-06 06:00:00+01:00,bus071,bus072,eac1,0.2286659550109816
2030,sc01,01-06 06:00:00+01:00,bus089,bus090,eac1,0.07649951387713015
2030,sc01,01-06 06:00:00+01:00,bus069,bus075,eac1,0.36314462324863955
2030,sc01,01-06 06:00:00+01:00,bus026,bus025,eac1,0.575445148862907
2030,sc01,01-06 06:00:00+01:00,bus032,bus114,eac1,0.3995708421383592
2030,sc01,01-06 06:00:00+01:00,bus055,bus059,eac1,0.10364927040774068
2030,sc01,01-06 06:00:00+01:00,bus089,bus090,eac2,0.14425184161384608
2030,sc01,01-06 06:00:00+01:00,bus017,bus018,eac1,0.7187183445261587
2030,sc01,01-06 06:00:00+01:00,bus080,bus098,eac1,0.5807579674346812
2030,sc01,01-06 06:00:00+01:00,bus100,bus104,eac1,0.12380075162243978
2030,sc01,01-06 06:00:00+01:00,bus026,bus030,cac1,0.0
2030,sc01,01-06 06:00:00+01:00,bus025,bus027,cac2,0.0
2030,sc01,01-06 06:00:00+01:00,bus056,bus059,eac1,0.0861590142670862
2030,sc01,01-06 06:00:00+01:00,bus034,bus037,eac1,0.1964305347401335
2030,sc01,01-06 06:00:00+01:00,bus032,bus113,eac1,0.20371756228888996
2030,sc01,01-06 06:00:00+01:00,bus011,bus013,eac1,0.13623059382165575
2030,sc01,01-06 06:00:00+01:00,bus003,bus005,cac1,0.4810623724661792
2030,sc01,01-06 06:00:00+01:00,bus080,bus099,cac2,0.0
2030,sc01,01-06 06:00:00+01:00,bus016,bus017,eac1,0.38435975019521856
2030,sc01,01-06 06:00:00+01:00,bus030,bus038,eac1,0.8544678185039867
2030,sc01,01-06 06:00:00+01:00,bus060,bus062,eac1,0.03736867307704527
2030,sc01,01-06 06:00:00+01:00,bus062,bus066,eac1,0.119598871862145
2030,sc01,01-06 06:00:00+01:00,bus056,bus059,eac2,0.09048498987882293
2030,sc01,01-06 06:00:00+01:00,bus037,bus040,eac1,0.01837986869246284
2030,sc01,01-06 06:00:00+01:00,bus098,bus100,eac1,0.47154826091653834
2030,sc01,01-06 06:00:00+01:00,bus100,bus106,eac1,0.0006871704373998512
