Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-15 14:00:00+01:00,bus054,bus055,eac1,-0.023220704306263273
2030,sc01,01-15 14:00:00+01:00,bus082,bus096,eac1,-0.057340911430819874
2030,sc01,01-15 14:00:00+01:00,bus002,bus012,eac1,0.09929431717297599
2030,sc01,01-15 14:00:00+01:00,bus019,bus034,eac1,0.23588656054943802
2030,sc01,01-15 14:00:00+01:00,bus011,bus013,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus080,bus099,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus094,bus096,eac1,-0.033635207270123535
2030,sc01,01-15 14:00:00+01:00,bus049,bus054,eac2,-0.08378702053012915
2030,sc01,01-15 14:00:00+01:00,bus017,bus113,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus054,bus056,eac1,-0.2615849582346958
2030,sc01,01-15 14:00:00+01:00,bus031,bus032,eac1,0.007013657659141304
2030,sc01,01-15 14:00:00+01:00,bus092,bus093,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus008,bus030,eac1,0.0313983496076089
2030,sc01,01-15 14:00:00+01:00,bus004,bus005,eac1,-0.0852314890991861
2030,sc01,01-15 14:00:00+01:00,bus056,bus058,eac1,0.15318405565873994
2030,sc01,01-15 14:00:00+01:00,bus024,bus072,eac1,0.1838755047059174
2030,sc01,01-15 14:00:00+01:00,bus068,bus069,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus012,bus117,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus064,bus065,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus037,bus040,eac1,0.16703611283525943
2030,sc01,01-15 14:00:00+01:00,bus080,bus098,eac1,0.3043045666379399
2030,sc01,01-15 14:00:00+01:00,bus054,bus059,eac1,0.19950954910867758
2030,sc01,01-15 14:00:00+01:00,bus015,bus017,eac1,-0.14924609779157683
2030,sc01,01-15 14:00:00+01:00,bus060,bus061,eac1,-0.25568664419203935
2030,sc01,01-15 14:00:00+01:00,bus030,bus017,eac1,-0.24045494505513143
2030,sc01,01-15 14:00:00+01:00,bus114,bus115,eac1,0.01772539418280994
2030,sc01,01-15 14:00:00+01:00,bus092,bus100,eac1,0.1987719591356204
2030,sc01,01-15 14:00:00+01:00,bus049,bus069,eac1,0.0555804092709008
2030,sc01,01-15 14:00:00+01:00,bus077,bus080,eac1,-0.4986807162552038
2030,sc01,01-15 14:00:00+01:00,bus089,bus092,eac1,0.19836123409027673
2030,sc01,01-15 14:00:00+01:00,bus006,bus007,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus043,bus044,eac1,-0.013546204623156699
2030,sc01,01-15 14:00:00+01:00,bus023,bus025,eac1,-0.3925600707531094
2030,sc01,01-15 14:00:00+01:00,bus062,bus067,eac1,-0.05138755558635527
2030,sc01,01-15 14:00:00+01:00,bus011,bus013,eac1,-0.402
2030,sc01,01-15 14:00:00+01:00,bus091,bus092,eac1,0.14270134472684803
2030,sc01,01-15 14:00:00+01:00,bus103,bus105,eac1,0.02493283173288874
2030,sc01,01-15 14:00:00+01:00,bus023,bus024,eac1,0.402
2030,sc01,01-15 14:00:00+01:00,bus055,bus056,eac1,-0.05671738786016778
2030,sc01,01-15 14:00:00+01:00,bus049,bus051,eac1,-0.02930141614823545
2030,sc01,01-15 14:00:00+01:00,bus032,bus113,eac1,-0.3112283456362305
2030,sc01,01-15 14:00:00+01:00,bus055,bus059,eac1,0.21959797685390448
2030,sc01,01-15 14:00:00+01:00,bus092,bus094,eac1,0.22355524015827855
2030,sc01,01-15 14:00:00+01:00,bus071,bus073,eac1,0.02763162184000001
2030,sc01,01-15 14:00:00+01:00,bus092,bus093,eac1,0.06952037671
2030,sc01,01-15 14:00:00+01:00,bus001,bus002,eac1,0.043314559472975966
2030,sc01,01-15 14:00:00+01:00,bus068,bus069,eac1,-0.2057034536150888
2030,sc01,01-15 14:00:00+01:00,bus103,bus104,eac1,0.03309148313561894
2030,sc01,01-15 14:00:00+01:00,bus064,bus065,eac1,0.0544785601948079
2030,sc01,01-15 14:00:00+01:00,bus081,bus080,eac1,0.13079908178084487
2030,sc01,01-15 14:00:00+01:00,bus027,bus115,eac1,0.06361770276719003
2030,sc01,01-15 14:00:00+01:00,bus007,bus012,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus034,bus037,eac1,0.06672815195014548
2030,sc01,01-15 14:00:00+01:00,bus042,bus049,eac1,-0.1824774118780952
2030,sc01,01-15 14:00:00+01:00,bus063,bus059,eac1,0.12454651095831637
2030,sc01,01-15 14:00:00+01:00,bus006,bus007,eac1,-0.14226474184
2030,sc01,01-15 14:00:00+01:00,bus070,bus075,eac1,0.09936120471109999
2030,sc01,01-15 14:00:00+01:00,bus040,bus041,eac1,0.10182721788769333
2030,sc01,01-15 14:00:00+01:00,bus015,bus019,eac1,0.03322208686275652
2030,sc01,01-15 14:00:00+01:00,bus038,bus065,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus099,bus100,cac1,0.0
2030,sc01,01-15 14:00:00+01:00,bus014,bus015,eac1,0.12204593675939324
2030,sc01,01-15 14:00:00+01:00,bus056,bus059,eac2,0.20186475297807993
2030,sc01,01-15 14:00:00+01:00,bus039,bus040,eac1,0.10373835300855017
2030,sc01,01-15 14:00:00+01:00,bus066,bus067,eac1,0.1469811413963552
