,Weight
sti1,33
sti10,59
sti100,41
sti101,39
sti102,30
sti103,25
sti104,47
sti105,24
sti106,51
sti107,13
sti108,27
sti109,29
sti11,65
sti110,34
sti111,68
sti112,85
sti113,56
sti114,38
sti115,19
sti116,23
sti117,26
sti118,61
sti119,53
sti12,69
sti120,47
sti121,69
sti122,82
sti123,34
sti124,37
sti125,41
sti126,16
sti127,27
sti128,10
sti129,69
sti13,79
sti130,25
sti131,39
sti132,56
sti133,106
sti134,60
sti135,47
sti136,56
sti137,29
sti138,79
sti139,24
sti14,33
sti140,68
sti141,61
sti142,51
sti143,39
sti144,43
sti145,63
sti146,68
sti147,46
sti148,62
sti149,36
sti15,41
sti150,38
sti151,32
sti152,32
sti153,62
sti154,22
sti155,18
sti156,65
sti157,12
sti158,53
sti159,8
sti16,73
sti160,20
sti161,35
sti162,42
sti163,53
sti164,47
sti165,24
sti166,36
sti167,7
sti168,81
sti169,29
sti17,30
sti170,15
sti171,56
sti172,28
sti173,52
sti174,46
sti175,28
sti176,23
sti177,27
sti178,28
sti179,32
sti18,59
sti180,52
sti181,22
sti182,9
sti183,30
sti184,17
sti185,25
sti186,9
sti187,43
sti188,34
sti189,11
sti19,128
sti190,11
sti191,46
sti192,35
sti193,11
sti194,24
sti195,28
sti196,20
sti197,18
sti198,66
sti199,32
sti2,22
sti20,48
sti200,19
sti21,70
sti22,66
sti23,59
sti24,53
sti25,39
sti26,24
sti27,43
sti28,14
sti29,30
sti3,72
sti30,40
sti31,92
sti32,15
sti33,35
sti34,86
sti35,87
sti36,23
sti37,40
sti38,26
sti39,62
sti4,18
sti40,45
sti41,54
sti42,31
sti43,112
sti44,60
sti45,27
sti46,33
sti47,99
sti48,36
sti49,51
sti5,45
sti50,61
sti51,40
sti52,28
sti53,47
sti54,26
sti55,17
sti56,78
sti57,44
sti58,32
sti59,73
sti6,28
sti60,16
sti61,54
sti62,40
sti63,61
sti64,26
sti65,22
sti66,8
sti67,34
sti68,32
sti69,84
sti7,24
sti70,60
sti71,34
sti72,32
sti73,61
sti74,23
sti75,61
sti76,41
sti77,99
sti78,45
sti79,73
sti8,60
sti80,80
sti81,47
sti82,88
sti83,42
sti84,29
sti85,41
sti86,40
sti87,63
sti88,43
sti89,57
sti9,37
sti90,25
sti91,45
sti92,70
sti93,35
sti94,94
sti95,63
sti96,53
sti97,34
sti98,33
sti99,35
