Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-31 16:00:00+01:00,CT NG 05,0.0
2030,sc01,01-31 16:00:00+01:00,Wind 02,6.85341271106
2030,sc01,01-31 16:00:00+01:00,ST NG 04,11.719346
2030,sc01,01-31 16:00:00+01:00,CT NG 23,0.0
2030,sc01,01-31 16:00:00+01:00,Wind N09,2.1494199533500002
2030,sc01,01-31 16:00:00+01:00,CC NG 09,0.0
2030,sc01,01-31 16:00:00+01:00,CC NG 40,140.17854409999998
2030,sc01,01-31 16:00:00+01:00,CT Oil 03,0.0
2030,sc01,01-31 16:00:00+01:00,CT NG 41,0.0
2030,sc01,01-31 16:00:00+01:00,Solar 40,0.312323651373
2030,sc01,01-31 16:00:00+01:00,Solar 60,1.68923724587
2030,sc01,01-31 16:00:00+01:00,Hydro 22,2.73164094
2030,sc01,01-31 16:00:00+01:00,Wind 12,48.8346912805
2030,sc01,01-31 16:00:00+01:00,Wind 17,15.355795869809999
2030,sc01,01-31 16:00:00+01:00,Solar 52,1.8989278007570003
2030,sc01,01-31 16:00:00+01:00,Solar 20,2.0562638269600004
2030,sc01,01-31 16:00:00+01:00,CC NG 21,0.0
2030,sc01,01-31 16:00:00+01:00,Solar 47,0.312323651373
2030,sc01,01-31 16:00:00+01:00,CC NG 06,0.0
2030,sc01,01-31 16:00:00+01:00,Wind 07,7.417915851880001
2030,sc01,01-31 16:00:00+01:00,ST NG 01,0.0
2030,sc01,01-31 16:00:00+01:00,CT NG 09,0.0
2030,sc01,01-31 16:00:00+01:00,Wind 11,7.417915851880001
2030,sc01,01-31 16:00:00+01:00,Solar 72,5.1406595674
2030,sc01,01-31 16:00:00+01:00,CT NG 30,0.0
2030,sc01,01-31 16:00:00+01:00,CT NG 67,0.0
2030,sc01,01-31 16:00:00+01:00,Solar 10,1.9807858887600003
2030,sc01,01-31 16:00:00+01:00,CT NG 01,0.0
2030,sc01,01-31 16:00:00+01:00,CC NG 26,0.0
2030,sc01,01-31 16:00:00+01:00,Wind 13,29.400988504
2030,sc01,01-31 16:00:00+01:00,Solar 53,2.87159288666
2030,sc01,01-31 16:00:00+01:00,Solar 09,2.29334795477
2030,sc01,01-31 16:00:00+01:00,Solar 02,9.415872775010001
2030,sc01,01-31 16:00:00+01:00,Solar 25,0.395749188876
2030,sc01,01-31 16:00:00+01:00,CT NG 47,0.0
2030,sc01,01-31 16:00:00+01:00,CT NG 49,16.50684914006702
2030,sc01,01-31 16:00:00+01:00,Solar 64,4.28388297219
2030,sc01,01-31 16:00:00+01:00,Wind N05,31.517571099600005
2030,sc01,01-31 16:00:00+01:00,Wind N03,54.2053034578
2030,sc01,01-31 16:00:00+01:00,Solar 45,0.312323651373
