Period,Scenario,LoadLevel,mEUR
2030,sc01,01-28 22:00:00+01:00,173069943.65879062
2030,sc01,01-31 16:00:00+01:00,143995907.6125846
2030,sc01,02-08 07:00:00+01:00,295795444.9779872
2030,sc01,02-10 18:00:00+01:00,51533574.25651588
2030,sc01,02-20 10:00:00+01:00,88555374.68660422
2030,sc01,02-28 01:00:00+01:00,16730103.643523235
2030,sc01,03-01 13:00:00+01:00,45546398.25648266
2030,sc01,03-19 00:00:00+01:00,221288330.93806872
2030,sc01,03-19 23:00:00+01:00,122610994.9829549
2030,sc01,03-26 15:00:00+01:00,8983610.339240218
2030,sc01,04-17 14:00:00+02:00,270013939.23174447
2030,sc01,05-17 01:00:00+02:00,88638654.35015647
2030,sc01,05-28 14:00:00+02:00,113148104.65232286
2030,sc01,06-03 06:00:00+02:00,84792875.75960888
2030,sc01,06-08 15:00:00+02:00,7995279.714078988
2030,sc01,07-21 23:00:00+02:00,98690992.96066977
2030,sc01,07-30 07:00:00+02:00,42430654.81425592
2030,sc01,08-14 17:00:00+02:00,46159363.35275231
2030,sc01,08-22 10:00:00+02:00,56970499.26959087
2030,sc01,09-12 11:00:00+02:00,4422049.83949599
2030,sc01,09-18 18:00:00+02:00,25870187.608146362
2030,sc01,09-25 03:00:00+02:00,56026102.83550736
2030,sc01,10-11 15:00:00+02:00,19966387.535700154
2030,sc01,10-16 04:00:00+02:00,49697707.56061173
2030,sc01,10-21 21:00:00+02:00,108164108.17797711
2030,sc01,11-11 14:00:00+01:00,78293831.98114093
2030,sc01,11-13 06:00:00+01:00,56656099.28058483
2030,sc01,11-22 02:00:00+01:00,18701152.971042003
2030,sc01,11-22 10:00:00+01:00,78980422.2894378
2030,sc01,12-15 17:00:00+01:00,106500811.69818081
