Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-01 02:00:00+01:00,Natural gas,17.38332281721638
2030,sc01,01-01 02:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-01 02:00:00+01:00,SolarPV-Tracking,0.0
2030,sc01,01-01 02:00:00+01:00,Geothermal,0.0
2030,sc01,01-01 02:00:00+01:00,Biomass,0.0
2030,sc01,01-01 02:00:00+01:00,Hydro,17.415145351434024
2030,sc01,01-01 02:00:00+01:00,DG-BTM,0.0
2030,sc01,01-01 02:00:00+01:00,Oil,0.0
2030,sc01,01-01 02:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-01 02:00:00+01:00,Coal,0.0
2030,sc01,01-01 02:00:00+01:00,Battery,0.0
2030,sc01,01-01 02:00:00+01:00,SolarPV-NonTracking,0.0
2030,sc01,01-01 02:00:00+01:00,WT-Onshore,73.71019877840558
2030,sc01,01-01 15:00:00+01:00,Natural gas,4.482445914299447
2030,sc01,01-01 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-01 15:00:00+01:00,SolarPV-Tracking,6.8055870424736495
2030,sc01,01-01 15:00:00+01:00,Geothermal,0.0
2030,sc01,01-01 15:00:00+01:00,Biomass,0.0
2030,sc01,01-01 15:00:00+01:00,Hydro,15.912046010000003
2030,sc01,01-01 15:00:00+01:00,DG-BTM,2.1631690679089557
2030,sc01,01-01 15:00:00+01:00,Oil,0.0
2030,sc01,01-01 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-01 15:00:00+01:00,Coal,0.0
2030,sc01,01-01 15:00:00+01:00,Battery,0.0
2030,sc01,01-01 15:00:00+01:00,SolarPV-NonTracking,1.3069389278726677
2030,sc01,01-01 15:00:00+01:00,WT-Onshore,36.57770119812927
2030,sc01,01-02 15:00:00+01:00,Natural gas,33.43894763488291
2030,sc01,01-02 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-02 15:00:00+01:00,SolarPV-Tracking,15.656093084953788
2030,sc01,01-02 15:00:00+01:00,Geothermal,0.14400000000000002
2030,sc01,01-02 15:00:00+01:00,Biomass,0.0
2030,sc01,01-02 15:00:00+01:00,Hydro,26.938758925454398
2030,sc01,01-02 15:00:00+01:00,DG-BTM,5.00406696
2030,sc01,01-02 15:00:00+01:00,Oil,1.15344
2030,sc01,01-02 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-02 15:00:00+01:00,Coal,0.0
2030,sc01,01-02 15:00:00+01:00,Battery,0.0
2030,sc01,01-02 15:00:00+01:00,SolarPV-NonTracking,8.805147145500506
2030,sc01,01-02 15:00:00+01:00,WT-Onshore,46.87116683190034
2030,sc01,01-03 12:00:00+01:00,Natural gas,60.1777427195648
2030,sc01,01-03 12:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-03 12:00:00+01:00,SolarPV-Tracking,33.149740243369244
2030,sc01,01-03 12:00:00+01:00,Geothermal,0.224
2030,sc01,01-03 12:00:00+01:00,Biomass,0.0
2030,sc01,01-03 12:00:00+01:00,Hydro,48.45633932854771
2030,sc01,01-03 12:00:00+01:00,DG-BTM,8.612259891199999
2030,sc01,01-03 12:00:00+01:00,Oil,1.7942399999999998
2030,sc01,01-03 12:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-03 12:00:00+01:00,Coal,0.0
2030,sc01,01-03 12:00:00+01:00,Battery,0.0
2030,sc01,01-03 12:00:00+01:00,SolarPV-NonTracking,16.443917581381196
2030,sc01,01-03 12:00:00+01:00,WT-Onshore,67.27070175551862
2030,sc01,01-05 15:00:00+01:00,Natural gas,47.60017924602489
2030,sc01,01-05 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-05 15:00:00+01:00,SolarPV-Tracking,24.13351585029686
2030,sc01,01-05 15:00:00+01:00,Geothermal,0.20800000000000002
2030,sc01,01-05 15:00:00+01:00,Biomass,0.0
2030,sc01,01-05 15:00:00+01:00,Hydro,44.51332489365935
2030,sc01,01-05 15:00:00+01:00,DG-BTM,7.46288117653
2030,sc01,01-05 15:00:00+01:00,Oil,1.66608
2030,sc01,01-05 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-05 15:00:00+01:00,Coal,0.0
2030,sc01,01-05 15:00:00+01:00,Battery,0.0
2030,sc01,01-05 15:00:00+01:00,SolarPV-NonTracking,7.143998518617141
2030,sc01,01-05 15:00:00+01:00,WT-Onshore,47.77168269090717
2030,sc01,01-07 20:00:00+01:00,Natural gas,144.1889675975604
2030,sc01,01-07 20:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 20:00:00+01:00,SolarPV-Tracking,0.260463307632
2030,sc01,01-07 20:00:00+01:00,Geothermal,0.352
2030,sc01,01-07 20:00:00+01:00,Biomass,0.0
2030,sc01,01-07 20:00:00+01:00,Hydro,57.73182053519239
2030,sc01,01-07 20:00:00+01:00,DG-BTM,0.111018024898
2030,sc01,01-07 20:00:00+01:00,Oil,2.81952
2030,sc01,01-07 20:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 20:00:00+01:00,Coal,0.0
2030,sc01,01-07 20:00:00+01:00,Battery,0.0
2030,sc01,01-07 20:00:00+01:00,SolarPV-NonTracking,0.740036912868
2030,sc01,01-07 20:00:00+01:00,WT-Onshore,148.93678683433833
2030,sc01,01-08 03:00:00+01:00,Natural gas,46.43771788192553
2030,sc01,01-08 03:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-08 03:00:00+01:00,SolarPV-Tracking,0.250804979268
2030,sc01,01-08 03:00:00+01:00,Geothermal,0.368
2030,sc01,01-08 03:00:00+01:00,Biomass,0.0
2030,sc01,01-08 03:00:00+01:00,Hydro,58.74303031335321
2030,sc01,01-08 03:00:00+01:00,DG-BTM,0.106901327791
2030,sc01,01-08 03:00:00+01:00,Oil,0.0
2030,sc01,01-08 03:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-08 03:00:00+01:00,Coal,0.0
2030,sc01,01-08 03:00:00+01:00,Battery,0.0
2030,sc01,01-08 03:00:00+01:00,SolarPV-NonTracking,0.7125953526969999
2030,sc01,01-08 03:00:00+01:00,WT-Onshore,107.75562265049439
2030,sc01,01-10 15:00:00+01:00,Natural gas,100.8465281958437
2030,sc01,01-10 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-10 15:00:00+01:00,SolarPV-Tracking,49.58988498461058
2030,sc01,01-10 15:00:00+01:00,Geothermal,0.336
2030,sc01,01-10 15:00:00+01:00,Biomass,0.0
2030,sc01,01-10 15:00:00+01:00,Hydro,90.06317229403959
2030,sc01,01-10 15:00:00+01:00,DG-BTM,12.339553345980002
2030,sc01,01-10 15:00:00+01:00,Oil,2.69136
2030,sc01,01-10 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-10 15:00:00+01:00,Coal,0.0
2030,sc01,01-10 15:00:00+01:00,Battery,0.0
2030,sc01,01-10 15:00:00+01:00,SolarPV-NonTracking,23.593388616916812
2030,sc01,01-10 15:00:00+01:00,WT-Onshore,100.39295149019853
2030,sc01,01-13 15:00:00+01:00,Natural gas,7.528462899988539
2030,sc01,01-13 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-13 15:00:00+01:00,SolarPV-Tracking,9.653468141398033
2030,sc01,01-13 15:00:00+01:00,Geothermal,0.096
2030,sc01,01-13 15:00:00+01:00,Biomass,0.0
2030,sc01,01-13 15:00:00+01:00,Hydro,19.13468665987731
2030,sc01,01-13 15:00:00+01:00,DG-BTM,3.21586835244
2030,sc01,01-13 15:00:00+01:00,Oil,0.0
2030,sc01,01-13 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-13 15:00:00+01:00,Coal,0.0
2030,sc01,01-13 15:00:00+01:00,Battery,0.0
2030,sc01,01-13 15:00:00+01:00,SolarPV-NonTracking,4.242267450068699
2030,sc01,01-13 15:00:00+01:00,WT-Onshore,33.956799013729416
2030,sc01,01-13 21:00:00+01:00,Natural gas,135.65202180498954
2030,sc01,01-13 21:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-13 21:00:00+01:00,SolarPV-Tracking,0.0
2030,sc01,01-13 21:00:00+01:00,Geothermal,0.464
2030,sc01,01-13 21:00:00+01:00,Biomass,0.0
2030,sc01,01-13 21:00:00+01:00,Hydro,42.49950551638099
2030,sc01,01-13 21:00:00+01:00,DG-BTM,0.0
2030,sc01,01-13 21:00:00+01:00,Oil,0.0
2030,sc01,01-13 21:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-13 21:00:00+01:00,Coal,0.0
2030,sc01,01-13 21:00:00+01:00,Battery,0.0
2030,sc01,01-13 21:00:00+01:00,SolarPV-NonTracking,0.0
2030,sc01,01-13 21:00:00+01:00,WT-Onshore,205.22780875388494
2030,sc01,01-15 12:00:00+01:00,Natural gas,61.91918744146728
2030,sc01,01-15 12:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-15 12:00:00+01:00,SolarPV-Tracking,33.79805782492271
2030,sc01,01-15 12:00:00+01:00,Geothermal,0.224
2030,sc01,01-15 12:00:00+01:00,Biomass,0.0
2030,sc01,01-15 12:00:00+01:00,Hydro,41.03853235503501
2030,sc01,01-15 12:00:00+01:00,DG-BTM,8.013527032
2030,sc01,01-15 12:00:00+01:00,Oil,1.7942399999999998
2030,sc01,01-15 12:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-15 12:00:00+01:00,Coal,0.0
2030,sc01,01-15 12:00:00+01:00,Battery,0.0
2030,sc01,01-15 12:00:00+01:00,SolarPV-NonTracking,16.182985764425
2030,sc01,01-15 12:00:00+01:00,WT-Onshore,92.02205268065063
2030,sc01,01-16 16:00:00+01:00,Natural gas,99.46395865902151
2030,sc01,01-16 16:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-16 16:00:00+01:00,SolarPV-Tracking,15.15256623885
2030,sc01,01-16 16:00:00+01:00,Geothermal,0.24
2030,sc01,01-16 16:00:00+01:00,Biomass,0.0
2030,sc01,01-16 16:00:00+01:00,Hydro,56.23539620999999
2030,sc01,01-16 16:00:00+01:00,DG-BTM,3.00745528875
2030,sc01,01-16 16:00:00+01:00,Oil,1.9223999999999999
2030,sc01,01-16 16:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-16 16:00:00+01:00,Coal,0.0
2030,sc01,01-16 16:00:00+01:00,Battery,0.0
2030,sc01,01-16 16:00:00+01:00,SolarPV-NonTracking,10.05165160497
2030,sc01,01-16 16:00:00+01:00,WT-Onshore,77.45148104443979
2030,sc01,01-17 09:00:00+01:00,Natural gas,139.48312940053918
2030,sc01,01-17 09:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-17 09:00:00+01:00,SolarPV-Tracking,7.561025455559999
2030,sc01,01-17 09:00:00+01:00,Geothermal,0.32
2030,sc01,01-17 09:00:00+01:00,Biomass,0.0
2030,sc01,01-17 09:00:00+01:00,Hydro,69.47126435122894
2030,sc01,01-17 09:00:00+01:00,DG-BTM,1.2350645977599999
2030,sc01,01-17 09:00:00+01:00,Oil,2.5632
2030,sc01,01-17 09:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-17 09:00:00+01:00,Coal,0.0
2030,sc01,01-17 09:00:00+01:00,Battery,0.0
2030,sc01,01-17 09:00:00+01:00,SolarPV-NonTracking,8.900397271220003
2030,sc01,01-17 09:00:00+01:00,WT-Onshore,125.33267041077308
2030,sc01,01-17 12:00:00+01:00,Natural gas,73.5450656325787
2030,sc01,01-17 12:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-17 12:00:00+01:00,SolarPV-Tracking,32.35968366204511
2030,sc01,01-17 12:00:00+01:00,Geothermal,0.24
2030,sc01,01-17 12:00:00+01:00,Biomass,0.0
2030,sc01,01-17 12:00:00+01:00,Hydro,47.09784189888453
2030,sc01,01-17 12:00:00+01:00,DG-BTM,4.7201423355
2030,sc01,01-17 12:00:00+01:00,Oil,1.9223999999999999
2030,sc01,01-17 12:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-17 12:00:00+01:00,Coal,0.0
2030,sc01,01-17 12:00:00+01:00,Battery,0.0
2030,sc01,01-17 12:00:00+01:00,SolarPV-NonTracking,22.60054139847
2030,sc01,01-17 12:00:00+01:00,WT-Onshore,87.87625481806037
2030,sc01,01-17 15:00:00+01:00,Natural gas,79.45782108575276
2030,sc01,01-17 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-17 15:00:00+01:00,SolarPV-Tracking,30.20083751713481
2030,sc01,01-17 15:00:00+01:00,Geothermal,0.24
2030,sc01,01-17 15:00:00+01:00,Biomass,0.0
2030,sc01,01-17 15:00:00+01:00,Hydro,50.42599959401241
2030,sc01,01-17 15:00:00+01:00,DG-BTM,3.81760614585
2030,sc01,01-17 15:00:00+01:00,Oil,1.9223999999999999
2030,sc01,01-17 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-17 15:00:00+01:00,Coal,0.0
2030,sc01,01-17 15:00:00+01:00,Battery,0.0
2030,sc01,01-17 15:00:00+01:00,SolarPV-NonTracking,16.228713655875
2030,sc01,01-17 15:00:00+01:00,WT-Onshore,78.95840022629368
2030,sc01,01-17 23:00:00+01:00,Natural gas,216.46038126377422
2030,sc01,01-17 23:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-17 23:00:00+01:00,SolarPV-Tracking,0.0
2030,sc01,01-17 23:00:00+01:00,Geothermal,0.624
2030,sc01,01-17 23:00:00+01:00,Biomass,0.0
2030,sc01,01-17 23:00:00+01:00,Hydro,64.44233507191332
2030,sc01,01-17 23:00:00+01:00,DG-BTM,0.0
