Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-17 13:00:00+01:00,bus020,bus021,eac1,0.2942560457984199
2030,sc01,01-17 13:00:00+01:00,bus017,bus031,eac1,0.402
2030,sc01,01-17 13:00:00+01:00,bus075,bus118,eac1,0.0917272002109481
2030,sc01,01-17 13:00:00+01:00,bus019,bus020,eac1,-0.2766178336015801
2030,sc01,01-17 13:00:00+01:00,bus105,bus106,eac1,-0.13915221180120457
2030,sc01,01-17 13:00:00+01:00,bus027,bus028,eac1,0.01847526670971672
2030,sc01,01-17 13:00:00+01:00,bus083,bus084,eac1,-0.07062586741606819
2030,sc01,01-17 13:00:00+01:00,bus004,bus005,eac1,0.19287863076155953
2030,sc01,01-17 13:00:00+01:00,bus077,bus082,eac1,0.14990046619613473
2030,sc01,01-17 13:00:00+01:00,bus004,bus011,eac1,-0.3738270822615596
2030,sc01,01-17 13:00:00+01:00,bus059,bus060,eac1,-0.10576704418524918
2030,sc01,01-17 13:00:00+01:00,bus056,bus059,eac2,-0.04313474778555115
2030,sc01,01-17 13:00:00+01:00,bus069,bus070,eac1,0.3624010924261425
2030,sc01,01-17 13:00:00+01:00,bus060,bus061,eac1,-0.44191707841769357
2030,sc01,01-17 13:00:00+01:00,bus064,bus065,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus069,bus075,eac1,0.37731122768380443
2030,sc01,01-17 13:00:00+01:00,bus009,bus010,eac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus044,bus045,eac1,0.010965059274511413
2030,sc01,01-17 13:00:00+01:00,bus007,bus012,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus071,bus072,eac1,-0.02609997682236892
2030,sc01,01-17 13:00:00+01:00,bus015,bus033,eac1,0.025953359660011
2030,sc01,01-17 13:00:00+01:00,bus060,bus062,eac1,0.06052758993244434
2030,sc01,01-17 13:00:00+01:00,bus015,bus017,eac1,0.15643775685323713
2030,sc01,01-17 13:00:00+01:00,bus046,bus047,eac1,-0.10238073041446527
2030,sc01,01-17 13:00:00+01:00,bus023,bus024,eac1,0.18273572406866245
2030,sc01,01-17 13:00:00+01:00,bus049,bus054,eac2,0.04578539824618799
2030,sc01,01-17 13:00:00+01:00,bus109,bus110,eac1,0.26341818713639753
2030,sc01,01-17 13:00:00+01:00,bus031,bus032,eac1,0.02037089911971679
2030,sc01,01-17 13:00:00+01:00,bus075,bus077,eac1,-0.18663825950233873
2030,sc01,01-17 13:00:00+01:00,bus047,bus049,eac1,-0.09684602408613724
2030,sc01,01-17 13:00:00+01:00,bus025,bus027,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus078,bus079,eac1,-0.07671082442621413
2030,sc01,01-17 13:00:00+01:00,bus030,bus017,eac1,0.3485050307315085
2030,sc01,01-17 13:00:00+01:00,bus019,bus034,eac1,0.13668595235868652
2030,sc01,01-17 13:00:00+01:00,bus013,bus015,eac1,0.402
2030,sc01,01-17 13:00:00+01:00,bus092,bus093,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus068,bus081,eac1,-0.1302780163382946
2030,sc01,01-17 13:00:00+01:00,bus108,bus109,eac1,0.30633800961639757
2030,sc01,01-17 13:00:00+01:00,bus110,bus112,eac1,0.3740728714
2030,sc01,01-17 13:00:00+01:00,bus034,bus037,eac1,-0.3249997762307808
2030,sc01,01-17 13:00:00+01:00,bus006,bus007,eac1,-0.310746091635074
2030,sc01,01-17 13:00:00+01:00,bus040,bus041,eac1,0.1735709327181575
2030,sc01,01-17 13:00:00+01:00,bus049,bus066,eac2,-0.11338586798605887
2030,sc01,01-17 13:00:00+01:00,bus068,bus116,eac1,0.6415111790000001
2030,sc01,01-17 13:00:00+01:00,bus038,bus037,cac1,0.7730818417400631
2030,sc01,01-17 13:00:00+01:00,bus100,bus106,eac1,0.11769455119342509
2030,sc01,01-17 13:00:00+01:00,bus089,bus092,eac1,0.46441845151833494
2030,sc01,01-17 13:00:00+01:00,bus092,bus102,eac1,0.2320830797808685
2030,sc01,01-17 13:00:00+01:00,bus026,bus030,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus002,bus012,eac1,-0.08773919359527566
2030,sc01,01-17 13:00:00+01:00,bus011,bus012,eac1,0.2456994493029847
2030,sc01,01-17 13:00:00+01:00,bus011,bus013,eac1,-0.2656567130148748
2030,sc01,01-17 13:00:00+01:00,bus066,bus067,eac1,0.05399724574857667
2030,sc01,01-17 13:00:00+01:00,bus021,bus022,eac1,0.22293288436841985
2030,sc01,01-17 13:00:00+01:00,bus103,bus105,eac1,0.04156161159201005
2030,sc01,01-17 13:00:00+01:00,bus114,bus115,eac1,0.07501164807498428
2030,sc01,01-17 13:00:00+01:00,bus056,bus057,eac1,0.008593694002462626
2030,sc01,01-17 13:00:00+01:00,bus100,bus104,eac1,0.16796933411363524
2030,sc01,01-17 13:00:00+01:00,bus034,bus036,eac1,0.11030422953495578
2030,sc01,01-17 13:00:00+01:00,bus056,bus058,eac1,0.04837509235438209
2030,sc01,01-17 13:00:00+01:00,bus063,bus064,eac1,-0.7406127546119841
2030,sc01,01-17 13:00:00+01:00,bus092,bus094,eac1,0.23167430868351702
2030,sc01,01-17 13:00:00+01:00,bus070,bus074,eac1,0.07150365479782572
2030,sc01,01-17 13:00:00+01:00,bus065,bus068,eac1,0.23571408959120554
2030,sc01,01-17 13:00:00+01:00,bus094,bus096,eac1,-0.01705152397251125
2030,sc01,01-17 13:00:00+01:00,bus049,bus050,eac1,0.10553347297753735
2030,sc01,01-17 13:00:00+01:00,bus030,bus038,eac1,0.2925404089837895
2030,sc01,01-17 13:00:00+01:00,bus084,bus085,eac1,-0.1320267878760682
2030,sc01,01-17 13:00:00+01:00,bus054,bus059,eac1,-0.05018297621772566
2030,sc01,01-17 13:00:00+01:00,bus080,bus099,cac1,0.22524667438626345
2030,sc01,01-17 13:00:00+01:00,bus016,bus017,eac1,0.266519387106416
2030,sc01,01-17 13:00:00+01:00,bus037,bus039,eac1,0.30696110805031285
2030,sc01,01-17 13:00:00+01:00,bus008,bus005,cac1,-0.9644177650803011
2030,sc01,01-17 13:00:00+01:00,bus062,bus066,eac1,-0.0013584041246972323
2030,sc01,01-17 13:00:00+01:00,bus008,bus030,eac1,0.3796666666666665
2030,sc01,01-17 13:00:00+01:00,bus080,bus098,eac1,0.26333194958935013
2030,sc01,01-17 13:00:00+01:00,bus012,bus117,cac1,-0.36673902605054554
2030,sc01,01-17 13:00:00+01:00,bus048,bus049,eac1,-0.1401361009920279
2030,sc01,01-17 13:00:00+01:00,bus064,bus065,eac1,0.5028579033327076
2030,sc01,01-17 13:00:00+01:00,bus085,bus086,eac1,-0.06132321611999991
2030,sc01,01-17 13:00:00+01:00,bus035,bus037,eac1,-0.11980551116504429
2030,sc01,01-17 13:00:00+01:00,bus033,bus037,eac1,0.24558794359701108
2030,sc01,01-17 13:00:00+01:00,bus068,bus069,eac1,-0.019902491739647088
2030,sc01,01-17 13:00:00+01:00,bus089,bus092,eac2,0.14834365465955668
2030,sc01,01-17 13:00:00+01:00,bus026,bus025,eac1,0.5212523927168011
2030,sc01,01-17 13:00:00+01:00,bus032,bus114,eac1,0.11385919443498427
2030,sc01,01-17 13:00:00+01:00,bus003,bus005,cac1,0.033527400416336506
2030,sc01,01-17 13:00:00+01:00,bus094,bus095,eac1,0.10194353555972246
2030,sc01,01-17 13:00:00+01:00,bus008,bus009,eac1,-0.6690282780863654
2030,sc01,01-17 13:00:00+01:00,bus018,bus019,eac1,-0.11885215051534836
2030,sc01,01-17 13:00:00+01:00,bus037,bus040,eac1,0.2669033898909349
2030,sc01,01-17 13:00:00+01:00,bus096,bus097,eac1,-0.13463076770839222
2030,sc01,01-17 13:00:00+01:00,bus106,bus107,eac1,-0.2109722947077795
2030,sc01,01-17 13:00:00+01:00,bus003,bus012,eac1,-0.11763628926106062
2030,sc01,01-17 13:00:00+01:00,bus012,bus014,eac1,0.3262325053757026
2030,sc01,01-17 13:00:00+01:00,bus054,bus055,eac1,0.020033597892199217
2030,sc01,01-17 13:00:00+01:00,bus038,bus065,cac1,0.19853989709754782
2030,sc01,01-17 13:00:00+01:00,bus094,bus100,cac1,0.394135261996306
2030,sc01,01-17 13:00:00+01:00,bus005,bus011,eac1,-0.3996843802503307
2030,sc01,01-17 13:00:00+01:00,bus046,bus048,eac1,-0.06337754586202787
2030,sc01,01-17 13:00:00+01:00,bus103,bus110,eac1,0.3190108486636024
2030,sc01,01-17 13:00:00+01:00,bus025,bus027,eac1,0.29068365734155077
2030,sc01,01-17 13:00:00+01:00,bus014,bus015,eac1,0.2612766509857025
2030,sc01,01-17 13:00:00+01:00,bus055,bus056,eac1,-0.17312099979842652
2030,sc01,01-17 13:00:00+01:00,bus070,bus075,eac1,4.986552697922031e-05
2030,sc01,01-17 13:00:00+01:00,bus092,bus093,eac1,0.08464788646221322
2030,sc01,01-17 13:00:00+01:00,bus012,bus016,eac1,0.393882175406416
2030,sc01,01-17 13:00:00+01:00,bus004,bus011,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus001,bus003,eac1,0.07576238555527559
2030,sc01,01-17 13:00:00+01:00,bus080,bus096,eac1,0.1641004034793766
2030,sc01,01-17 13:00:00+01:00,bus051,bus058,eac1,-0.006242249504382069
2030,sc01,01-17 13:00:00+01:00,bus005,bus006,cac1,-0.09739377775207403
2030,sc01,01-17 13:00:00+01:00,bus079,bus080,eac1,-0.22248849332621418
2030,sc01,01-17 13:00:00+01:00,bus024,bus072,eac1,0.07529113818236893
2030,sc01,01-17 13:00:00+01:00,bus053,bus054,eac1,-0.07418282434319962
2030,sc01,01-17 13:00:00+01:00,bus015,bus033,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus061,bus062,eac1,0.2489754881342816
2030,sc01,01-17 13:00:00+01:00,bus035,bus036,eac1,0.005570327765044292
2030,sc01,01-17 13:00:00+01:00,bus015,bus019,eac1,0.18770694407245425
2030,sc01,01-17 13:00:00+01:00,bus024,bus070,eac1,0.04712843538629358
2030,sc01,01-17 13:00:00+01:00,bus110,bus111,eac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus052,bus053,eac1,0.005435636826800372
2030,sc01,01-17 13:00:00+01:00,bus062,bus067,eac1,0.04431272089142335
2030,sc01,01-17 13:00:00+01:00,bus085,bus088,eac1,-0.11506866881056954
2030,sc01,01-17 13:00:00+01:00,bus022,bus023,eac1,0.17437345141841987
2030,sc01,01-17 13:00:00+01:00,bus101,bus102,eac1,-0.2449326102508685
2030,sc01,01-17 13:00:00+01:00,bus082,bus096,eac1,0.030967389125020284
2030,sc01,01-17 13:00:00+01:00,bus074,bus075,eac1,-0.2328301106021743
2030,sc01,01-17 13:00:00+01:00,bus045,bus046,eac1,-0.04898438727649318
2030,sc01,01-17 13:00:00+01:00,bus006,bus007,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus054,bus056,cac1,0.0
2030,sc01,01-17 13:00:00+01:00,bus051,bus052,eac1,0.07206595261680038
2030,sc01,01-17 13:00:00+01:00,bus076,bus118,eac1,0.030428378689051905
2030,sc01,01-17 13:00:00+01:00,bus023,bus032,cac1,0.19351161860500754
2030,sc01,01-17 13:00:00+01:00,bus088,bus089,eac1,-0.32756354975056956
2030,sc01,01-17 13:00:00+01:00,bus095,bus096,eac1,-0.10797306904027759
2030,sc01,01-17 13:00:00+01:00,bus027,bus032,eac1,-0.0877357310131815
2030,sc01,01-17 13:00:00+01:00,bus099,bus100,cac1,0.09602805828626348
2030,sc01,01-17 13:00:00+01:00,bus050,bus057,eac1,0.037461439077537406
2030,sc01,01-17 13:00:00+01:00,bus055,bus059,eac1,-0.05988568960937424
2030,sc01,01-17 13:00:00+01:00,bus023,bus025,eac1,-0.23056873537525013
2030,sc01,01-17 13:00:00+01:00,bus007,bus012,eac1,-0.315293612415074
2030,sc01,01-17 13:00:00+01:00,bus017,bus018,eac1,0.1271036562846516
2030,sc01,01-17 13:00:00+01:00,bus047,bus069,eac1,-0.10588498042832806
2030,sc01,01-17 13:00:00+01:00,bus042,bus049,eac1,-0.12303750927937607
2030,sc01,01-17 13:00:00+01:00,bus040,bus042,eac1,0.06493888022309036
