Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,02-13 14:00:00+01:00,N_111,N_113,eac1,0.14298522390449447
2030,sc01,02-13 14:00:00+01:00,N_117,N_118,eac1,0.05949108384714961
2030,sc01,02-13 14:00:00+01:00,N_116,N_117,cac3,0.024699851591749096
2030,sc01,02-13 14:00:00+01:00,N_113,N_123,eac1,0.15858844327605423
2030,sc01,02-13 14:00:00+01:00,N_107,N_108,cac1,0.15440597079445254
2030,sc01,02-13 14:00:00+01:00,N_106,N_108,cac1,0.3067690879249452
2030,sc01,02-13 14:00:00+01:00,N_109,N_111,cac1,0.015177952868895348
2030,sc01,02-13 14:00:00+01:00,N_108,N_109,eac1,0.2584226136954529
2030,sc01,02-13 14:00:00+01:00,N_113,N_123,cac1,0.0
2030,sc01,02-13 14:00:00+01:00,N_117,N_118,cac1,0.059491083847150496
2030,sc01,02-13 14:00:00+01:00,N_118,N_121,cac2,0.012069911615430485
2030,sc01,02-13 14:00:00+01:00,N_117,N_122,cac2,0.0
2030,sc01,02-13 14:00:00+01:00,N_111,N_114,eac1,0.11580889557251496
2030,sc01,02-13 14:00:00+01:00,N_120,N_123,eac1,0.08274302493652762
2030,sc01,02-13 14:00:00+01:00,N_102,N_106,eac1,0.5008828184847687
2030,sc01,02-13 14:00:00+01:00,N_118,N_121,eac1,0.012069899545541008
2030,sc01,02-13 14:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,02-13 14:00:00+01:00,N_117,N_122,eac1,0.0022584525079679123
2030,sc01,02-13 14:00:00+01:00,N_103,N_124,eac1,0.14911173862954066
2030,sc01,02-13 14:00:00+01:00,N_112,N_113,eac1,0.10049528691613353
2030,sc01,02-13 14:00:00+01:00,N_107,N_108,cac3,0.0
2030,sc01,02-13 14:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,02-13 14:00:00+01:00,N_104,N_109,eac1,0.4522585207746367
2030,sc01,02-13 14:00:00+01:00,N_121,N_122,eac1,0.004516905015935825
2030,sc01,02-13 14:00:00+01:00,N_118,N_121,cac1,0.012069899545542785
2030,sc01,02-13 14:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,02-13 14:00:00+01:00,N_117,N_122,cac1,0.0022584525079679123
2030,sc01,02-13 14:00:00+01:00,N_110,N_112,eac1,0.0944591953146263
2030,sc01,02-13 14:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,02-13 14:00:00+01:00,N_115,N_116,eac1,0.055525176840285025
2030,sc01,02-13 14:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,02-13 14:00:00+01:00,N_116,N_117,eac1,0.02469981454204825
2030,sc01,02-13 14:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,02-13 14:00:00+01:00,N_117,N_118,cac3,0.0
