Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-05 08:00:00+01:00,N_113,N_123,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_104,N_109,eac1,0.09442349922741719
2030,sc01,01-05 08:00:00+01:00,N_118,N_121,cac1,-0.009608544136688657
2030,sc01,01-05 08:00:00+01:00,N_111,N_113,eac1,-0.05582710235643429
2030,sc01,01-05 08:00:00+01:00,N_107,N_108,cac2,0.0
2030,sc01,01-05 08:00:00+01:00,N_117,N_118,eac1,-0.010062258082251474
2030,sc01,01-05 08:00:00+01:00,N_108,N_110,eac1,-0.03051313293523608
2030,sc01,01-05 08:00:00+01:00,N_113,N_123,cac2,0.0
2030,sc01,01-05 08:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_109,N_111,cac1,0.0071643115365928045
2030,sc01,01-05 08:00:00+01:00,N_117,N_122,eac1,-0.049541548685615056
2030,sc01,01-05 08:00:00+01:00,N_102,N_106,eac1,0.10330898669687119
2030,sc01,01-05 08:00:00+01:00,N_101,N_102,eac1,0.04991358439428836
2030,sc01,01-05 08:00:00+01:00,N_116,N_119,eac1,-0.014861620571751333
2030,sc01,01-05 08:00:00+01:00,N_106,N_108,cac1,0.06173974756475131
2030,sc01,01-05 08:00:00+01:00,N_103,N_124,eac1,0.04992193900723946
2030,sc01,01-05 08:00:00+01:00,N_116,N_117,eac1,-0.02585397432359693
2030,sc01,01-05 08:00:00+01:00,N_101,N_103,eac1,0.05853441932471548
2030,sc01,01-05 08:00:00+01:00,N_102,N_104,eac1,0.05305625528741717
2030,sc01,01-05 08:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_118,N_121,cac2,-0.019217088273377203
2030,sc01,01-05 08:00:00+01:00,N_115,N_116,eac1,-0.031154619405372563
2030,sc01,01-05 08:00:00+01:00,N_115,N_116,cac1,-0.031154619405372563
2030,sc01,01-05 08:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-05 08:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_112,N_123,eac1,0.009907727698444418
2030,sc01,01-05 08:00:00+01:00,N_110,N_111,eac1,-0.017561353348610975
2030,sc01,01-05 08:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-05 08:00:00+01:00,N_107,N_108,eac1,-0.02857496289
2030,sc01,01-05 08:00:00+01:00,N_113,N_123,eac1,0.03262850940330694
2030,sc01,01-05 08:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-05 08:00:00+01:00,N_117,N_122,cac1,-0.049541548685615056
2030,sc01,01-05 08:00:00+01:00,N_107,N_108,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_103,N_109,eac1,0.040716587197476034
2030,sc01,01-05 08:00:00+01:00,N_120,N_123,eac1,-0.04253623710175136
2030,sc01,01-05 08:00:00+01:00,N_119,N_120,eac1,0.01598528688824863
2030,sc01,01-05 08:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-05 08:00:00+01:00,N_115,N_121,eac1,-0.032701033882015534
2030,sc01,01-05 08:00:00+01:00,N_110,N_112,eac1,-0.027002241363509094
2030,sc01,01-05 08:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-05 08:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-05 08:00:00+01:00,N_117,N_122,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-05 08:00:00+01:00,N_105,N_110,eac1,0.09571330257099611
2030,sc01,01-05 08:00:00+01:00,N_117,N_118,cac2,-0.02012451616450306
2030,sc01,01-05 08:00:00+01:00,N_115,N_124,eac1,-0.04992193900723946
2030,sc01,01-05 08:00:00+01:00,N_118,N_121,eac1,-0.009608544136688657
