Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-18 01:00:00+01:00,122_HYDRO_3,0.0
2030,sc01,01-18 01:00:00+01:00,122_HYDRO_5,0.0
2030,sc01,01-18 01:00:00+01:00,122_HYDRO_4,0.0
2030,sc01,01-18 01:00:00+01:00,122_HYDRO_6,0.0
2030,sc01,01-18 01:00:00+01:00,122_HYDRO_2,0.0
2030,sc01,01-18 01:00:00+01:00,122_HYDRO_1,0.0
2030,sc01,02-05 07:00:00+01:00,122_HYDRO_3,0.0
2030,sc01,02-05 07:00:00+01:00,122_HYDRO_5,0.0
2030,sc01,02-05 07:00:00+01:00,122_HYDRO_4,0.0
2030,sc01,02-05 07:00:00+01:00,122_HYDRO_6,0.0
2030,sc01,02-05 07:00:00+01:00,122_HYDRO_2,0.0
2030,sc01,02-05 07:00:00+01:00,122_HYDRO_1,0.0
2030,sc01,02-09 05:00:00+01:00,122_HYDRO_3,0.0
2030,sc01,02-09 05:00:00+01:00,122_HYDRO_5,0.0
2030,sc01,02-09 05:00:00+01:00,122_HYDRO_4,0.0
2030,sc01,02-09 05:00:00+01:00,122_HYDRO_6,0.0
2030,sc01,02-09 05:00:00+01:00,122_HYDRO_2,0.0
2030,sc01,02-09 05:00:00+01:00,122_HYDRO_1,0.0
2030,sc01,02-11 09:00:00+01:00,122_HYDRO_3,0.0
2030,sc01,02-11 09:00:00+01:00,122_HYDRO_5,0.0
2030,sc01,02-11 09:00:00+01:00,122_HYDRO_4,0.0
2030,sc01,02-11 09:00:00+01:00,122_HYDRO_6,0.0
2030,sc01,02-11 09:00:00+01:00,122_HYDRO_2,0.0
2030,sc01,02-11 09:00:00+01:00,122_HYDRO_1,0.0
2030,sc01,02-14 14:00:00+01:00,122_HYDRO_3,0.0
2030,sc01,02-14 14:00:00+01:00,122_HYDRO_5,0.0
2030,sc01,02-14 14:00:00+01:00,122_HYDRO_4,0.0
2030,sc01,02-14 14:00:00+01:00,122_HYDRO_6,0.0
2030,sc01,02-14 14:00:00+01:00,122_HYDRO_2,0.0
2030,sc01,02-14 14:00:00+01:00,122_HYDRO_1,0.0
2030,sc01,03-03 12:00:00+01:00,122_HYDRO_3,0.0
2030,sc01,03-03 12:00:00+01:00,122_HYDRO_5,0.0
2030,sc01,03-03 12:00:00+01:00,122_HYDRO_4,0.0
2030,sc01,03-03 12:00:00+01:00,122_HYDRO_6,0.0
2030,sc01,03-03 12:00:00+01:00,122_HYDRO_2,0.0
2030,sc01,03-03 12:00:00+01:00,122_HYDRO_1,0.0
