Period,Scenario,LoadLevel,Area,Node,Technology,GWh
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Coal,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Gas,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Nuclear,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Oil,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Solar,29.34679489115957
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Wind,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Coal,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Gas,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Nuclear,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Oil,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Solar,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,Wind,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,ENS,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,EnergyDemand,-8.58141454485
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,PowerFlowOut,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_101,PowerFlowIn,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Coal,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Gas,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Nuclear,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Oil,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Solar,26.549999999999997
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Wind,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Coal,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Gas,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Nuclear,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Oil,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Solar,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,Wind,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,ENS,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,EnergyDemand,-7.7073815799
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,PowerFlowOut,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_102,PowerFlowIn,-0.37673680130732734
2030,sc01,01-06 12:00:00+01:00,Area_11,N_103,Coal,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_103,Gas,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_103,Nuclear,0.0
2030,sc01,01-06 12:00:00+01:00,Area_11,N_103,Oil,0.0
