Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-04 08:00:00+01:00,Gas,29.634290082000003
2030,sc01,01-04 08:00:00+01:00,Battery,0.0
2030,sc01,01-04 08:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-04 08:00:00+01:00,Oil,0.0
2030,sc01,01-04 08:00:00+01:00,Solar,3.0386573102040004
2030,sc01,01-04 08:00:00+01:00,Wind,98.52291535389642
2030,sc01,01-04 08:00:00+01:00,Hydro,0.0
2030,sc01,01-04 08:00:00+01:00,Nuclear,27.444187988726835
2030,sc01,01-04 08:00:00+01:00,Coal,63.65691122445291
2030,sc01,01-15 01:00:00+01:00,Gas,0.0
2030,sc01,01-15 01:00:00+01:00,Battery,0.0
2030,sc01,01-15 01:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-15 01:00:00+01:00,Oil,0.0
2030,sc01,01-15 01:00:00+01:00,Solar,125.13346714530002
2030,sc01,01-15 01:00:00+01:00,Wind,0.0
2030,sc01,01-15 01:00:00+01:00,Hydro,0.0
2030,sc01,01-15 01:00:00+01:00,Nuclear,0.0
2030,sc01,01-15 01:00:00+01:00,Coal,0.0
2030,sc01,01-17 10:00:00+01:00,Gas,30.652044226385232
2030,sc01,01-17 10:00:00+01:00,Battery,0.0
2030,sc01,01-17 10:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-17 10:00:00+01:00,Oil,0.0
2030,sc01,01-17 10:00:00+01:00,Solar,23.884693847496003
2030,sc01,01-17 10:00:00+01:00,Wind,50.3256228328
2030,sc01,01-17 10:00:00+01:00,Hydro,0.0
2030,sc01,01-17 10:00:00+01:00,Nuclear,25.696
2030,sc01,01-17 10:00:00+01:00,Coal,40.54330423365869
2030,sc01,01-21 08:00:00+01:00,Gas,22.305854721250004
2030,sc01,01-21 08:00:00+01:00,Battery,0.0
2030,sc01,01-21 08:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-21 08:00:00+01:00,Oil,0.0
2030,sc01,01-21 08:00:00+01:00,Solar,6.146498769550001
2030,sc01,01-21 08:00:00+01:00,Wind,73.51093535761085
2030,sc01,01-21 08:00:00+01:00,Hydro,0.0
2030,sc01,01-21 08:00:00+01:00,Nuclear,22.841472170847933
2030,sc01,01-21 08:00:00+01:00,Coal,75.59549053964126
2030,sc01,01-21 22:00:00+01:00,Gas,0.0
2030,sc01,01-21 22:00:00+01:00,Battery,0.0
2030,sc01,01-21 22:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-21 22:00:00+01:00,Oil,0.0
2030,sc01,01-21 22:00:00+01:00,Solar,170.14601682057597
2030,sc01,01-21 22:00:00+01:00,Wind,10.532945825279999
2030,sc01,01-21 22:00:00+01:00,Hydro,0.0
2030,sc01,01-21 22:00:00+01:00,Nuclear,32.065609445063984
2030,sc01,01-21 22:00:00+01:00,Coal,0.0
2030,sc01,01-26 14:00:00+01:00,Gas,42.206233964999996
2030,sc01,01-26 14:00:00+01:00,Battery,0.0
2030,sc01,01-26 14:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-26 14:00:00+01:00,Oil,0.0
2030,sc01,01-26 14:00:00+01:00,Solar,38.772570245919994
2030,sc01,01-26 14:00:00+01:00,Wind,14.711724881
2030,sc01,01-26 14:00:00+01:00,Hydro,0.0
2030,sc01,01-26 14:00:00+01:00,Nuclear,24.640000000000004
2030,sc01,01-26 14:00:00+01:00,Coal,10.351680925179972
2030,sc01,01-29 05:00:00+01:00,Gas,0.0
2030,sc01,01-29 05:00:00+01:00,Battery,0.0
2030,sc01,01-29 05:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-29 05:00:00+01:00,Oil,0.0
2030,sc01,01-29 05:00:00+01:00,Solar,142.379382339464
2030,sc01,01-29 05:00:00+01:00,Wind,3.1712990411559985
2030,sc01,01-29 05:00:00+01:00,Hydro,0.0
2030,sc01,01-29 05:00:00+01:00,Nuclear,0.0
2030,sc01,01-29 05:00:00+01:00,Coal,0.0
2030,sc01,01-29 10:00:00+01:00,Gas,51.596202006249996
2030,sc01,01-29 10:00:00+01:00,Battery,0.0
2030,sc01,01-29 10:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-29 10:00:00+01:00,Oil,0.0
2030,sc01,01-29 10:00:00+01:00,Solar,37.841729119280004
2030,sc01,01-29 10:00:00+01:00,Wind,16.327283429
2030,sc01,01-29 10:00:00+01:00,Hydro,0.0
2030,sc01,01-29 10:00:00+01:00,Nuclear,29.92
2030,sc01,01-29 10:00:00+01:00,Coal,63.595045642769975
2030,sc01,01-31 15:00:00+01:00,Gas,12.858510236250002
2030,sc01,01-31 15:00:00+01:00,Battery,0.0
2030,sc01,01-31 15:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-31 15:00:00+01:00,Oil,0.0
2030,sc01,01-31 15:00:00+01:00,Solar,11.251867036087999
2030,sc01,01-31 15:00:00+01:00,Wind,41.9060012056
2030,sc01,01-31 15:00:00+01:00,Hydro,0.0
2030,sc01,01-31 15:00:00+01:00,Nuclear,13.786020683367468
2030,sc01,01-31 15:00:00+01:00,Coal,26.11532721560463
2030,sc01,02-04 00:00:00+01:00,Gas,0.0
2030,sc01,02-04 00:00:00+01:00,Battery,0.0
2030,sc01,02-04 00:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-04 00:00:00+01:00,Oil,0.0
2030,sc01,02-04 00:00:00+01:00,Solar,97.84237456852
2030,sc01,02-04 00:00:00+01:00,Wind,0.0
2030,sc01,02-04 00:00:00+01:00,Hydro,0.0
2030,sc01,02-04 00:00:00+01:00,Nuclear,0.0
2030,sc01,02-04 00:00:00+01:00,Coal,0.0
2030,sc01,02-06 23:00:00+01:00,Gas,0.0
2030,sc01,02-06 23:00:00+01:00,Battery,0.0
2030,sc01,02-06 23:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-06 23:00:00+01:00,Oil,0.0
2030,sc01,02-06 23:00:00+01:00,Solar,187.778219104868
2030,sc01,02-06 23:00:00+01:00,Wind,12.708082231571963
2030,sc01,02-06 23:00:00+01:00,Hydro,0.0
2030,sc01,02-06 23:00:00+01:00,Nuclear,0.0
2030,sc01,02-06 23:00:00+01:00,Coal,0.0
2030,sc01,02-08 18:00:00+01:00,Gas,0.0
2030,sc01,02-08 18:00:00+01:00,Battery,0.0
2030,sc01,02-08 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-08 18:00:00+01:00,Oil,0.0
2030,sc01,02-08 18:00:00+01:00,Solar,127.28908310118003
2030,sc01,02-08 18:00:00+01:00,Wind,27.175965325079964
2030,sc01,02-08 18:00:00+01:00,Hydro,0.0
2030,sc01,02-08 18:00:00+01:00,Nuclear,0.0
2030,sc01,02-08 18:00:00+01:00,Coal,0.0
2030,sc01,02-09 05:00:00+01:00,Gas,0.0
2030,sc01,02-09 05:00:00+01:00,Battery,0.0
2030,sc01,02-09 05:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-09 05:00:00+01:00,Oil,0.0
2030,sc01,02-09 05:00:00+01:00,Solar,126.04903369251016
2030,sc01,02-09 05:00:00+01:00,Wind,0.0
2030,sc01,02-09 05:00:00+01:00,Hydro,0.0
2030,sc01,02-09 05:00:00+01:00,Nuclear,0.0
2030,sc01,02-09 05:00:00+01:00,Coal,0.0
2030,sc01,02-15 14:00:00+01:00,Gas,0.0
2030,sc01,02-15 14:00:00+01:00,Battery,0.0
2030,sc01,02-15 14:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-15 14:00:00+01:00,Oil,0.0
2030,sc01,02-15 14:00:00+01:00,Solar,135.74204035602
2030,sc01,02-15 14:00:00+01:00,Wind,56.681217442800005
2030,sc01,02-15 14:00:00+01:00,Hydro,0.0
2030,sc01,02-15 14:00:00+01:00,Nuclear,15.031183694559969
2030,sc01,02-15 14:00:00+01:00,Coal,0.0
2030,sc01,02-27 07:00:00+01:00,Gas,16.28731346896
2030,sc01,02-27 07:00:00+01:00,Battery,0.0
2030,sc01,02-27 07:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-27 07:00:00+01:00,Oil,0.0
2030,sc01,02-27 07:00:00+01:00,Solar,5.24823281368
2030,sc01,02-27 07:00:00+01:00,Wind,51.447706177200004
2030,sc01,02-27 07:00:00+01:00,Hydro,0.0
2030,sc01,02-27 07:00:00+01:00,Nuclear,18.87337686199243
2030,sc01,02-27 07:00:00+01:00,Coal,26.961626548847686
2030,sc01,03-02 18:00:00+01:00,Gas,30.283442766500002
2030,sc01,03-02 18:00:00+01:00,Battery,0.0
2030,sc01,03-02 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-02 18:00:00+01:00,Oil,0.0
2030,sc01,03-02 18:00:00+01:00,Solar,27.19172822586
2030,sc01,03-02 18:00:00+01:00,Wind,103.96493380083783
2030,sc01,03-02 18:00:00+01:00,Hydro,0.0
2030,sc01,03-02 18:00:00+01:00,Nuclear,20.615781995174316
2030,sc01,03-02 18:00:00+01:00,Coal,17.257678609167986
2030,sc01,03-03 16:00:00+01:00,Gas,0.0
2030,sc01,03-03 16:00:00+01:00,Battery,0.0
2030,sc01,03-03 16:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-03 16:00:00+01:00,Oil,0.0
2030,sc01,03-03 16:00:00+01:00,Solar,11.555429591184
2030,sc01,03-03 16:00:00+01:00,Wind,18.435330054575985
2030,sc01,03-03 16:00:00+01:00,Hydro,0.0
2030,sc01,03-03 16:00:00+01:00,Nuclear,0.0
2030,sc01,03-03 16:00:00+01:00,Coal,0.0
2030,sc01,03-07 09:00:00+01:00,Gas,12.826184697150001
2030,sc01,03-07 09:00:00+01:00,Battery,0.0
2030,sc01,03-07 09:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-07 09:00:00+01:00,Oil,0.0
2030,sc01,03-07 09:00:00+01:00,Solar,35.217366815839995
2030,sc01,03-07 09:00:00+01:00,Wind,32.58988788
2030,sc01,03-07 09:00:00+01:00,Hydro,0.0
2030,sc01,03-07 09:00:00+01:00,Nuclear,18.017550828053395
2030,sc01,03-07 09:00:00+01:00,Coal,6.96924323230664
2030,sc01,03-07 15:00:00+01:00,Gas,3.1905051211177873
2030,sc01,03-07 15:00:00+01:00,Battery,0.0
2030,sc01,03-07 15:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-07 15:00:00+01:00,Oil,0.0
2030,sc01,03-07 15:00:00+01:00,Solar,57.187858058618
2030,sc01,03-07 15:00:00+01:00,Wind,60.291938733586385
2030,sc01,03-07 15:00:00+01:00,Hydro,0.0
2030,sc01,03-07 15:00:00+01:00,Nuclear,0.0
2030,sc01,03-07 15:00:00+01:00,Coal,0.12976010984787367
2030,sc01,03-08 00:00:00+01:00,Gas,0.0
2030,sc01,03-08 00:00:00+01:00,Battery,0.0
2030,sc01,03-08 00:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-08 00:00:00+01:00,Oil,0.0
2030,sc01,03-08 00:00:00+01:00,Solar,156.25462421645972
2030,sc01,03-08 00:00:00+01:00,Wind,0.0
2030,sc01,03-08 00:00:00+01:00,Hydro,0.0
2030,sc01,03-08 00:00:00+01:00,Nuclear,0.0
2030,sc01,03-08 00:00:00+01:00,Coal,0.0
2030,sc01,03-16 11:00:00+01:00,Gas,0.0
2030,sc01,03-16 11:00:00+01:00,Battery,0.0
2030,sc01,03-16 11:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-16 11:00:00+01:00,Oil,0.0
2030,sc01,03-16 11:00:00+01:00,Solar,53.33676180337999
2030,sc01,03-16 11:00:00+01:00,Wind,32.886277115120066
2030,sc01,03-16 11:00:00+01:00,Hydro,0.0
2030,sc01,03-16 11:00:00+01:00,Nuclear,0.0
2030,sc01,03-16 11:00:00+01:00,Coal,0.0
2030,sc01,03-21 10:00:00+01:00,Gas,0.0
2030,sc01,03-21 10:00:00+01:00,Battery,0.0
2030,sc01,03-21 10:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-21 10:00:00+01:00,Oil,0.0
2030,sc01,03-21 10:00:00+01:00,Solar,48.96343625315
2030,sc01,03-21 10:00:00+01:00,Wind,17.67071678221997
2030,sc01,03-21 10:00:00+01:00,Hydro,0.0
2030,sc01,03-21 10:00:00+01:00,Nuclear,0.0
2030,sc01,03-21 10:00:00+01:00,Coal,0.0
2030,sc01,03-22 04:00:00+01:00,Gas,0.0
2030,sc01,03-22 04:00:00+01:00,Battery,0.0
2030,sc01,03-22 04:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-22 04:00:00+01:00,Oil,0.0
2030,sc01,03-22 04:00:00+01:00,Solar,159.85202472720005
2030,sc01,03-22 04:00:00+01:00,Wind,0.0
2030,sc01,03-22 04:00:00+01:00,Hydro,0.0
2030,sc01,03-22 04:00:00+01:00,Nuclear,0.0
2030,sc01,03-22 04:00:00+01:00,Coal,0.0
2030,sc01,03-26 01:00:00+01:00,Gas,0.0
2030,sc01,03-26 01:00:00+01:00,Battery,0.0
2030,sc01,03-26 01:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-26 01:00:00+01:00,Oil,0.0
2030,sc01,03-26 01:00:00+01:00,Solar,50.878032837599996
2030,sc01,03-26 01:00:00+01:00,Wind,0.0
2030,sc01,03-26 01:00:00+01:00,Hydro,0.0
2030,sc01,03-26 01:00:00+01:00,Nuclear,0.0
2030,sc01,03-26 01:00:00+01:00,Coal,0.0
2030,sc01,03-29 15:00:00+01:00,Gas,0.0
2030,sc01,03-29 15:00:00+01:00,Battery,0.0
2030,sc01,03-29 15:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-29 15:00:00+01:00,Oil,0.0
2030,sc01,03-29 15:00:00+01:00,Solar,39.34759481603
2030,sc01,03-29 15:00:00+01:00,Wind,9.111065148779986
2030,sc01,03-29 15:00:00+01:00,Hydro,0.0
2030,sc01,03-29 15:00:00+01:00,Nuclear,0.0
2030,sc01,03-29 15:00:00+01:00,Coal,0.0
2030,sc01,03-30 19:00:00+01:00,Gas,14.921727483500002
2030,sc01,03-30 19:00:00+01:00,Battery,0.0
2030,sc01,03-30 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-30 19:00:00+01:00,Oil,0.0
2030,sc01,03-30 19:00:00+01:00,Solar,11.031285660477998
2030,sc01,03-30 19:00:00+01:00,Wind,57.48550255656867
2030,sc01,03-30 19:00:00+01:00,Hydro,0.0
2030,sc01,03-30 19:00:00+01:00,Nuclear,9.184884803171048
2030,sc01,03-30 19:00:00+01:00,Coal,8.493811727902392
2030,sc01,04-02 06:00:00+02:00,Gas,17.364643295660002
2030,sc01,04-02 06:00:00+02:00,Battery,0.0
2030,sc01,04-02 06:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-02 06:00:00+02:00,Oil,0.0
2030,sc01,04-02 06:00:00+02:00,Solar,8.300053679731999
2030,sc01,04-02 06:00:00+02:00,Wind,70.72206274640232
2030,sc01,04-02 06:00:00+02:00,Hydro,0.0
2030,sc01,04-02 06:00:00+02:00,Nuclear,14.889978313118764
2030,sc01,04-02 06:00:00+02:00,Coal,22.14894676828696
2030,sc01,04-07 06:00:00+02:00,Gas,12.994403310138068
2030,sc01,04-07 06:00:00+02:00,Battery,0.0
2030,sc01,04-07 06:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-07 06:00:00+02:00,Oil,0.0
2030,sc01,04-07 06:00:00+02:00,Solar,5.238582254012002
2030,sc01,04-07 06:00:00+02:00,Wind,9.4552330296
2030,sc01,04-07 06:00:00+02:00,Hydro,0.0
2030,sc01,04-07 06:00:00+02:00,Nuclear,18.656000000000002
2030,sc01,04-07 06:00:00+02:00,Coal,0.0
2030,sc01,04-08 13:00:00+02:00,Gas,0.0
2030,sc01,04-08 13:00:00+02:00,Battery,0.0
2030,sc01,04-08 13:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-08 13:00:00+02:00,Oil,0.0
2030,sc01,04-08 13:00:00+02:00,Solar,95.66626059800402
2030,sc01,04-08 13:00:00+02:00,Wind,85.21068519178877
2030,sc01,04-08 13:00:00+02:00,Hydro,0.0
2030,sc01,04-08 13:00:00+02:00,Nuclear,0.0
2030,sc01,04-08 13:00:00+02:00,Coal,0.408704910647282
2030,sc01,04-20 17:00:00+02:00,Gas,7.3482897349839735
2030,sc01,04-20 17:00:00+02:00,Battery,0.0
2030,sc01,04-20 17:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-20 17:00:00+02:00,Oil,0.0
2030,sc01,04-20 17:00:00+02:00,Solar,31.439180721416
2030,sc01,04-20 17:00:00+02:00,Wind,11.3501477976
2030,sc01,04-20 17:00:00+02:00,Hydro,0.0
2030,sc01,04-20 17:00:00+02:00,Nuclear,23.936000000000003
2030,sc01,04-20 17:00:00+02:00,Coal,0.0
2030,sc01,04-22 20:00:00+02:00,Gas,0.0
2030,sc01,04-22 20:00:00+02:00,Battery,0.0
2030,sc01,04-22 20:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-22 20:00:00+02:00,Oil,0.0
2030,sc01,04-22 20:00:00+02:00,Solar,109.36414306714002
2030,sc01,04-22 20:00:00+02:00,Wind,0.0
2030,sc01,04-22 20:00:00+02:00,Hydro,0.0
2030,sc01,04-22 20:00:00+02:00,Nuclear,0.0
2030,sc01,04-22 20:00:00+02:00,Coal,0.0
2030,sc01,04-29 04:00:00+02:00,Gas,0.0
2030,sc01,04-29 04:00:00+02:00,Battery,0.0
2030,sc01,04-29 04:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-29 04:00:00+02:00,Oil,0.0
2030,sc01,04-29 04:00:00+02:00,Solar,64.46102134824
2030,sc01,04-29 04:00:00+02:00,Wind,0.0
2030,sc01,04-29 04:00:00+02:00,Hydro,0.0
2030,sc01,04-29 04:00:00+02:00,Nuclear,0.0
2030,sc01,04-29 04:00:00+02:00,Coal,0.0
2030,sc01,04-30 06:00:00+02:00,Gas,29.724139769654094
2030,sc01,04-30 06:00:00+02:00,Battery,0.0
2030,sc01,04-30 06:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-30 06:00:00+02:00,Oil,0.0
2030,sc01,04-30 06:00:00+02:00,Solar,12.071372759775997
2030,sc01,04-30 06:00:00+02:00,Wind,33.8437818136
2030,sc01,04-30 06:00:00+02:00,Hydro,0.0
