Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-04 09:00:00+01:00,N_108,N_110,eac1,0.01304641404005133
2030,sc01,01-04 09:00:00+01:00,N_102,N_104,eac1,0.048259033943008844
2030,sc01,01-04 09:00:00+01:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,01-04 09:00:00+01:00,N_101,N_102,eac1,0.01350157249103659
2030,sc01,01-04 09:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-04 09:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-04 09:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-04 09:00:00+01:00,N_120,N_123,eac1,0.13490415105121034
2030,sc01,01-04 09:00:00+01:00,N_109,N_111,eac1,-0.07528744702968099
2030,sc01,01-04 09:00:00+01:00,N_116,N_119,eac1,0.38305780987921034
2030,sc01,01-04 09:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-04 09:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-04 09:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-04 09:00:00+01:00,N_118,N_121,cac3,-0.47459495138843355
2030,sc01,01-04 09:00:00+01:00,N_112,N_123,eac1,-0.060988745699843
2030,sc01,01-04 09:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-04 09:00:00+01:00,N_111,N_114,eac1,-0.275494371890273
2030,sc01,01-04 09:00:00+01:00,N_106,N_110,eac1,-0.0036744953759023924
2030,sc01,01-04 09:00:00+01:00,N_114,N_116,eac1,-0.275494371890273
2030,sc01,01-04 09:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-04 09:00:00+01:00,N_111,N_113,eac1,0.11103566939689224
2030,sc01,01-04 09:00:00+01:00,N_109,N_112,eac1,-0.018277576529041772
2030,sc01,01-04 09:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-04 09:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-04 09:00:00+01:00,N_103,N_109,eac1,0.040552887357872935
2030,sc01,01-04 09:00:00+01:00,N_108,N_109,eac1,0.005990983830395452
2030,sc01,01-04 09:00:00+01:00,N_116,N_117,cac3,-0.585886745857132
2030,sc01,01-04 09:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-04 09:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-04 09:00:00+01:00,N_118,N_121,eac1,-0.11864873784710839
2030,sc01,01-04 09:00:00+01:00,N_121,N_122,eac1,-0.5
2030,sc01,01-04 09:00:00+01:00,N_113,N_123,eac1,-0.07391540535136734
