Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-01 07:00:00+01:00,N_101,N_103,eac1,0.08615106337593843
2030,sc01,01-01 07:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-01 07:00:00+01:00,N_114,N_116,eac1,0.14537281820861184
2030,sc01,01-01 07:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-01 07:00:00+01:00,N_112,N_113,eac1,0.17884265989202408
2030,sc01,01-01 07:00:00+01:00,N_105,N_110,eac1,0.2012550451813547
2030,sc01,01-01 07:00:00+01:00,N_118,N_121,cac3,0.0037786080059747807
2030,sc01,01-01 07:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-01 07:00:00+01:00,N_117,N_122,eac1,0.003261781850592437
2030,sc01,01-01 07:00:00+01:00,N_120,N_123,eac1,0.2518414504355065
2030,sc01,01-01 07:00:00+01:00,N_115,N_121,eac1,0.06329917500628568
2030,sc01,01-01 07:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-01 07:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-01 07:00:00+01:00,N_108,N_109,eac1,0.054863818608273406
2030,sc01,01-01 07:00:00+01:00,N_103,N_124,eac1,0.2868546199226302
2030,sc01,01-01 07:00:00+01:00,N_119,N_120,eac1,0.21942492620855505
2030,sc01,01-01 07:00:00+01:00,N_116,N_119,eac1,0.1779555000274074
2030,sc01,01-01 07:00:00+01:00,N_104,N_109,eac1,0.15740846080822718
2030,sc01,01-01 07:00:00+01:00,N_109,N_112,eac1,0.06991940109197337
2030,sc01,01-01 07:00:00+01:00,N_117,N_118,cac2,0.0324131322589997
2030,sc01,01-01 07:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-01 07:00:00+01:00,N_106,N_110,eac1,0.0022793684661827863
2030,sc01,01-01 07:00:00+01:00,N_110,N_112,eac1,0.0630318989973556
2030,sc01,01-01 07:00:00+01:00,N_101,N_102,eac1,0.4264059911179642
2030,sc01,01-01 07:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-01 07:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-01 07:00:00+01:00,N_117,N_118,eac1,0.03241309984593226
2030,sc01,01-01 07:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-01 07:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-01 07:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-01 07:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-01 07:00:00+01:00,N_106,N_108,cac1,0.1667904972395302
2030,sc01,01-01 07:00:00+01:00,N_107,N_108,eac1,0.21076433637522077
2030,sc01,01-01 07:00:00+01:00,N_111,N_113,eac1,0.2998452631170031
2030,sc01,01-01 07:00:00+01:00,N_102,N_104,eac1,0.25198298839378386
2030,sc01,01-01 07:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-01 07:00:00+01:00,N_116,N_117,eac1,0.02010021627767798
2030,sc01,01-01 07:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-01 07:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-01 07:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-01 07:00:00+01:00,N_115,N_124,eac1,0.6556655951890106
2030,sc01,01-01 07:00:00+01:00,N_102,N_106,eac1,0.2451384475886685
2030,sc01,01-01 07:00:00+01:00,N_110,N_111,eac1,0.02278039292240376
2030,sc01,01-01 07:00:00+01:00,N_118,N_121,eac1,0.0037786023380741076
2030,sc01,01-01 07:00:00+01:00,N_121,N_122,eac1,0.003261781850592437
2030,sc01,01-01 07:00:00+01:00,N_111,N_114,eac1,0.330783905586437
2030,sc01,01-01 07:00:00+01:00,N_109,N_111,eac1,0.015892890827785992
2030,sc01,01-01 07:00:00+01:00,N_103,N_109,eac1,0.20275087524174512
2030,sc01,01-01 07:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-01 07:00:00+01:00,N_115,N_116,eac1,0.1254794753431552
2030,sc01,01-01 07:00:00+01:00,N_113,N_123,eac1,0.40763506192046145
2030,sc01,01-01 07:00:00+01:00,N_108,N_110,eac1,0.06286395107638554
2030,sc01,01-01 07:00:00+01:00,N_112,N_123,eac1,0.16473041396011973
2030,sc01,01-01 07:00:00+01:00,N_101,N_105,eac1,0.2749209038907335
2030,sc01,01-01 07:00:00+01:00,N_116,N_117,cac3,0.020100246427987318
2030,sc01,01-01 13:00:00+01:00,N_101,N_103,eac1,0.19138569220505197
2030,sc01,01-01 13:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_114,N_116,eac1,0.38838663885869645
2030,sc01,01-01 13:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_112,N_113,eac1,0.011782756226241786
2030,sc01,01-01 13:00:00+01:00,N_105,N_110,eac1,0.299669549940727
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,cac3,0.1208750595762323
2030,sc01,01-01 13:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_117,N_122,eac1,0.6286319645615066
2030,sc01,01-01 13:00:00+01:00,N_120,N_123,eac1,0.140719261860862
2030,sc01,01-01 13:00:00+01:00,N_115,N_121,eac1,0.846688636092813
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_108,N_109,eac1,0.16969013432782376
2030,sc01,01-01 13:00:00+01:00,N_103,N_124,eac1,0.14752387472611317
2030,sc01,01-01 13:00:00+01:00,N_119,N_120,eac1,0.23318402029134513
2030,sc01,01-01 13:00:00+01:00,N_116,N_119,eac1,0.31326392029154515
2030,sc01,01-01 13:00:00+01:00,N_104,N_109,eac1,0.2443132907628937
2030,sc01,01-01 13:00:00+01:00,N_109,N_112,eac1,0.027659605026286373
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,cac2,0.1385908905573795
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_106,N_110,eac1,0.12302363627286779
2030,sc01,01-01 13:00:00+01:00,N_110,N_112,eac1,0.03688114840500303
2030,sc01,01-01 13:00:00+01:00,N_101,N_102,eac1,0.5487969294418116
2030,sc01,01-01 13:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,eac1,0.13859075196676598
2030,sc01,01-01 13:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_106,N_108,cac1,0.30626202475321557
2030,sc01,01-01 13:00:00+01:00,N_107,N_108,eac1,0.3489567831040965
2030,sc01,01-01 13:00:00+01:00,N_111,N_113,eac1,0.0693502072067383
2030,sc01,01-01 13:00:00+01:00,N_102,N_104,eac1,0.22755729999712665
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_116,N_117,eac1,0.20888084409236057
2030,sc01,01-01 13:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_124,eac1,0.33719634410271937
2030,sc01,01-01 13:00:00+01:00,N_102,N_106,eac1,0.33009453655950155
2030,sc01,01-01 13:00:00+01:00,N_110,N_111,eac1,0.07770667427761525
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,eac1,0.12087487826400557
2030,sc01,01-01 13:00:00+01:00,N_121,N_122,eac1,0.900716514645538
2030,sc01,01-01 13:00:00+01:00,N_111,N_114,eac1,0.1863037098245545
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,eac1,0.0684851308988986
2030,sc01,01-01 13:00:00+01:00,N_103,N_109,eac1,0.1796169519939682
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,eac1,0.2303112141964552
2030,sc01,01-01 13:00:00+01:00,N_113,N_123,eac1,0.17569018250165494
2030,sc01,01-01 13:00:00+01:00,N_108,N_110,eac1,0.15897891165569922
2030,sc01,01-01 13:00:00+01:00,N_112,N_123,eac1,0.14412550765290286
2030,sc01,01-01 13:00:00+01:00,N_101,N_105,eac1,0.43908493590995
2030,sc01,01-01 13:00:00+01:00,N_116,N_117,cac3,0.20888115741347005
2030,sc01,01-03 08:00:00+01:00,N_101,N_103,eac1,0.01457886837937372
2030,sc01,01-03 08:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,N_114,N_116,eac1,0.5080733688227641
2030,sc01,01-03 08:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,N_112,N_113,eac1,0.01692960962036124
2030,sc01,01-03 08:00:00+01:00,N_105,N_110,eac1,0.014268692010745163
2030,sc01,01-03 08:00:00+01:00,N_118,N_121,cac3,0.16332070831039033
2030,sc01,01-03 08:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,N_117,N_122,eac1,0.38390405193817545
2030,sc01,01-03 08:00:00+01:00,N_120,N_123,eac1,0.20556201333991
2030,sc01,01-03 08:00:00+01:00,N_115,N_121,eac1,0.9999942857469386
2030,sc01,01-03 08:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,N_108,N_109,eac1,0.10796770324939371
2030,sc01,01-03 08:00:00+01:00,N_103,N_124,eac1,0.4374989062527344
2030,sc01,01-03 08:00:00+01:00,N_119,N_120,eac1,0.38925961868469916
2030,sc01,01-03 08:00:00+01:00,N_116,N_119,eac1,0.6677160539398287
2030,sc01,01-03 08:00:00+01:00,N_104,N_109,eac1,0.07422145044234195
2030,sc01,01-03 08:00:00+01:00,N_109,N_112,eac1,0.07675101620179524
2030,sc01,01-03 08:00:00+01:00,N_117,N_118,cac2,0.3354594741904318
2030,sc01,01-03 08:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,N_106,N_110,eac1,9.358882705592482e-05
2030,sc01,01-03 08:00:00+01:00,N_110,N_112,eac1,0.08135418976992327
2030,sc01,01-03 08:00:00+01:00,N_101,N_102,eac1,0.1719201715722402
2030,sc01,01-03 08:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,N_117,N_118,eac1,0.33545913873162847
2030,sc01,01-03 08:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,N_106,N_108,cac1,0.3046019546603034
2030,sc01,01-03 08:00:00+01:00,N_107,N_108,eac1,0.9999942857469386
2030,sc01,01-03 08:00:00+01:00,N_111,N_113,eac1,0.1877555988233748
2030,sc01,01-03 08:00:00+01:00,N_102,N_104,eac1,0.19848667865406316
2030,sc01,01-03 08:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,N_116,N_117,eac1,0.27805629362661183
2030,sc01,01-03 08:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,N_115,N_124,eac1,0.9999942857469386
2030,sc01,01-03 08:00:00+01:00,N_102,N_106,eac1,0.09546140616805539
2030,sc01,01-03 08:00:00+01:00,N_110,N_111,eac1,0.20250009293462928
2030,sc01,01-03 08:00:00+01:00,N_118,N_121,eac1,0.16332046332981784
2030,sc01,01-03 08:00:00+01:00,N_121,N_122,eac1,0.46260302464767156
2030,sc01,01-03 08:00:00+01:00,N_111,N_114,eac1,0.5080733688227641
2030,sc01,01-03 08:00:00+01:00,N_109,N_111,eac1,0.19789691936650128
2030,sc01,01-03 08:00:00+01:00,N_103,N_109,eac1,0.1408582450229359
2030,sc01,01-03 08:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,N_115,N_116,eac1,0.05131191313073031
2030,sc01,01-03 08:00:00+01:00,N_113,N_123,eac1,0.3851704891928834
2030,sc01,01-03 08:00:00+01:00,N_108,N_110,eac1,0.1133144890380346
2030,sc01,01-03 08:00:00+01:00,N_112,N_123,eac1,0.3259397104271525
2030,sc01,01-03 08:00:00+01:00,N_101,N_105,eac1,0.2601641183160529
2030,sc01,01-03 08:00:00+01:00,N_116,N_117,cac3,0.2780567107108437
2030,sc01,01-03 21:00:00+01:00,N_101,N_103,eac1,0.26934390248360685
2030,sc01,01-03 21:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,N_114,N_116,eac1,0.2450266279434676
2030,sc01,01-03 21:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,N_112,N_113,eac1,0.2386259074475306
2030,sc01,01-03 21:00:00+01:00,N_105,N_110,eac1,0.029269434492144315
2030,sc01,01-03 21:00:00+01:00,N_118,N_121,cac3,0.017358569847597347
2030,sc01,01-03 21:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,N_117,N_122,eac1,0.21990392073822618
2030,sc01,01-03 21:00:00+01:00,N_120,N_123,eac1,0.09910032604493525
2030,sc01,01-03 21:00:00+01:00,N_115,N_121,eac1,0.6214614227790763
2030,sc01,01-03 21:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,N_108,N_109,eac1,0.587563519997709
2030,sc01,01-03 21:00:00+01:00,N_103,N_124,eac1,0.07296845102098419
2030,sc01,01-03 21:00:00+01:00,N_119,N_120,eac1,0.2619744655766562
2030,sc01,01-03 21:00:00+01:00,N_116,N_119,eac1,0.009511564651283102
2030,sc01,01-03 21:00:00+01:00,N_104,N_109,eac1,0.21071247185912673
2030,sc01,01-03 21:00:00+01:00,N_109,N_112,eac1,0.12510706771295008
2030,sc01,01-03 21:00:00+01:00,N_117,N_118,cac2,0.14405680235466814
2030,sc01,01-03 21:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,N_106,N_110,eac1,0.520670470665473
2030,sc01,01-03 21:00:00+01:00,N_110,N_112,eac1,0.3092398959648507
2030,sc01,01-03 21:00:00+01:00,N_101,N_102,eac1,0.5575836996075793
2030,sc01,01-03 21:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,N_117,N_118,eac1,0.1440566582981539
2030,sc01,01-03 21:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,N_106,N_108,cac1,0.4917731540053108
2030,sc01,01-03 21:00:00+01:00,N_107,N_108,eac1,0.5564586288078353
2030,sc01,01-03 21:00:00+01:00,N_111,N_113,eac1,0.17483436674068611
2030,sc01,01-03 21:00:00+01:00,N_102,N_104,eac1,0.14255208640054035
2030,sc01,01-03 21:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,N_116,N_117,eac1,0.13041477912653757
2030,sc01,01-03 21:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,N_115,N_124,eac1,0.16678449481342789
2030,sc01,01-03 21:00:00+01:00,N_102,N_106,eac1,0.36771562229447224
2030,sc01,01-03 21:00:00+01:00,N_110,N_111,eac1,0.3544794045973138
2030,sc01,01-03 21:00:00+01:00,N_118,N_121,eac1,0.017358543809794652
2030,sc01,01-03 21:00:00+01:00,N_121,N_122,eac1,0.3043050249198838
2030,sc01,01-03 21:00:00+01:00,N_111,N_114,eac1,0.2450266279434676
2030,sc01,01-03 21:00:00+01:00,N_109,N_111,eac1,0.17034657634541317
2030,sc01,01-03 21:00:00+01:00,N_103,N_109,eac1,0.44474414088096975
2030,sc01,01-03 21:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,N_115,N_116,eac1,0.27493399099018495
2030,sc01,01-03 21:00:00+01:00,N_113,N_123,eac1,0.02216246901431097
2030,sc01,01-03 21:00:00+01:00,N_108,N_110,eac1,0.37368525215740256
2030,sc01,01-03 21:00:00+01:00,N_112,N_123,eac1,0.24738990944773492
2030,sc01,01-03 21:00:00+01:00,N_101,N_105,eac1,0.340425225030484
2030,sc01,01-03 21:00:00+01:00,N_116,N_117,cac3,0.13041497474860844
2030,sc01,01-05 10:00:00+01:00,N_101,N_103,eac1,0.10060963055905939
2030,sc01,01-05 10:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-05 10:00:00+01:00,N_114,N_116,eac1,0.6655149706001112
2030,sc01,01-05 10:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-05 10:00:00+01:00,N_112,N_113,eac1,0.014387519040872923
2030,sc01,01-05 10:00:00+01:00,N_105,N_110,eac1,0.026632617892495485
2030,sc01,01-05 10:00:00+01:00,N_118,N_121,cac3,0.1623202048427511
2030,sc01,01-05 10:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-05 10:00:00+01:00,N_117,N_122,eac1,0.38380295197982844
2030,sc01,01-05 10:00:00+01:00,N_120,N_123,eac1,0.2729570473544046
2030,sc01,01-05 10:00:00+01:00,N_115,N_121,eac1,0.9999942857469386
2030,sc01,01-05 10:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-05 10:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-05 10:00:00+01:00,N_108,N_109,eac1,0.08873822702887747
2030,sc01,01-05 10:00:00+01:00,N_103,N_124,eac1,0.38231375913241233
2030,sc01,01-05 10:00:00+01:00,N_119,N_120,eac1,0.42663053584742744
2030,sc01,01-05 10:00:00+01:00,N_116,N_119,eac1,0.6564295903693186
2030,sc01,01-05 10:00:00+01:00,N_104,N_109,eac1,0.029121153696303113
2030,sc01,01-05 10:00:00+01:00,N_109,N_112,eac1,0.052982093919488917
2030,sc01,01-05 10:00:00+01:00,N_117,N_118,cac2,0.36007320311682295
2030,sc01,01-05 10:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-05 10:00:00+01:00,N_106,N_110,eac1,0.021494240535075294
2030,sc01,01-05 10:00:00+01:00,N_110,N_112,eac1,0.08554585397551366
2030,sc01,01-05 10:00:00+01:00,N_101,N_102,eac1,0.1767684905301716
2030,sc01,01-05 10:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-05 10:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-05 10:00:00+01:00,N_117,N_118,eac1,0.36007284304433995
2030,sc01,01-05 10:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-05 10:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-05 10:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-05 10:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-05 10:00:00+01:00,N_106,N_108,cac1,0.31913775966195274
2030,sc01,01-05 10:00:00+01:00,N_107,N_108,eac1,0.9999942857469386
2030,sc01,01-05 10:00:00+01:00,N_111,N_113,eac1,0.15271219175101508
2030,sc01,01-05 10:00:00+01:00,N_102,N_104,eac1,0.10493818602175563
2030,sc01,01-05 10:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-05 10:00:00+01:00,N_116,N_117,eac1,0.2928042962225699
2030,sc01,01-05 10:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-05 10:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-05 10:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-05 10:00:00+01:00,N_115,N_124,eac1,0.8738572120543545
2030,sc01,01-05 10:00:00+01:00,N_102,N_106,eac1,0.07927177964284388
2030,sc01,01-05 10:00:00+01:00,N_110,N_111,eac1,0.1836425632854629
2030,sc01,01-05 10:00:00+01:00,N_118,N_121,eac1,0.16231996136293092
2030,sc01,01-05 10:00:00+01:00,N_121,N_122,eac1,0.45760051481323805
2030,sc01,01-05 10:00:00+01:00,N_111,N_114,eac1,0.42048941885121477
2030,sc01,01-05 10:00:00+01:00,N_109,N_111,eac1,0.1510788032294382
2030,sc01,01-05 10:00:00+01:00,N_103,N_109,eac1,0.2855600043957354
2030,sc01,01-05 10:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-05 10:00:00+01:00,N_115,N_116,eac1,0.010242687211886231
2030,sc01,01-05 10:00:00+01:00,N_113,N_123,eac1,0.33578804205592344
2030,sc01,01-05 10:00:00+01:00,N_108,N_110,eac1,0.12656244697526314
2030,sc01,01-05 10:00:00+01:00,N_112,N_123,eac1,0.28456730466636293
2030,sc01,01-05 10:00:00+01:00,N_101,N_105,eac1,0.252418052332246
2030,sc01,01-05 10:00:00+01:00,N_116,N_117,cac3,0.29280473542879465
2030,sc01,01-05 20:00:00+01:00,N_101,N_103,eac1,0.2662795570902892
2030,sc01,01-05 20:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-05 20:00:00+01:00,N_114,N_116,eac1,0.46222097580393917
