Period,Scenario,LoadLevel,mEUR
2030,sc01,01-04 09:00:00+01:00,1002924.8898851168
2030,sc01,01-24 15:00:00+01:00,5011271.954519899
2030,sc01,01-29 01:00:00+01:00,80815.22763530184
2030,sc01,01-30 03:00:00+01:00,32347.727224213577
2030,sc01,02-02 14:00:00+01:00,148060.0549963737
2030,sc01,02-15 14:00:00+01:00,32307.356299143743
2030,sc01,02-23 20:00:00+01:00,41334.77527105602
2030,sc01,03-02 18:00:00+01:00,553828.4000332581
2030,sc01,03-06 17:00:00+01:00,526674.756888472
2030,sc01,03-07 14:00:00+01:00,17124.244990242936
2030,sc01,03-27 23:00:00+01:00,15508.5509593002
2030,sc01,04-01 04:00:00+02:00,7524.784369057116
2030,sc01,04-02 00:00:00+02:00,31295.575474756435
2030,sc01,04-05 17:00:00+02:00,223790.68172870108
2030,sc01,04-23 04:00:00+02:00,1944.6100180542476
2030,sc01,04-24 09:00:00+02:00,91493.82376273474
2030,sc01,05-08 17:00:00+02:00,299349.3265420182
2030,sc01,05-11 17:00:00+02:00,13281.28349461119
2030,sc01,05-16 05:00:00+02:00,300538.35508831573
2030,sc01,05-17 01:00:00+02:00,36957.63780280635
2030,sc01,05-18 13:00:00+02:00,16922.897419618726
2030,sc01,05-22 04:00:00+02:00,51303.984352574545
2030,sc01,05-27 08:00:00+02:00,56878.31051614521
2030,sc01,06-07 08:00:00+02:00,126930.97341209826
2030,sc01,06-15 04:00:00+02:00,38515.27417297857
2030,sc01,06-24 13:00:00+02:00,52682.02893800368
2030,sc01,07-16 07:00:00+02:00,231796.11610698534
2030,sc01,07-22 12:00:00+02:00,49781.735375492586
2030,sc01,07-27 19:00:00+02:00,194834.5776550942
2030,sc01,07-28 14:00:00+02:00,35356.05535879256
2030,sc01,07-29 08:00:00+02:00,140539.95090302685
2030,sc01,08-13 00:00:00+02:00,20847.561907564854
2030,sc01,08-30 02:00:00+02:00,24403.564147922192
2030,sc01,09-10 03:00:00+02:00,27345.80047216343
2030,sc01,09-17 13:00:00+02:00,21089.614925392863
2030,sc01,09-17 15:00:00+02:00,28488.201751547287
2030,sc01,10-10 06:00:00+02:00,46940.416577871125
2030,sc01,10-11 20:00:00+02:00,37531.61962604761
2030,sc01,10-16 23:00:00+02:00,32212.843385387027
2030,sc01,10-21 09:00:00+02:00,574684.134643262
2030,sc01,10-29 02:00:00+01:00,32003.05467923301
2030,sc01,10-30 15:00:00+01:00,1121694.9612466923
2030,sc01,10-30 22:00:00+01:00,57176.578077137354
2030,sc01,11-04 08:00:00+01:00,938643.7177782063
2030,sc01,11-08 05:00:00+01:00,28772.310847818153
2030,sc01,11-25 15:00:00+01:00,950641.2932349615
2030,sc01,12-03 09:00:00+01:00,261403.49507334168
2030,sc01,12-06 15:00:00+01:00,172990.79317387825
2030,sc01,12-14 05:00:00+01:00,8023.629307186356
2030,sc01,12-14 20:00:00+01:00,18766.474519542535
