Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-04 10:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-04 10:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-04 10:00:00+01:00,102_STEAM_4,0.5358593315586602
2030,sc01,01-04 10:00:00+01:00,101_CT_2,1.0
2030,sc01,01-04 10:00:00+01:00,123_CT_1,1.0
2030,sc01,01-04 10:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-04 10:00:00+01:00,118_CC_1,0.9532858172179096
2030,sc01,01-04 10:00:00+01:00,101_CT_1,1.0
2030,sc01,01-04 10:00:00+01:00,102_CT_1,1.0
2030,sc01,01-04 10:00:00+01:00,115_STEAM_1,1.0
2030,sc01,01-04 10:00:00+01:00,123_CT_5,1.0
2030,sc01,01-04 10:00:00+01:00,113_CT_2,1.0
2030,sc01,01-04 10:00:00+01:00,113_CT_4,1.0
2030,sc01,01-04 10:00:00+01:00,115_STEAM_2,1.0
2030,sc01,01-04 10:00:00+01:00,113_CT_1,1.0
2030,sc01,01-04 10:00:00+01:00,123_STEAM_3,1.0
2030,sc01,01-04 10:00:00+01:00,123_CT_4,1.0
2030,sc01,01-04 10:00:00+01:00,102_CT_2,1.0
2030,sc01,01-04 10:00:00+01:00,107_CC_1,0.0
2030,sc01,01-04 10:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-04 10:00:00+01:00,102_STEAM_3,1.0
2030,sc01,01-04 10:00:00+01:00,113_CT_3,1.0
2030,sc01,01-04 10:00:00+01:00,123_STEAM_2,1.0
2030,sc01,01-04 10:00:00+01:00,116_STEAM_1,1.0
2030,sc01,01-05 22:00:00+01:00,121_NUCLEAR_1,0.795325545369316
2030,sc01,01-05 22:00:00+01:00,115_STEAM_3,1.0
2030,sc01,01-05 22:00:00+01:00,102_STEAM_4,0.46414066844133983
2030,sc01,01-05 22:00:00+01:00,101_CT_2,0.0
2030,sc01,01-05 22:00:00+01:00,123_CT_1,0.0
2030,sc01,01-05 22:00:00+01:00,101_STEAM_3,1.0
2030,sc01,01-05 22:00:00+01:00,118_CC_1,0.04671418278209039
2030,sc01,01-05 22:00:00+01:00,101_CT_1,0.0
2030,sc01,01-05 22:00:00+01:00,102_CT_1,0.0
2030,sc01,01-05 22:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-05 22:00:00+01:00,123_CT_5,0.0
2030,sc01,01-05 22:00:00+01:00,113_CT_2,0.0
2030,sc01,01-05 22:00:00+01:00,113_CT_4,0.0
2030,sc01,01-05 22:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-05 22:00:00+01:00,113_CT_1,0.0
2030,sc01,01-05 22:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-05 22:00:00+01:00,123_CT_4,0.0
2030,sc01,01-05 22:00:00+01:00,102_CT_2,0.0
2030,sc01,01-05 22:00:00+01:00,107_CC_1,1.0
2030,sc01,01-05 22:00:00+01:00,101_STEAM_4,1.0
2030,sc01,01-05 22:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-05 22:00:00+01:00,113_CT_3,0.0
2030,sc01,01-05 22:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-05 22:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-12 10:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-12 10:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-12 10:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-12 10:00:00+01:00,101_CT_2,0.0
2030,sc01,01-12 10:00:00+01:00,123_CT_1,0.0
2030,sc01,01-12 10:00:00+01:00,101_STEAM_3,0.3338653662941188
2030,sc01,01-12 10:00:00+01:00,118_CC_1,0.0
2030,sc01,01-12 10:00:00+01:00,101_CT_1,0.0
2030,sc01,01-12 10:00:00+01:00,102_CT_1,0.0
2030,sc01,01-12 10:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-12 10:00:00+01:00,123_CT_5,0.0
2030,sc01,01-12 10:00:00+01:00,113_CT_2,0.0
2030,sc01,01-12 10:00:00+01:00,113_CT_4,0.0
2030,sc01,01-12 10:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-12 10:00:00+01:00,113_CT_1,0.0
2030,sc01,01-12 10:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-12 10:00:00+01:00,123_CT_4,0.0
2030,sc01,01-12 10:00:00+01:00,102_CT_2,0.0
2030,sc01,01-12 10:00:00+01:00,107_CC_1,0.0
2030,sc01,01-12 10:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-12 10:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-12 10:00:00+01:00,113_CT_3,0.0
2030,sc01,01-12 10:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-12 10:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-13 01:00:00+01:00,121_NUCLEAR_1,0.8324893496583389
2030,sc01,01-13 01:00:00+01:00,115_STEAM_3,1.0
2030,sc01,01-13 01:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-13 01:00:00+01:00,101_CT_2,0.0
2030,sc01,01-13 01:00:00+01:00,123_CT_1,0.0
2030,sc01,01-13 01:00:00+01:00,101_STEAM_3,0.6661346337058812
2030,sc01,01-13 01:00:00+01:00,118_CC_1,0.0
2030,sc01,01-13 01:00:00+01:00,101_CT_1,0.0
2030,sc01,01-13 01:00:00+01:00,102_CT_1,0.0
2030,sc01,01-13 01:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-13 01:00:00+01:00,123_CT_5,0.0
2030,sc01,01-13 01:00:00+01:00,113_CT_2,0.0
2030,sc01,01-13 01:00:00+01:00,113_CT_4,0.0
2030,sc01,01-13 01:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-13 01:00:00+01:00,113_CT_1,0.0
2030,sc01,01-13 01:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-13 01:00:00+01:00,123_CT_4,0.0
2030,sc01,01-13 01:00:00+01:00,102_CT_2,0.0
2030,sc01,01-13 01:00:00+01:00,107_CC_1,1.0
2030,sc01,01-13 01:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-13 01:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-13 01:00:00+01:00,113_CT_3,0.0
2030,sc01,01-13 01:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-13 01:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-21 07:00:00+01:00,121_NUCLEAR_1,0.9571581548623699
2030,sc01,01-21 07:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-21 07:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-21 07:00:00+01:00,101_CT_2,0.0
2030,sc01,01-21 07:00:00+01:00,123_CT_1,0.0
2030,sc01,01-21 07:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-21 07:00:00+01:00,118_CC_1,0.0
2030,sc01,01-21 07:00:00+01:00,101_CT_1,0.0
2030,sc01,01-21 07:00:00+01:00,102_CT_1,0.0
2030,sc01,01-21 07:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-21 07:00:00+01:00,123_CT_5,0.0
2030,sc01,01-21 07:00:00+01:00,113_CT_2,0.0
2030,sc01,01-21 07:00:00+01:00,113_CT_4,0.0
2030,sc01,01-21 07:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-21 07:00:00+01:00,113_CT_1,0.0
2030,sc01,01-21 07:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-21 07:00:00+01:00,123_CT_4,0.0
2030,sc01,01-21 07:00:00+01:00,102_CT_2,0.0
2030,sc01,01-21 07:00:00+01:00,107_CC_1,0.6266160745410857
2030,sc01,01-21 07:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-21 07:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-21 07:00:00+01:00,113_CT_3,0.0
2030,sc01,01-21 07:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-21 07:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-25 15:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-25 15:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-25 15:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-25 15:00:00+01:00,101_CT_2,0.0
2030,sc01,01-25 15:00:00+01:00,123_CT_1,0.0
2030,sc01,01-25 15:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-25 15:00:00+01:00,118_CC_1,0.0
2030,sc01,01-25 15:00:00+01:00,101_CT_1,0.0
2030,sc01,01-25 15:00:00+01:00,102_CT_1,0.0
2030,sc01,01-25 15:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-25 15:00:00+01:00,123_CT_5,0.0
2030,sc01,01-25 15:00:00+01:00,113_CT_2,0.0
2030,sc01,01-25 15:00:00+01:00,113_CT_4,0.0
2030,sc01,01-25 15:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-25 15:00:00+01:00,113_CT_1,0.0
2030,sc01,01-25 15:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-25 15:00:00+01:00,123_CT_4,0.0
2030,sc01,01-25 15:00:00+01:00,102_CT_2,0.0
2030,sc01,01-25 15:00:00+01:00,107_CC_1,0.3733839254589143
2030,sc01,01-25 15:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-25 15:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-25 15:00:00+01:00,113_CT_3,0.0
2030,sc01,01-25 15:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-25 15:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-28 04:00:00+01:00,121_NUCLEAR_1,1.0
2030,sc01,01-28 04:00:00+01:00,115_STEAM_3,1.0
2030,sc01,01-28 04:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-28 04:00:00+01:00,101_CT_2,0.0
2030,sc01,01-28 04:00:00+01:00,123_CT_1,0.0
2030,sc01,01-28 04:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-28 04:00:00+01:00,118_CC_1,1.0
2030,sc01,01-28 04:00:00+01:00,101_CT_1,0.0
2030,sc01,01-28 04:00:00+01:00,102_CT_1,0.0
2030,sc01,01-28 04:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-28 04:00:00+01:00,123_CT_5,0.0
2030,sc01,01-28 04:00:00+01:00,113_CT_2,0.0
2030,sc01,01-28 04:00:00+01:00,113_CT_4,0.0
2030,sc01,01-28 04:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-28 04:00:00+01:00,113_CT_1,0.0
2030,sc01,01-28 04:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-28 04:00:00+01:00,123_CT_4,0.0
2030,sc01,01-28 04:00:00+01:00,102_CT_2,0.0
2030,sc01,01-28 04:00:00+01:00,107_CC_1,1.0
2030,sc01,01-28 04:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-28 04:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-28 04:00:00+01:00,113_CT_3,0.0
2030,sc01,01-28 04:00:00+01:00,123_STEAM_2,1.0
2030,sc01,01-28 04:00:00+01:00,116_STEAM_1,1.0
2030,sc01,01-28 16:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-28 16:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-28 16:00:00+01:00,102_STEAM_4,0.025179011890393288
2030,sc01,01-28 16:00:00+01:00,101_CT_2,0.0
2030,sc01,01-28 16:00:00+01:00,123_CT_1,0.0
2030,sc01,01-28 16:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-28 16:00:00+01:00,118_CC_1,0.0
2030,sc01,01-28 16:00:00+01:00,101_CT_1,0.0
2030,sc01,01-28 16:00:00+01:00,102_CT_1,0.0
2030,sc01,01-28 16:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-28 16:00:00+01:00,123_CT_5,0.0
2030,sc01,01-28 16:00:00+01:00,113_CT_2,0.0
2030,sc01,01-28 16:00:00+01:00,113_CT_4,0.0
2030,sc01,01-28 16:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-28 16:00:00+01:00,113_CT_1,0.0
2030,sc01,01-28 16:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-28 16:00:00+01:00,123_CT_4,0.0
2030,sc01,01-28 16:00:00+01:00,102_CT_2,0.0
2030,sc01,01-28 16:00:00+01:00,107_CC_1,0.0
2030,sc01,01-28 16:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-28 16:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-28 16:00:00+01:00,113_CT_3,0.0
2030,sc01,01-28 16:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-28 16:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-29 22:00:00+01:00,121_NUCLEAR_1,1.0
2030,sc01,01-29 22:00:00+01:00,115_STEAM_3,1.0
2030,sc01,01-29 22:00:00+01:00,102_STEAM_4,0.9748209881096067
2030,sc01,01-29 22:00:00+01:00,101_CT_2,0.0
2030,sc01,01-29 22:00:00+01:00,123_CT_1,0.0
2030,sc01,01-29 22:00:00+01:00,101_STEAM_3,1.0
2030,sc01,01-29 22:00:00+01:00,118_CC_1,1.0
2030,sc01,01-29 22:00:00+01:00,101_CT_1,0.0
2030,sc01,01-29 22:00:00+01:00,102_CT_1,0.0
2030,sc01,01-29 22:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-29 22:00:00+01:00,123_CT_5,0.0
2030,sc01,01-29 22:00:00+01:00,113_CT_2,0.0
2030,sc01,01-29 22:00:00+01:00,113_CT_4,0.0
2030,sc01,01-29 22:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-29 22:00:00+01:00,113_CT_1,0.0
2030,sc01,01-29 22:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-29 22:00:00+01:00,123_CT_4,0.0
2030,sc01,01-29 22:00:00+01:00,102_CT_2,0.0
2030,sc01,01-29 22:00:00+01:00,107_CC_1,1.0
2030,sc01,01-29 22:00:00+01:00,101_STEAM_4,1.0
2030,sc01,01-29 22:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-29 22:00:00+01:00,113_CT_3,0.0
2030,sc01,01-29 22:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-29 22:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-30 19:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-30 19:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-30 19:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-30 19:00:00+01:00,101_CT_2,0.0
2030,sc01,01-30 19:00:00+01:00,123_CT_1,0.0
2030,sc01,01-30 19:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-30 19:00:00+01:00,118_CC_1,0.0
2030,sc01,01-30 19:00:00+01:00,101_CT_1,0.0
2030,sc01,01-30 19:00:00+01:00,102_CT_1,0.0
2030,sc01,01-30 19:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-30 19:00:00+01:00,123_CT_5,0.0
2030,sc01,01-30 19:00:00+01:00,113_CT_2,0.0
2030,sc01,01-30 19:00:00+01:00,113_CT_4,0.0
2030,sc01,01-30 19:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-30 19:00:00+01:00,113_CT_1,0.0
2030,sc01,01-30 19:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-30 19:00:00+01:00,123_CT_4,0.0
2030,sc01,01-30 19:00:00+01:00,102_CT_2,0.0
2030,sc01,01-30 19:00:00+01:00,107_CC_1,0.0
2030,sc01,01-30 19:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-30 19:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-30 19:00:00+01:00,113_CT_3,0.0
2030,sc01,01-30 19:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-30 19:00:00+01:00,116_STEAM_1,0.0
2030,sc01,02-02 23:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,02-02 23:00:00+01:00,115_STEAM_3,0.0
2030,sc01,02-02 23:00:00+01:00,102_STEAM_4,0.0
2030,sc01,02-02 23:00:00+01:00,101_CT_2,0.0
2030,sc01,02-02 23:00:00+01:00,123_CT_1,0.0
2030,sc01,02-02 23:00:00+01:00,101_STEAM_3,0.0
2030,sc01,02-02 23:00:00+01:00,118_CC_1,0.0
2030,sc01,02-02 23:00:00+01:00,101_CT_1,0.0
2030,sc01,02-02 23:00:00+01:00,102_CT_1,0.0
2030,sc01,02-02 23:00:00+01:00,115_STEAM_1,0.0
2030,sc01,02-02 23:00:00+01:00,123_CT_5,0.0
2030,sc01,02-02 23:00:00+01:00,113_CT_2,0.0
2030,sc01,02-02 23:00:00+01:00,113_CT_4,0.0
2030,sc01,02-02 23:00:00+01:00,115_STEAM_2,0.0
2030,sc01,02-02 23:00:00+01:00,113_CT_1,0.0
2030,sc01,02-02 23:00:00+01:00,123_STEAM_3,0.0
2030,sc01,02-02 23:00:00+01:00,123_CT_4,0.0
2030,sc01,02-02 23:00:00+01:00,102_CT_2,0.0
2030,sc01,02-02 23:00:00+01:00,107_CC_1,0.0
2030,sc01,02-02 23:00:00+01:00,101_STEAM_4,0.0
2030,sc01,02-02 23:00:00+01:00,102_STEAM_3,0.0
2030,sc01,02-02 23:00:00+01:00,113_CT_3,0.0
2030,sc01,02-02 23:00:00+01:00,123_STEAM_2,0.0
2030,sc01,02-02 23:00:00+01:00,116_STEAM_1,0.0
2030,sc01,02-06 12:00:00+01:00,121_NUCLEAR_1,0.22294842093523426
2030,sc01,02-06 12:00:00+01:00,115_STEAM_3,0.1933806511135665
