Period,Scenario,LoadLevel,MEUR
2030,sc01,01-16 00:00:00+01:00,0.5273311792468376
2030,sc01,01-16 01:00:00+01:00,0.5269041379308564
2030,sc01,01-16 02:00:00+01:00,0.53109650427339
2030,sc01,01-16 03:00:00+01:00,0.5549907576530245
2030,sc01,01-16 04:00:00+01:00,0.5724292720565232
2030,sc01,01-16 05:00:00+01:00,0.607603564019907
2030,sc01,01-16 06:00:00+01:00,0.6549699713110824
2030,sc01,01-16 07:00:00+01:00,0.6628277525448292
2030,sc01,01-16 08:00:00+01:00,0.6604316368403542
2030,sc01,01-16 09:00:00+01:00,0.6324786532205084
2030,sc01,01-16 10:00:00+01:00,0.5903327058250565
2030,sc01,01-16 11:00:00+01:00,0.5473784264699153
2030,sc01,01-16 12:00:00+01:00,0.5107974208557033
2030,sc01,01-16 13:00:00+01:00,0.47358435573959556
2030,sc01,01-16 14:00:00+01:00,0.4491254727325758
2030,sc01,01-16 15:00:00+01:00,0.46763226911314787
2030,sc01,01-16 16:00:00+01:00,0.5292827769920906
2030,sc01,01-16 17:00:00+01:00,0.609218247454835
2030,sc01,01-16 18:00:00+01:00,0.6632949621541235
2030,sc01,01-16 19:00:00+01:00,0.6705556378507301
2030,sc01,01-16 20:00:00+01:00,0.651276841554568
2030,sc01,01-16 21:00:00+01:00,0.6284085791897651
2030,sc01,01-16 22:00:00+01:00,0.5937573587640862
2030,sc01,01-16 23:00:00+01:00,0.5679869023789991
2030,sc01,02-19 00:00:00+01:00,0.4116183381894655
2030,sc01,02-19 01:00:00+01:00,0.4070405959201915
2030,sc01,02-19 02:00:00+01:00,0.4099480834470376
2030,sc01,02-19 03:00:00+01:00,0.42194842308396674
2030,sc01,02-19 04:00:00+01:00,0.4523839970226554
2030,sc01,02-19 05:00:00+01:00,0.49951860527368136
2030,sc01,02-19 06:00:00+01:00,0.5224780472643579
2030,sc01,02-19 07:00:00+01:00,0.5089362219546761
2030,sc01,02-19 08:00:00+01:00,0.48211169913637475
2030,sc01,02-19 09:00:00+01:00,0.4317259536231494
2030,sc01,02-19 10:00:00+01:00,0.4010657936063123
2030,sc01,02-19 11:00:00+01:00,0.38046143253587084
2030,sc01,02-19 12:00:00+01:00,0.3742034036666101
2030,sc01,02-19 13:00:00+01:00,0.37183046975520573
2030,sc01,02-19 14:00:00+01:00,0.3712911367623309
2030,sc01,02-19 15:00:00+01:00,0.38138759415123263
2030,sc01,02-19 16:00:00+01:00,0.4074479407856658
2030,sc01,02-19 17:00:00+01:00,0.468394016450027
2030,sc01,02-19 18:00:00+01:00,0.5240000193178773
2030,sc01,02-19 19:00:00+01:00,0.5342306086528898
2030,sc01,02-19 20:00:00+01:00,0.5233960843525379
2030,sc01,02-19 21:00:00+01:00,0.4928684955669549
2030,sc01,02-19 22:00:00+01:00,0.45646158056671454
2030,sc01,02-19 23:00:00+01:00,0.435083506724512
2030,sc01,02-25 00:00:00+01:00,0.06658360058444028
2030,sc01,02-25 01:00:00+01:00,0.06576437540896726
2030,sc01,02-25 02:00:00+01:00,0.06530645289747958
2030,sc01,02-25 03:00:00+01:00,0.0649646793648866
2030,sc01,02-25 04:00:00+01:00,0.06659481853141108
2030,sc01,02-25 05:00:00+01:00,0.0697811520121514
2030,sc01,02-25 06:00:00+01:00,0.07267521214906675
2030,sc01,02-25 07:00:00+01:00,0.07483102896120253
2030,sc01,02-25 08:00:00+01:00,0.07566800280747105
2030,sc01,02-25 09:00:00+01:00,0.07165884811158134
2030,sc01,02-25 10:00:00+01:00,0.06568728549047001
2030,sc01,02-25 11:00:00+01:00,0.060992490840268504
2030,sc01,02-25 12:00:00+01:00,0.05835088404952013
2030,sc01,02-25 13:00:00+01:00,0.059051842183420224
2030,sc01,02-25 14:00:00+01:00,0.05898262859554368
2030,sc01,02-25 15:00:00+01:00,0.05994759486358702
2030,sc01,02-25 16:00:00+01:00,0.06149069378032156
2030,sc01,02-25 17:00:00+01:00,0.06826670271049161
2030,sc01,02-25 18:00:00+01:00,0.07524937686373182
2030,sc01,02-25 19:00:00+01:00,0.07850062936842012
2030,sc01,02-25 20:00:00+01:00,0.07724269552394257
2030,sc01,02-25 21:00:00+01:00,0.07392286943974642
2030,sc01,02-25 22:00:00+01:00,0.06992340073865085
2030,sc01,02-25 23:00:00+01:00,0.06788270871786166
2030,sc01,03-11 00:00:00+01:00,0.038868108537823264
2030,sc01,03-11 01:00:00+01:00,0.03801499926024972
2030,sc01,03-11 02:00:00+01:00,0.03740063438392369
2030,sc01,03-11 03:00:00+01:00,0.0375440262272139
2030,sc01,03-11 04:00:00+01:00,0.0393249026166613
2030,sc01,03-11 05:00:00+01:00,0.04221760714808917
2030,sc01,03-11 06:00:00+01:00,0.043680876202560046
2030,sc01,03-11 07:00:00+01:00,0.04303718168396757
2030,sc01,03-11 08:00:00+01:00,0.04025010241784599
2030,sc01,03-11 09:00:00+01:00,0.03714379326062005
2030,sc01,03-11 10:00:00+01:00,0.03536383706824313
2030,sc01,03-11 11:00:00+01:00,0.0341488576517295
2030,sc01,03-11 12:00:00+01:00,0.03330333387170957
2030,sc01,03-11 13:00:00+01:00,0.03276344324456207
2030,sc01,03-11 14:00:00+01:00,0.0323955257925628
2030,sc01,03-11 15:00:00+01:00,0.03254813523684999
2030,sc01,03-11 16:00:00+01:00,0.033667757554022223
2030,sc01,03-11 17:00:00+01:00,0.036569313222092295
2030,sc01,03-11 18:00:00+01:00,0.04192966859773905
2030,sc01,03-11 19:00:00+01:00,0.04439915511916537
2030,sc01,03-11 20:00:00+01:00,0.043865425444558036
2030,sc01,03-11 21:00:00+01:00,0.04204444712568926
2030,sc01,03-11 22:00:00+01:00,0.03980839152383083
2030,sc01,03-11 23:00:00+01:00,0.03848753426785774
2030,sc01,04-04 00:00:00+02:00,0.24506718125214352
2030,sc01,04-04 01:00:00+02:00,0.24359414152096126
2030,sc01,04-04 02:00:00+02:00,0.24182476516240906
2030,sc01,04-04 03:00:00+02:00,0.23962530176313052
2030,sc01,04-04 04:00:00+02:00,0.24224132869305823
2030,sc01,04-04 05:00:00+02:00,0.25543399148876494
2030,sc01,04-04 06:00:00+02:00,0.26485449071779665
2030,sc01,04-04 07:00:00+02:00,0.26548805676144105
2030,sc01,04-04 08:00:00+02:00,0.2555895377174015
2030,sc01,04-04 09:00:00+02:00,0.2402485786319335
2030,sc01,04-04 10:00:00+02:00,0.2282052665061756
2030,sc01,04-04 11:00:00+02:00,0.2217008402090204
2030,sc01,04-04 12:00:00+02:00,0.21684856496263538
2030,sc01,04-04 13:00:00+02:00,0.21547172952660434
2030,sc01,04-04 14:00:00+02:00,0.21411856858514786
2030,sc01,04-04 15:00:00+02:00,0.21559992897506947
2030,sc01,04-04 16:00:00+02:00,0.22425156852524722
2030,sc01,04-04 17:00:00+02:00,0.23804542562043948
2030,sc01,04-04 18:00:00+02:00,0.2586084491953332
2030,sc01,04-04 19:00:00+02:00,0.2726884039095044
2030,sc01,04-04 20:00:00+02:00,0.2740395206822087
2030,sc01,04-04 21:00:00+02:00,0.2616193477514032
2030,sc01,04-04 22:00:00+02:00,0.2466241013939529
2030,sc01,04-04 23:00:00+02:00,0.2374241002303368
2030,sc01,04-17 00:00:00+02:00,0.14484277712561802
2030,sc01,04-17 01:00:00+02:00,0.1430692864503093
2030,sc01,04-17 02:00:00+02:00,0.14477013820341889
2030,sc01,04-17 03:00:00+02:00,0.14802729020511698
2030,sc01,04-17 04:00:00+02:00,0.1534414986839239
2030,sc01,04-17 05:00:00+02:00,0.16182184605959807
2030,sc01,04-17 06:00:00+02:00,0.17186994196456085
2030,sc01,04-17 07:00:00+02:00,0.17611474181925488
2030,sc01,04-17 08:00:00+02:00,0.17318646270610527
2030,sc01,04-17 09:00:00+02:00,0.16687318204792378
2030,sc01,04-17 10:00:00+02:00,0.16405325094808249
2030,sc01,04-17 11:00:00+02:00,0.164769860184691
2030,sc01,04-17 12:00:00+02:00,0.1644375048735439
2030,sc01,04-17 13:00:00+02:00,0.1655304225300434
