Period,Scenario,LoadLevel,Area,Node,Technology,GWh
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,Wind,53.49484808125
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,Wind,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,ENS,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,EnergyDemand,-19.43382947285
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,PowerFlowOut,-34.06101860839999
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_1,PowerFlowIn,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,CCGT,72.04783122593625
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,CCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,ENS,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,EnergyDemand,-50.05505887068
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,PowerFlowOut,-33.52508857064523
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_2,PowerFlowIn,11.532316215388981
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,Solar,20.6235026875
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,Solar,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,ENS,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,EnergyDemand,-76.67729365115
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,PowerFlowOut,0.0
2030,sc01,01-21 14:00:00+01:00,Area_1,Node_3,PowerFlowIn,56.05379096365624
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,Wind,0.55720335
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,Wind,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,ENS,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,EnergyDemand,-0.51154060551
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,PowerFlowOut,-0.04566274448999985
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_1,PowerFlowIn,0.0
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_2,CCGT,4.773525231089987
2030,sc01,02-11 06:00:00+01:00,Area_1,Node_2,OCGT,0.0
