,Weight
st1,1.0
st10,2.0
st11,1.0
st12,2.0
st13,1.0
st14,2.0
st15,3.0
st16,4.0
st17,1.0
st18,3.0
st19,5.0
st2,5.0
st20,10.0
st21,10.0
st22,9.0
st23,1.0
st24,4.0
st25,5.0
st26,4.0
st27,2.0
st28,7.0
st29,38.0
st3,1.0
st30,2.0
st31,2.0
st32,1.0
st33,2.0
st34,1.0
st35,7.0
st36,5.0
st37,4.0
st38,1.0
st39,4.0
st4,2.0
st40,1.0
st41,5.0
st42,5.0
st43,1.0
st44,10.0
st45,7.0
st46,1.0
st47,25.0
st48,3.0
st49,15.0
st5,2.0
st50,2.0
st51,36.0
st52,1.0
st53,2.0
st54,1.0
st55,6.0
st56,4.0
st57,13.0
st58,9.0
st59,14.0
st6,2.0
st60,2.0
st7,41.0
st8,1.0
st9,3.0
