Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,eac1,-0.999986666844442
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,cac2,-0.4999933334221136
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,eac1,-0.42427754642969734
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,eac1,0.14934376129362897
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,eac1,-0.999986666844442
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,cac2,-0.4999933334221136
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,eac1,-0.4106986770697094
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,eac1,0.18623204906504456
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,eac1,-0.999986666844442
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,cac2,-0.4999933334221136
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,eac1,-0.4130863031221778
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,eac1,0.19978010559984744
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 03:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-06 03:00:00+01:00,Node_2,Node_3,cac3,0.0
