Period,Scenario,LoadLevel,Unit,MW
2030,sc01,02-13 11:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,02-13 11:00:00+01:00,PV_Cadiz,0.0
2030,sc01,02-13 11:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,02-13 11:00:00+01:00,Wind_Gijon,0.0
2030,sc01,02-13 11:00:00+01:00,PV_Malaga,0.0
2030,sc01,02-13 11:00:00+01:00,PV_Sevilla,0.0
2030,sc01,02-13 21:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,02-13 21:00:00+01:00,PV_Cadiz,0.0
2030,sc01,02-13 21:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,02-13 21:00:00+01:00,Wind_Gijon,0.0
2030,sc01,02-13 21:00:00+01:00,PV_Malaga,0.0
2030,sc01,02-13 21:00:00+01:00,PV_Sevilla,0.0
2030,sc01,04-25 22:00:00+02:00,Wind_Bilbo,3.2994371769996533
2030,sc01,04-25 22:00:00+02:00,PV_Cadiz,0.0
2030,sc01,04-25 22:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,04-25 22:00:00+02:00,Wind_Gijon,0.0
2030,sc01,04-25 22:00:00+02:00,PV_Malaga,0.0
2030,sc01,04-25 22:00:00+02:00,PV_Sevilla,0.0
2030,sc01,07-03 10:00:00+02:00,Wind_Bilbo,0.0
2030,sc01,07-03 10:00:00+02:00,PV_Cadiz,0.0
2030,sc01,07-03 10:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,07-03 10:00:00+02:00,Wind_Gijon,0.0
2030,sc01,07-03 10:00:00+02:00,PV_Malaga,0.0
2030,sc01,07-03 10:00:00+02:00,PV_Sevilla,0.0
2030,sc01,07-05 05:00:00+02:00,Wind_Bilbo,0.0
2030,sc01,07-05 05:00:00+02:00,PV_Cadiz,0.0
2030,sc01,07-05 05:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,07-05 05:00:00+02:00,Wind_Gijon,0.0
2030,sc01,07-05 05:00:00+02:00,PV_Malaga,0.0
2030,sc01,07-05 05:00:00+02:00,PV_Sevilla,0.0
2030,sc01,07-30 20:00:00+02:00,Wind_Bilbo,0.0
2030,sc01,07-30 20:00:00+02:00,PV_Cadiz,0.0
2030,sc01,07-30 20:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,07-30 20:00:00+02:00,Wind_Gijon,0.0
2030,sc01,07-30 20:00:00+02:00,PV_Malaga,0.0
2030,sc01,07-30 20:00:00+02:00,PV_Sevilla,0.0
2030,sc01,08-02 22:00:00+02:00,Wind_Bilbo,0.0
2030,sc01,08-02 22:00:00+02:00,PV_Cadiz,0.0
2030,sc01,08-02 22:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,08-02 22:00:00+02:00,Wind_Gijon,0.0
2030,sc01,08-02 22:00:00+02:00,PV_Malaga,0.0
2030,sc01,08-02 22:00:00+02:00,PV_Sevilla,0.0
2030,sc01,08-03 17:00:00+02:00,Wind_Bilbo,0.0
2030,sc01,08-03 17:00:00+02:00,PV_Cadiz,0.0
2030,sc01,08-03 17:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,08-03 17:00:00+02:00,Wind_Gijon,0.0
2030,sc01,08-03 17:00:00+02:00,PV_Malaga,0.0
2030,sc01,08-03 17:00:00+02:00,PV_Sevilla,0.0
2030,sc01,09-05 20:00:00+02:00,Wind_Bilbo,0.0
2030,sc01,09-05 20:00:00+02:00,PV_Cadiz,0.0
2030,sc01,09-05 20:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,09-05 20:00:00+02:00,Wind_Gijon,0.0
2030,sc01,09-05 20:00:00+02:00,PV_Malaga,0.0
2030,sc01,09-05 20:00:00+02:00,PV_Sevilla,0.0
2030,sc01,10-23 23:00:00+02:00,Wind_Bilbo,0.0
2030,sc01,10-23 23:00:00+02:00,PV_Cadiz,0.0
2030,sc01,10-23 23:00:00+02:00,Wind_Acoruna,0.0
2030,sc01,10-23 23:00:00+02:00,Wind_Gijon,0.0
2030,sc01,10-23 23:00:00+02:00,PV_Malaga,0.0
2030,sc01,10-23 23:00:00+02:00,PV_Sevilla,0.0
