Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_8,eac1,0.19857877177534156
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_6,eac1,-0.2617206329133539
2030,sc01,01-11 22:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_7,Node_8,eac1,0.02158688772767081
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_9,eac1,-0.07123587136301235
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_3,eac1,0.0037177632555232543
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_6,eac1,-0.2893277558555232
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_7,eac1,0.1510910513276708
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_8,Node_9,eac1,0.20074003496301235
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_6,eac1,-0.19474405219811047
2030,sc01,01-11 22:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_4,eac1,0.18506015002363374
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_5,cac1,0.1554049963
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_5,eac1,0.1554049963
2030,sc01,01-11 22:00:00+01:00,Node_1,Node_6,cac1,0.29976639874249994
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-11 22:00:00+01:00,Node_1,Node_6,eac1,0.29976639874249994
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-11 22:00:00+01:00,Node_1,Node_6,cac2,0.5995327974849999
2030,sc01,01-11 22:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-11 22:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_8,eac1,0.11246262077506536
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_6,eac1,-0.2395067769626635
2030,sc01,01-14 08:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_7,Node_8,eac1,0.04602724694753274
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_9,eac1,-0.13471207946259808
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_3,eac1,-0.06250456635319768
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_6,eac1,-0.2746316873468023
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_7,eac1,0.06303401934753272
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_8,Node_9,eac1,0.13691885186259806
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_6,eac1,-0.15183550838793608
2030,sc01,01-14 08:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_4,eac1,0.2010082330747383
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_5,cac1,0.17256812685
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_5,eac1,0.17256812685
2030,sc01,01-14 08:00:00+01:00,Node_1,Node_6,cac1,0.2081290076799998
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-14 08:00:00+01:00,Node_1,Node_6,eac1,0.2081290076799998
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-14 08:00:00+01:00,Node_1,Node_6,cac2,0.4162580153599996
2030,sc01,01-14 08:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-14 08:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-14 16:00:00+01:00,Node_6,Node_8,eac1,0.14844260491110467
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-14 16:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_6,eac1,-0.24915553972776164
2030,sc01,01-14 16:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-14 16:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-14 16:00:00+01:00,Node_7,Node_8,eac1,0.04416304947555233
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-14 16:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_9,eac1,-0.10479400283665699
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-14 16:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-14 16:00:00+01:00,Node_2,Node_3,eac1,-0.02489739776511629
2030,sc01,01-14 16:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-14 16:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-14 16:00:00+01:00,Node_4,Node_9,cac3,0.0
