Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,01-19 20:00:00+01:00,Node_6,58.032910125000015
2030,sc01,01-19 20:00:00+01:00,Node_7,58.032910125000015
2030,sc01,01-19 20:00:00+01:00,Node_3,58.03291012500001
2030,sc01,01-19 20:00:00+01:00,Node_9,58.032910124999944
2030,sc01,01-19 20:00:00+01:00,Node_2,58.03291012500001
2030,sc01,01-19 20:00:00+01:00,Node_4,58.03291012499999
2030,sc01,01-19 20:00:00+01:00,Node_8,58.032910124999944
2030,sc01,01-19 20:00:00+01:00,Node_1,50.51605619241573
2030,sc01,01-19 20:00:00+01:00,Node_5,58.03291012499999
2030,sc01,01-20 22:00:00+01:00,Node_6,50.51605619241574
2030,sc01,01-20 22:00:00+01:00,Node_7,50.51605619241574
2030,sc01,01-20 22:00:00+01:00,Node_3,50.51605619241574
2030,sc01,01-20 22:00:00+01:00,Node_9,50.51605619241574
2030,sc01,01-20 22:00:00+01:00,Node_2,50.51605619241574
2030,sc01,01-20 22:00:00+01:00,Node_4,50.51605619241574
2030,sc01,01-20 22:00:00+01:00,Node_8,50.51605619241574
2030,sc01,01-20 22:00:00+01:00,Node_1,50.51605619241573
2030,sc01,01-20 22:00:00+01:00,Node_5,50.51605619241574
2030,sc01,01-21 08:00:00+01:00,Node_6,15.000000000000002
2030,sc01,01-21 08:00:00+01:00,Node_7,15.000000000000002
2030,sc01,01-21 08:00:00+01:00,Node_3,15.000000000000002
2030,sc01,01-21 08:00:00+01:00,Node_9,15.000000000000002
2030,sc01,01-21 08:00:00+01:00,Node_2,15.000000000000002
2030,sc01,01-21 08:00:00+01:00,Node_4,15.000000000000002
2030,sc01,01-21 08:00:00+01:00,Node_8,15.000000000000002
2030,sc01,01-21 08:00:00+01:00,Node_1,15.0
2030,sc01,01-21 08:00:00+01:00,Node_5,15.000000000000002
2030,sc01,01-31 19:00:00+01:00,Node_6,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_7,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_3,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_9,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_2,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_4,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_8,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_1,14.999999999999998
2030,sc01,01-31 19:00:00+01:00,Node_5,14.999999999999998
2030,sc01,02-05 16:00:00+01:00,Node_6,50.51605619241573
2030,sc01,02-05 16:00:00+01:00,Node_7,50.87092510627342
2030,sc01,02-05 16:00:00+01:00,Node_3,55.2476417105181
2030,sc01,02-05 16:00:00+01:00,Node_9,51.63980775296504
2030,sc01,02-05 16:00:00+01:00,Node_2,59.032910125
2030,sc01,02-05 16:00:00+01:00,Node_4,52.88184895146692
2030,sc01,02-05 16:00:00+01:00,Node_8,51.10750438217853
2030,sc01,02-05 16:00:00+01:00,Node_1,50.516056192415725
2030,sc01,02-05 16:00:00+01:00,Node_5,52.88184895146692
2030,sc01,02-12 13:00:00+01:00,Node_6,15.0
2030,sc01,02-12 13:00:00+01:00,Node_7,15.0
2030,sc01,02-12 13:00:00+01:00,Node_3,15.0
2030,sc01,02-12 13:00:00+01:00,Node_9,15.000000000000002
2030,sc01,02-12 13:00:00+01:00,Node_2,15.0
2030,sc01,02-12 13:00:00+01:00,Node_4,15.0
2030,sc01,02-12 13:00:00+01:00,Node_8,15.0
2030,sc01,02-12 13:00:00+01:00,Node_1,15.0
2030,sc01,02-12 13:00:00+01:00,Node_5,15.0
2030,sc01,02-12 16:00:00+01:00,Node_6,50.51605619241573
