,Weight
sti1,39
sti10,570
sti11,80
sti12,110
sti13,21
sti14,30
sti15,13
sti16,71
sti17,339
sti18,80
sti19,57
sti2,382
sti20,64
sti21,31
sti22,153
sti23,363
sti24,48
sti25,32
sti26,27
sti27,6
sti28,10
sti29,402
sti3,110
sti30,21
sti31,28
sti32,80
sti33,508
sti34,80
sti35,4
sti36,35
sti37,39
sti38,427
sti39,46
sti4,614
sti40,223
sti41,110
sti42,36
sti43,285
sti44,35
sti45,110
sti46,102
sti47,12
sti48,58
sti49,79
sti5,16
sti50,33
sti51,30
sti52,12
sti53,60
sti54,44
sti55,35
sti56,99
sti57,21
sti58,68
sti59,70
sti6,108
sti60,48
sti61,24
sti62,319
sti63,47
sti64,47
sti65,17
sti66,4
sti67,2
sti68,7
sti69,14
sti7,42
sti70,50
sti71,325
sti72,253
sti8,25
sti9,71
stn1,86
stp1,26
stp2,188
stp3,95
stp4,210
stp5,106
stp6,84
stp7,38
stp8,42
