Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_5,eac1,0.6040386910376966
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_5,cac1,0.6040386910376968
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_7,eac1,0.5742845585580668
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_6,eac1,0.9523415351028593
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_1,Node_6,cac2,0.9999983333361111
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_7,Node_8,eac1,0.07091898277665273
2030,sc01,01-16 19:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_8,Node_9,eac1,0.7412908028837759
2030,sc01,01-16 19:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_9,eac1,0.237925227102362
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_4,eac1,0.8231955412537677
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_6,eac1,0.5837924290923396
2030,sc01,01-16 19:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_8,eac1,0.7458766564910022
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-16 19:00:00+01:00,Node_1,Node_6,eac1,0.9999966666777779
2030,sc01,01-16 19:00:00+01:00,Node_1,Node_6,cac1,0.9999966666777779
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_6,eac1,0.7409990267750468
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_3,eac1,0.17958615581795
2030,sc01,01-16 19:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-16 19:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-19 15:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-19 15:00:00+01:00,Node_4,Node_5,eac1,0.5819185464381785
2030,sc01,01-19 15:00:00+01:00,Node_4,Node_5,cac1,0.5819185464381785
