Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-30 22:00:00+01:00,CCGT_4,0.0
2030,sc01,01-30 22:00:00+01:00,CCGT_3,0.0
2030,sc01,01-30 22:00:00+01:00,OCGT_2,0.0
2030,sc01,01-30 22:00:00+01:00,CCGT_1,0.0
2030,sc01,01-30 22:00:00+01:00,OCGT_3,0.0
2030,sc01,01-30 22:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-30 22:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-30 22:00:00+01:00,BrownLignite,0.0
2030,sc01,01-30 22:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-30 22:00:00+01:00,CCGT_2,0.0
2030,sc01,01-30 22:00:00+01:00,OCGT_1,0.0
2030,sc01,01-30 22:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-30 22:00:00+01:00,Nuclear,0.3158455042740661
2030,sc01,04-02 17:00:00+02:00,CCGT_4,0.0
2030,sc01,04-02 17:00:00+02:00,CCGT_3,0.0
2030,sc01,04-02 17:00:00+02:00,OCGT_2,0.0
2030,sc01,04-02 17:00:00+02:00,CCGT_1,0.0
2030,sc01,04-02 17:00:00+02:00,OCGT_3,0.0
2030,sc01,04-02 17:00:00+02:00,ImportedCoal_Bituminous,0.0
2030,sc01,04-02 17:00:00+02:00,DomesticCoal_Anthracite,0.0
2030,sc01,04-02 17:00:00+02:00,BrownLignite,0.0
2030,sc01,04-02 17:00:00+02:00,ImportedCoal_SubBituminous,0.0
2030,sc01,04-02 17:00:00+02:00,CCGT_2,0.0
2030,sc01,04-02 17:00:00+02:00,OCGT_1,0.0
2030,sc01,04-02 17:00:00+02:00,FuelOilGas,0.0
2030,sc01,04-02 17:00:00+02:00,Nuclear,0.7200102759421981
2030,sc01,04-11 07:00:00+02:00,CCGT_4,0.15582338052284628
2030,sc01,04-11 07:00:00+02:00,CCGT_3,0.11527087217168255
2030,sc01,04-11 07:00:00+02:00,OCGT_2,0.0
2030,sc01,04-11 07:00:00+02:00,CCGT_1,0.0
2030,sc01,04-11 07:00:00+02:00,OCGT_3,0.0
2030,sc01,04-11 07:00:00+02:00,ImportedCoal_Bituminous,0.0
2030,sc01,04-11 07:00:00+02:00,DomesticCoal_Anthracite,0.0
2030,sc01,04-11 07:00:00+02:00,BrownLignite,0.0
2030,sc01,04-11 07:00:00+02:00,ImportedCoal_SubBituminous,0.0
2030,sc01,04-11 07:00:00+02:00,CCGT_2,0.7874470579283177
2030,sc01,04-11 07:00:00+02:00,OCGT_1,0.0
2030,sc01,04-11 07:00:00+02:00,FuelOilGas,0.0
2030,sc01,04-11 07:00:00+02:00,Nuclear,1.0
2030,sc01,04-14 10:00:00+02:00,CCGT_4,0.0
2030,sc01,04-14 10:00:00+02:00,CCGT_3,0.0
2030,sc01,04-14 10:00:00+02:00,OCGT_2,0.0
2030,sc01,04-14 10:00:00+02:00,CCGT_1,0.0
2030,sc01,04-14 10:00:00+02:00,OCGT_3,0.0
2030,sc01,04-14 10:00:00+02:00,ImportedCoal_Bituminous,0.0
2030,sc01,04-14 10:00:00+02:00,DomesticCoal_Anthracite,0.0
2030,sc01,04-14 10:00:00+02:00,BrownLignite,0.0
2030,sc01,04-14 10:00:00+02:00,ImportedCoal_SubBituminous,0.0
2030,sc01,04-14 10:00:00+02:00,CCGT_2,0.0
2030,sc01,04-14 10:00:00+02:00,OCGT_1,0.0
2030,sc01,04-14 10:00:00+02:00,FuelOilGas,0.0
2030,sc01,04-14 10:00:00+02:00,Nuclear,0.13299635665889054
2030,sc01,06-13 10:00:00+02:00,CCGT_4,0.0
2030,sc01,06-13 10:00:00+02:00,CCGT_3,0.0
2030,sc01,06-13 10:00:00+02:00,OCGT_2,0.0
2030,sc01,06-13 10:00:00+02:00,CCGT_1,0.0777380992477777
2030,sc01,06-13 10:00:00+02:00,OCGT_3,0.0
2030,sc01,06-13 10:00:00+02:00,ImportedCoal_Bituminous,0.0
2030,sc01,06-13 10:00:00+02:00,DomesticCoal_Anthracite,0.0
2030,sc01,06-13 10:00:00+02:00,BrownLignite,0.0
2030,sc01,06-13 10:00:00+02:00,ImportedCoal_SubBituminous,0.0
2030,sc01,06-13 10:00:00+02:00,CCGT_2,0.0
2030,sc01,06-13 10:00:00+02:00,OCGT_1,0.0
2030,sc01,06-13 10:00:00+02:00,FuelOilGas,0.0
2030,sc01,06-13 10:00:00+02:00,Nuclear,0.37777205039153844
2030,sc01,06-17 13:00:00+02:00,CCGT_4,0.0
2030,sc01,06-17 13:00:00+02:00,CCGT_3,0.0
2030,sc01,06-17 13:00:00+02:00,OCGT_2,0.0
2030,sc01,06-17 13:00:00+02:00,CCGT_1,0.0
2030,sc01,06-17 13:00:00+02:00,OCGT_3,0.0
2030,sc01,06-17 13:00:00+02:00,ImportedCoal_Bituminous,0.0
2030,sc01,06-17 13:00:00+02:00,DomesticCoal_Anthracite,0.0
2030,sc01,06-17 13:00:00+02:00,BrownLignite,0.0
2030,sc01,06-17 13:00:00+02:00,ImportedCoal_SubBituminous,0.0
2030,sc01,06-17 13:00:00+02:00,CCGT_2,0.0
2030,sc01,06-17 13:00:00+02:00,OCGT_1,0.0
2030,sc01,06-17 13:00:00+02:00,FuelOilGas,0.0
2030,sc01,06-17 13:00:00+02:00,Nuclear,0.18211159555080345
2030,sc01,06-24 18:00:00+02:00,CCGT_4,0.0
2030,sc01,06-24 18:00:00+02:00,CCGT_3,0.0
2030,sc01,06-24 18:00:00+02:00,OCGT_2,0.0
2030,sc01,06-24 18:00:00+02:00,CCGT_1,0.0
2030,sc01,06-24 18:00:00+02:00,OCGT_3,0.0
2030,sc01,06-24 18:00:00+02:00,ImportedCoal_Bituminous,0.0
2030,sc01,06-24 18:00:00+02:00,DomesticCoal_Anthracite,0.0
2030,sc01,06-24 18:00:00+02:00,BrownLignite,0.0
