Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-09 21:00:00+01:00,CCGT_3,0.6531658533716692
2030,sc01,01-09 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-09 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-09 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-09 21:00:00+01:00,CCGT_2,0.0
2030,sc01,01-09 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-09 21:00:00+01:00,CCGT_4,0.0
2030,sc01,01-09 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-09 21:00:00+01:00,CCGT_1,0.0
2030,sc01,01-09 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-09 21:00:00+01:00,Nuclear,0.0
2030,sc01,01-09 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-09 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_3,47.873253555688095
2030,sc01,01-10 09:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 09:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_2,21.60720032641698
2030,sc01,01-10 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_4,21.4222157722508
2030,sc01,01-10 09:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 09:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 09:00:00+01:00,BrownLignite,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_3,44.09068381632363
2030,sc01,01-16 07:00:00+01:00,OCGT_1,0.0
2030,sc01,01-16 07:00:00+01:00,OCGT_3,0.0
2030,sc01,01-16 07:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_2,88.35492928991181
2030,sc01,01-16 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_4,0.0
2030,sc01,01-16 07:00:00+01:00,OCGT_2,0.0
