Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-08 11:00:00+01:00,OCGT_3,1.0
2030,sc01,01-08 11:00:00+01:00,Nuclear,1.0
2030,sc01,01-08 11:00:00+01:00,ImportedCoal_SubBituminous,1.0
2030,sc01,01-08 11:00:00+01:00,CCGT_4,1.0
2030,sc01,01-08 11:00:00+01:00,CCGT_2,0.0
2030,sc01,01-08 11:00:00+01:00,OCGT_1,1.0
2030,sc01,01-08 11:00:00+01:00,CCGT_3,0.6823434269894382
2030,sc01,01-08 11:00:00+01:00,DomesticCoal_Anthracite,1.0
2030,sc01,01-08 11:00:00+01:00,CCGT_1,0.8329404882505619
2030,sc01,01-08 11:00:00+01:00,ImportedCoal_Bituminous,1.0
2030,sc01,01-08 11:00:00+01:00,BrownLignite,1.0
2030,sc01,01-08 11:00:00+01:00,FuelOilGas,1.0
2030,sc01,01-08 11:00:00+01:00,OCGT_2,1.0
2030,sc01,01-09 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-09 21:00:00+01:00,Nuclear,0.7211655583372214
2030,sc01,01-09 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-09 21:00:00+01:00,CCGT_4,0.0
2030,sc01,01-09 21:00:00+01:00,CCGT_2,0.49916404065864484
2030,sc01,01-09 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-09 21:00:00+01:00,CCGT_3,0.12224596616791691
2030,sc01,01-09 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-09 21:00:00+01:00,CCGT_1,0.16705951174943812
2030,sc01,01-09 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-09 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-09 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-09 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 09:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 09:00:00+01:00,Nuclear,0.9185302930132193
2030,sc01,01-10 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_2,0.557204885099556
2030,sc01,01-10 09:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_3,0.6108576224844441
2030,sc01,01-10 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 09:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 09:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 09:00:00+01:00,OCGT_2,0.0
2030,sc01,01-16 07:00:00+01:00,OCGT_3,0.0
2030,sc01,01-16 07:00:00+01:00,Nuclear,0.3603041486495593
2030,sc01,01-16 07:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_4,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_2,0.9436310742417992
2030,sc01,01-16 07:00:00+01:00,OCGT_1,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_3,0.16147194934184383
2030,sc01,01-16 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_1,0.27054404324035664
2030,sc01,01-16 07:00:00+01:00,ImportedCoal_Bituminous,0.0
