Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_6,eac1,0.06730825447606742
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_4,eac1,0.3
2030,sc01,01-08 11:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_5,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_3,eac1,-0.1900768245939326
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_9,eac1,-0.04424246055176967
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_1,Node_6,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_1,Node_6,eac1,0.3
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_8,eac1,0.11693375114517973
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_6,eac1,-0.041595236731348295
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_6,eac1,-0.1370188091429494
2030,sc01,01-08 11:00:00+01:00,Node_1,Node_6,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_7,eac1,0.11128510435658989
2030,sc01,01-08 11:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_8,Node_9,eac1,0.06726149785176966
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-08 11:00:00+01:00,Node_7,Node_8,eac1,-0.020760467603410104
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-08 11:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_4,Node_5,eac1,0.3
2030,sc01,01-08 11:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-08 11:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-10 09:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_6,eac1,0.1407337293127921
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_4,eac1,0.3
2030,sc01,01-10 09:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-10 09:00:00+01:00,Node_4,Node_5,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-10 09:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-10 09:00:00+01:00,Node_2,Node_3,eac1,-0.2483863218681075
2030,sc01,01-10 09:00:00+01:00,Node_4,Node_9,eac1,0.03707439639450644
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-10 09:00:00+01:00,Node_1,Node_6,cac2,0.0
2030,sc01,01-10 09:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-10 09:00:00+01:00,Node_1,Node_6,eac1,0.3
2030,sc01,01-10 09:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-10 09:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-10 09:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-10 09:00:00+01:00,Node_6,Node_8,eac1,0.13627609252766232
2030,sc01,01-10 09:00:00+01:00,Node_2,Node_6,cac2,0.0
