,Weight
sti1,19
sti10,17
sti100,19
sti101,51
sti102,144
sti103,6
sti104,5
sti105,6
sti106,31
sti107,1
sti108,32
sti109,30
sti11,53
sti110,143
sti111,21
sti112,32
sti113,11
sti114,11
sti115,1
sti116,34
sti117,81
sti118,11
sti119,1
sti12,32
sti120,3
sti121,10
sti122,7
sti123,15
sti124,100
sti125,37
sti126,11
sti127,1
sti128,30
sti129,14
sti13,13
sti130,3
sti131,98
sti132,194
sti133,3
sti134,50
sti135,1
sti136,17
sti137,11
sti138,6
sti139,45
sti14,7
sti140,274
sti141,6
sti142,3
sti143,98
sti144,41
sti145,5
sti146,1
sti147,13
sti148,7
sti149,237
sti15,54
sti150,22
sti151,7
sti152,11
sti153,25
sti154,60
sti155,5
sti156,17
sti157,8
sti158,8
sti159,31
sti16,8
sti160,106
sti161,65
sti162,2
sti163,93
sti164,10
sti165,13
sti166,10
sti167,80
sti168,88
sti169,30
sti17,60
sti170,116
sti171,4
sti172,3
sti173,4
sti174,62
sti175,7
sti176,17
sti177,13
sti178,23
sti179,6
sti18,155
sti180,15
sti181,15
sti182,95
sti183,5
sti184,68
sti185,4
sti186,7
sti187,15
sti188,3
sti189,91
sti19,1
sti190,29
sti191,11
sti192,78
sti193,230
sti194,26
sti195,86
sti196,83
sti197,62
sti198,106
sti199,2
sti2,243
sti20,123
sti200,6
sti21,8
sti22,234
sti23,18
sti24,25
sti25,5
sti26,22
sti27,1
sti28,8
sti29,4
sti3,1
sti30,89
sti31,40
sti32,16
sti33,5
sti34,6
sti35,1
sti36,32
sti37,9
sti38,260
sti39,120
sti4,2
sti40,187
sti41,11
sti42,254
sti43,9
sti44,9
sti45,3
sti46,140
sti47,80
sti48,1
sti49,42
sti5,4
sti50,2
sti51,6
sti52,47
sti53,111
sti54,6
sti55,5
sti56,55
sti57,19
sti58,30
sti59,13
sti6,81
sti60,3
sti61,110
sti62,13
sti63,5
sti64,77
sti65,37
sti66,182
sti67,33
sti68,8
sti69,9
sti7,18
sti70,55
sti71,9
sti72,24
sti73,110
sti74,30
sti75,6
sti76,4
sti77,5
sti78,176
sti79,58
sti8,26
sti80,98
sti81,22
sti82,157
sti83,19
sti84,4
sti85,68
sti86,3
sti87,1
sti88,8
sti89,5
sti9,95
sti90,24
sti91,12
sti92,75
sti93,12
sti94,78
sti95,110
sti96,59
sti97,12
sti98,6
sti99,69
