Period,Scenario,LoadLevel,mEUR
2030,sc01,01-05 02:00:00+01:00,1887347.9999103537
2030,sc01,01-05 18:00:00+01:00,41916.0625856731
2030,sc01,01-21 06:00:00+01:00,3075490.335065438
2030,sc01,01-24 18:00:00+01:00,101962.75678538921
2030,sc01,01-26 23:00:00+01:00,1648761.2121264392
2030,sc01,02-03 18:00:00+01:00,456882.3680025841
2030,sc01,02-11 20:00:00+01:00,291599.94297556847
2030,sc01,02-12 02:00:00+01:00,8815112.646334803
2030,sc01,02-12 12:00:00+01:00,967143.9735881349
2030,sc01,02-14 18:00:00+01:00,388062.96670436446
2030,sc01,02-16 14:00:00+01:00,0.0
2030,sc01,02-24 20:00:00+01:00,56098.11781901488
2030,sc01,02-24 23:00:00+01:00,1460066.8962789665
2030,sc01,02-27 09:00:00+01:00,2098262.0559642357
2030,sc01,03-03 19:00:00+01:00,137987.8989135437
2030,sc01,03-08 09:00:00+01:00,2073789.0328127965
2030,sc01,03-08 18:00:00+01:00,238725.23593105047
2030,sc01,03-15 06:00:00+01:00,0.0
2030,sc01,03-16 00:00:00+01:00,0.0
2030,sc01,03-17 00:00:00+01:00,4781773.40566826
2030,sc01,03-28 16:00:00+01:00,396902.76693465386
2030,sc01,03-28 18:00:00+01:00,321140.8251814805
2030,sc01,03-31 02:00:00+01:00,0.0
2030,sc01,04-15 22:00:00+02:00,47707.853542633784
2030,sc01,05-03 20:00:00+02:00,179594.7262605402
2030,sc01,05-10 12:00:00+02:00,258787.3211825578
2030,sc01,05-15 11:00:00+02:00,0.0
2030,sc01,05-21 03:00:00+02:00,0.0
2030,sc01,05-25 00:00:00+02:00,0.0
2030,sc01,06-01 20:00:00+02:00,1091970.7233498553
2030,sc01,06-03 18:00:00+02:00,567054.0659089148
2030,sc01,06-27 23:00:00+02:00,0.0
2030,sc01,07-02 18:00:00+02:00,81287.58922227626
2030,sc01,07-03 14:00:00+02:00,98571.24904130414
2030,sc01,07-28 06:00:00+02:00,1314013.8413723696
2030,sc01,07-30 14:00:00+02:00,0.0
2030,sc01,07-30 20:00:00+02:00,1330071.9865123942
2030,sc01,08-01 22:00:00+02:00,6943451.866581609
2030,sc01,08-06 04:00:00+02:00,459854.4237124023
2030,sc01,08-10 14:00:00+02:00,178239.85491883956
2030,sc01,08-16 16:00:00+02:00,2236402.9341454324
2030,sc01,08-20 17:00:00+02:00,129024.69096615388
2030,sc01,08-24 20:00:00+02:00,1028606.6653534909
2030,sc01,08-28 11:00:00+02:00,87127.69447751301
2030,sc01,08-29 16:00:00+02:00,35453.14801748347
2030,sc01,09-06 18:00:00+02:00,14433.064616108772
2030,sc01,09-07 20:00:00+02:00,827062.4232229394
2030,sc01,09-09 09:00:00+02:00,3640348.670257211
2030,sc01,09-11 20:00:00+02:00,4627762.679050526
2030,sc01,09-16 04:00:00+02:00,0.0
2030,sc01,09-21 03:00:00+02:00,1211629.0033878952
2030,sc01,09-29 18:00:00+02:00,192436.79034340018
2030,sc01,10-13 18:00:00+02:00,1156.593280977224
2030,sc01,10-20 11:00:00+02:00,4722749.381787582
2030,sc01,10-20 17:00:00+02:00,169825.18251575134
2030,sc01,10-22 18:00:00+02:00,226897.34014785092
2030,sc01,10-28 22:00:00+01:00,1493120.7819368027
2030,sc01,10-29 02:00:00+01:00,2539870.666955906
2030,sc01,10-29 15:00:00+01:00,9656592.877421243
2030,sc01,10-30 18:00:00+01:00,54268.24289530361
2030,sc01,10-31 04:00:00+01:00,3567274.178011697
2030,sc01,11-01 22:00:00+01:00,0.0
2030,sc01,11-07 04:00:00+01:00,5278157.672074182
2030,sc01,11-07 17:00:00+01:00,493125.42443899007
2030,sc01,11-08 02:00:00+01:00,1922177.89989964
2030,sc01,11-09 23:00:00+01:00,825659.635838337
2030,sc01,11-18 13:00:00+01:00,0.0
2030,sc01,11-20 17:00:00+01:00,223176.55200467314
2030,sc01,11-23 18:00:00+01:00,237802.89334598288
2030,sc01,11-28 18:00:00+01:00,4665.359006501168
2030,sc01,11-28 20:00:00+01:00,10038.001135787987
2030,sc01,12-08 17:00:00+01:00,4797.164061151923
2030,sc01,12-09 17:00:00+01:00,41173.66581378637
2030,sc01,12-12 20:00:00+01:00,140569.20507821548
2030,sc01,12-14 19:00:00+01:00,9916.406720624045
2030,sc01,12-24 19:00:00+01:00,114056.79439785272
2030,sc01,12-25 20:00:00+01:00,415647.26376448973
2030,sc01,12-27 19:00:00+01:00,1032634.7844226625
2030,sc01,12-28 17:00:00+01:00,84832.43926338725
2030,sc01,12-28 19:00:00+01:00,139764.2404119172
