Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-05 02:00:00+01:00,bus004,bus011,eac1,0.4766682808045896
2030,sc01,01-05 02:00:00+01:00,bus013,bus015,eac1,0.4171967504528388
2030,sc01,01-05 02:00:00+01:00,bus019,bus034,eac1,0.2644997624248111
2030,sc01,01-05 02:00:00+01:00,bus068,bus069,cac1,0.2865360911761976
2030,sc01,01-05 02:00:00+01:00,bus034,bus037,eac1,0.14281318351897004
2030,sc01,01-05 02:00:00+01:00,bus095,bus096,eac1,0.33987241990640893
2030,sc01,01-05 02:00:00+01:00,bus006,bus007,eac1,0.18420335213096864
2030,sc01,01-05 02:00:00+01:00,bus026,bus025,eac1,0.39879740980539685
2030,sc01,01-05 02:00:00+01:00,bus024,bus070,eac1,0.24516075977163201
2030,sc01,01-05 02:00:00+01:00,bus071,bus073,eac1,0.0
2030,sc01,01-05 02:00:00+01:00,bus038,bus065,cac2,0.427006654331581
2030,sc01,01-05 02:00:00+01:00,bus004,bus005,eac1,0.28956822720236924
2030,sc01,01-05 02:00:00+01:00,bus011,bus013,eac1,0.027658513980790264
2030,sc01,01-05 02:00:00+01:00,bus017,bus113,cac2,0.0
2030,sc01,01-05 02:00:00+01:00,bus062,bus066,eac1,0.08616295765698914
2030,sc01,01-05 02:00:00+01:00,bus104,bus105,eac1,0.3817520379708313
2030,sc01,01-05 02:00:00+01:00,bus045,bus049,eac1,0.14847177398366523
2030,sc01,01-05 02:00:00+01:00,bus025,bus027,eac1,0.226687661200855
2030,sc01,01-05 02:00:00+01:00,bus079,bus080,eac1,0.5530346001718912
2030,sc01,01-05 02:00:00+01:00,bus055,bus059,eac1,0.07856072856865437
2030,sc01,01-05 02:00:00+01:00,bus086,bus087,eac1,0.21277915463206604
2030,sc01,01-05 02:00:00+01:00,bus035,bus036,eac1,0.020315197518420116
2030,sc01,01-05 02:00:00+01:00,bus022,bus023,eac1,0.19883673563476115
2030,sc01,01-05 02:00:00+01:00,bus028,bus029,eac1,0.08458074838014047
2030,sc01,01-05 02:00:00+01:00,bus051,bus052,eac1,0.07548652785220651
2030,sc01,01-05 02:00:00+01:00,bus068,bus081,eac1,0.5871023940403346
