Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-08 19:00:00+01:00,CT NG 04,11.5252320252465
2030,sc01,01-08 19:00:00+01:00,CT NG 36,0.0
2030,sc01,01-08 19:00:00+01:00,ST NG 04,13.917148671887999
2030,sc01,01-08 19:00:00+01:00,ST Other 02,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 54,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 36,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 15,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 45,28.102939503984906
2030,sc01,01-08 19:00:00+01:00,CC NG 24,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 15,14.550015269556004
2030,sc01,01-08 19:00:00+01:00,CC NG 32,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 11,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 06,6.726262249458
2030,sc01,01-08 19:00:00+01:00,CT NG 01,11.827914886515602
2030,sc01,01-08 19:00:00+01:00,CT NG 22,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 31,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 67,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 44,28.102939503984906
2030,sc01,01-08 19:00:00+01:00,CC NG 14,62.409633350790244
2030,sc01,01-08 19:00:00+01:00,CT NG 68,21.7171227478983
2030,sc01,01-08 19:00:00+01:00,CT NG 70,20.40293078843898
2030,sc01,01-08 19:00:00+01:00,CT NG 13,11.173159477583999
2030,sc01,01-08 19:00:00+01:00,CT NG 52,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 05,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 56,21.664158324089396
2030,sc01,01-08 19:00:00+01:00,CT NG 08,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 25,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 02,11.815320914446803
2030,sc01,01-08 19:00:00+01:00,CT NG 53,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 27,11.586992809173003
2030,sc01,01-08 19:00:00+01:00,CC NG 04,107.00020240959999
2030,sc01,01-08 19:00:00+01:00,CT NG 69,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 12,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 08,5.304867946292199
2030,sc01,01-08 19:00:00+01:00,ST NG 09,0.0
2030,sc01,01-08 19:00:00+01:00,ST NG 06,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 23,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 07,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 50,23.164366699226278
2030,sc01,01-08 19:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,01-08 19:00:00+01:00,CT NG 66,12.855935884530783
2030,sc01,01-08 19:00:00+01:00,CC NG 33,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 24,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 26,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 47,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 48,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 49,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 10,0.0
2030,sc01,01-08 19:00:00+01:00,CT Oil 05,37.253901304079996
2030,sc01,01-08 19:00:00+01:00,CC NG 21,0.0
2030,sc01,01-08 19:00:00+01:00,CC NG 34,0.0
2030,sc01,01-08 19:00:00+01:00,CT NG 14,11.173159477583999
