Period,Scenario,LoadLevel,Node,GWh
2030,sc01,01-07 19:00:00+01:00,bus063,0.0
2030,sc01,01-07 19:00:00+01:00,bus094,0.0
2030,sc01,01-07 19:00:00+01:00,bus079,0.0
2030,sc01,01-07 19:00:00+01:00,bus037,0.0
2030,sc01,01-07 19:00:00+01:00,bus056,0.0
2030,sc01,01-07 19:00:00+01:00,bus103,0.0
2030,sc01,01-07 19:00:00+01:00,bus099,0.116510554
2030,sc01,01-07 19:00:00+01:00,bus076,0.0
2030,sc01,01-07 19:00:00+01:00,bus086,0.0
2030,sc01,01-07 19:00:00+01:00,bus055,0.0
2030,sc01,01-07 19:00:00+01:00,bus022,0.0
2030,sc01,01-07 19:00:00+01:00,bus043,0.0
2030,sc01,01-07 19:00:00+01:00,bus058,0.0
2030,sc01,01-07 19:00:00+01:00,bus041,0.0
2030,sc01,01-07 19:00:00+01:00,bus049,0.0
2030,sc01,01-07 19:00:00+01:00,bus025,0.0
2030,sc01,01-07 19:00:00+01:00,bus030,0.0
2030,sc01,01-07 19:00:00+01:00,bus082,0.0
2030,sc01,01-07 19:00:00+01:00,bus038,0.0
2030,sc01,01-07 19:00:00+01:00,bus065,0.0
2030,sc01,01-07 19:00:00+01:00,bus024,0.0
2030,sc01,01-07 19:00:00+01:00,bus054,0.0
2030,sc01,01-07 19:00:00+01:00,bus109,0.0
2030,sc01,01-07 19:00:00+01:00,bus020,0.0
2030,sc01,01-07 19:00:00+01:00,bus107,0.0
2030,sc01,01-07 19:00:00+01:00,bus095,0.0
2030,sc01,01-07 19:00:00+01:00,bus011,0.0
2030,sc01,01-07 19:00:00+01:00,bus053,0.0
2030,sc01,01-07 19:00:00+01:00,bus039,0.06285764080162647
2030,sc01,01-07 19:00:00+01:00,bus081,0.0
2030,sc01,01-07 19:00:00+01:00,bus084,0.0
2030,sc01,01-07 19:00:00+01:00,bus023,0.0
2030,sc01,01-07 19:00:00+01:00,bus057,0.0
2030,sc01,01-07 19:00:00+01:00,bus066,0.0
2030,sc01,01-07 19:00:00+01:00,bus007,0.0
2030,sc01,01-07 19:00:00+01:00,bus060,0.0
2030,sc01,01-07 19:00:00+01:00,bus116,0.0
2030,sc01,01-07 19:00:00+01:00,bus046,0.0
2030,sc01,01-07 19:00:00+01:00,bus040,0.0
2030,sc01,01-07 19:00:00+01:00,bus077,0.0
2030,sc01,01-07 19:00:00+01:00,bus031,0.0
2030,sc01,01-07 19:00:00+01:00,bus029,0.0
2030,sc01,01-07 19:00:00+01:00,bus045,0.0
2030,sc01,01-07 19:00:00+01:00,bus064,0.0
2030,sc01,01-07 19:00:00+01:00,bus083,0.0
2030,sc01,01-07 19:00:00+01:00,bus106,0.0
2030,sc01,01-07 19:00:00+01:00,bus036,0.11338064610000001
2030,sc01,01-07 19:00:00+01:00,bus117,0.100800326
2030,sc01,01-07 19:00:00+01:00,bus102,0.0
2030,sc01,01-07 19:00:00+01:00,bus019,0.0
2030,sc01,01-07 19:00:00+01:00,bus093,0.0
2030,sc01,01-07 19:00:00+01:00,bus071,0.0
2030,sc01,01-07 19:00:00+01:00,bus070,0.0
2030,sc01,01-07 19:00:00+01:00,bus091,0.0
2030,sc01,01-07 19:00:00+01:00,bus112,0.0
2030,sc01,01-07 19:00:00+01:00,bus111,0.0
2030,sc01,01-07 19:00:00+01:00,bus105,0.0
2030,sc01,01-07 19:00:00+01:00,bus097,0.0
2030,sc01,01-07 19:00:00+01:00,bus078,0.0
2030,sc01,01-07 19:00:00+01:00,bus073,0.0
2030,sc01,01-07 19:00:00+01:00,bus088,0.0
2030,sc01,01-07 19:00:00+01:00,bus080,0.0
2030,sc01,01-07 19:00:00+01:00,bus001,0.06708340901070659
2030,sc01,01-07 19:00:00+01:00,bus067,0.0
2030,sc01,01-07 19:00:00+01:00,bus026,0.0
2030,sc01,01-07 19:00:00+01:00,bus006,0.0
2030,sc01,01-07 19:00:00+01:00,bus012,0.0
2030,sc01,01-07 19:00:00+01:00,bus028,0.0
2030,sc01,01-07 19:00:00+01:00,bus004,0.1748392606193306
2030,sc01,01-07 19:00:00+01:00,bus101,0.0
2030,sc01,01-07 19:00:00+01:00,bus044,0.0
