Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-03 14:00:00+01:00,bus033,bus037,cac1,0.0
2030,sc01,01-03 14:00:00+01:00,bus082,bus096,eac1,-0.006396672854314112
2030,sc01,01-03 14:00:00+01:00,bus042,bus049,eac2,-0.1292285057969853
2030,sc01,01-03 14:00:00+01:00,bus041,bus042,eac1,0.011461162395346058
2030,sc01,01-03 14:00:00+01:00,bus015,bus033,cac1,0.0
2030,sc01,01-03 14:00:00+01:00,bus100,bus101,eac1,-0.29189431050000003
2030,sc01,01-03 14:00:00+01:00,bus083,bus084,eac1,-0.09296346036132175
2030,sc01,01-03 14:00:00+01:00,bus069,bus070,eac1,0.32959910582475316
2030,sc01,01-03 14:00:00+01:00,bus023,bus024,eac1,0.07998149838262913
2030,sc01,01-03 14:00:00+01:00,bus077,bus082,eac1,0.10834391568843038
2030,sc01,01-03 14:00:00+01:00,bus003,bus005,cac1,0.0
2030,sc01,01-03 14:00:00+01:00,bus094,bus100,cac1,0.402
2030,sc01,01-03 14:00:00+01:00,bus017,bus113,cac1,0.3154543677173224
2030,sc01,01-03 14:00:00+01:00,bus011,bus013,cac1,0.0
2030,sc01,01-03 14:00:00+01:00,bus005,bus006,cac1,-0.2619437443405549
2030,sc01,01-03 14:00:00+01:00,bus042,bus049,eac1,-0.1292285057969853
2030,sc01,01-03 14:00:00+01:00,bus092,bus102,eac1,0.014998665060223237
2030,sc01,01-03 14:00:00+01:00,bus108,bus109,eac1,0.2562493927534403
2030,sc01,01-03 14:00:00+01:00,bus040,bus041,eac1,0.14373985129534605
2030,sc01,01-03 14:00:00+01:00,bus049,bus051,eac1,0.20625702869907658
2030,sc01,01-03 14:00:00+01:00,bus051,bus052,eac1,0.08685382897849392
2030,sc01,01-03 14:00:00+01:00,bus075,bus118,eac1,0.054605534098355335
2030,sc01,01-03 14:00:00+01:00,bus085,bus086,eac1,0.10588850549999984
2030,sc01,01-03 14:00:00+01:00,bus009,bus010,eac1,0.0
2030,sc01,01-03 14:00:00+01:00,bus056,bus059,eac1,-0.011745744791544999
2030,sc01,01-03 14:00:00+01:00,bus037,bus040,eac1,0.23258842721519835
2030,sc01,01-03 14:00:00+01:00,bus068,bus116,eac1,0.6032024247999999
2030,sc01,01-03 14:00:00+01:00,bus068,bus081,eac1,-0.5963862685545207
