Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-03 14:00:00+01:00,DG-BTM,3.1673242352
2030,sc01,01-03 14:00:00+01:00,Oil,0.0
2030,sc01,01-03 14:00:00+01:00,Coal,0.0
2030,sc01,01-03 14:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-03 14:00:00+01:00,WT-Onshore,24.952596271879393
2030,sc01,01-03 14:00:00+01:00,Biomass,0.0
2030,sc01,01-03 14:00:00+01:00,Geothermal,0.0
2030,sc01,01-03 14:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-03 14:00:00+01:00,SolarPV-NonTracking,10.143478935142104
2030,sc01,01-03 14:00:00+01:00,Battery,0.0
2030,sc01,01-03 14:00:00+01:00,Hydro,18.089590740169466
2030,sc01,01-03 14:00:00+01:00,Natural gas,0.9115202820849533
2030,sc01,01-03 14:00:00+01:00,SolarPV-Tracking,9.1523695082561
2030,sc01,01-04 17:00:00+01:00,DG-BTM,1.17150325933
2030,sc01,01-04 17:00:00+01:00,Oil,0.0
2030,sc01,01-04 17:00:00+01:00,Coal,0.0
2030,sc01,01-04 17:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-04 17:00:00+01:00,WT-Onshore,40.37807995694691
2030,sc01,01-04 17:00:00+01:00,Biomass,0.0
2030,sc01,01-04 17:00:00+01:00,Geothermal,0.08
2030,sc01,01-04 17:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-04 17:00:00+01:00,SolarPV-NonTracking,6.785995878215
2030,sc01,01-04 17:00:00+01:00,Battery,0.0
2030,sc01,01-04 17:00:00+01:00,Hydro,24.803251835861936
2030,sc01,01-04 17:00:00+01:00,Natural gas,9.135869523086233
2030,sc01,01-04 17:00:00+01:00,SolarPV-Tracking,5.50461496492
2030,sc01,01-07 19:00:00+01:00,DG-BTM,0.0054446639000000005
2030,sc01,01-07 19:00:00+01:00,Oil,0.0
2030,sc01,01-07 19:00:00+01:00,Coal,0.0
2030,sc01,01-07 19:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 19:00:00+01:00,WT-Onshore,8.004904940884115
2030,sc01,01-07 19:00:00+01:00,Biomass,0.0
2030,sc01,01-07 19:00:00+01:00,Geothermal,0.016
2030,sc01,01-07 19:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 19:00:00+01:00,SolarPV-NonTracking,0.036293676345000005
2030,sc01,01-07 19:00:00+01:00,Battery,0.0
2030,sc01,01-07 19:00:00+01:00,Hydro,3.7734541200000007
2030,sc01,01-07 19:00:00+01:00,Natural gas,6.326533145582891
2030,sc01,01-07 19:00:00+01:00,SolarPV-Tracking,0.012773918198
2030,sc01,01-10 15:00:00+01:00,DG-BTM,0.87466027378
2030,sc01,01-10 15:00:00+01:00,Oil,0.0
2030,sc01,01-10 15:00:00+01:00,Coal,0.0
2030,sc01,01-10 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-10 15:00:00+01:00,WT-Onshore,4.838997886766001
2030,sc01,01-10 15:00:00+01:00,Biomass,0.0
2030,sc01,01-10 15:00:00+01:00,Geothermal,0.016
2030,sc01,01-10 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-10 15:00:00+01:00,SolarPV-NonTracking,2.236325696927453
2030,sc01,01-10 15:00:00+01:00,Battery,0.0
2030,sc01,01-10 15:00:00+01:00,Hydro,5.265329022507531
2030,sc01,01-10 15:00:00+01:00,Natural gas,2.377482484208391
2030,sc01,01-10 15:00:00+01:00,SolarPV-Tracking,2.7694422054136534
2030,sc01,01-10 19:00:00+01:00,DG-BTM,0.022309842320000002
2030,sc01,01-10 19:00:00+01:00,Oil,0.0
2030,sc01,01-10 19:00:00+01:00,Coal,0.0
2030,sc01,01-10 19:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-10 19:00:00+01:00,WT-Onshore,11.366807161179997
2030,sc01,01-10 19:00:00+01:00,Biomass,0.0
2030,sc01,01-10 19:00:00+01:00,Geothermal,0.032
2030,sc01,01-10 19:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-10 19:00:00+01:00,SolarPV-NonTracking,0.15349802490599998
2030,sc01,01-10 19:00:00+01:00,Battery,0.0
2030,sc01,01-10 19:00:00+01:00,Hydro,7.557104023999999
2030,sc01,01-10 19:00:00+01:00,Natural gas,19.109334591554013
2030,sc01,01-10 19:00:00+01:00,SolarPV-Tracking,0.05234190872
2030,sc01,01-15 18:00:00+01:00,DG-BTM,0.040213234173999995
2030,sc01,01-15 18:00:00+01:00,Oil,0.0
2030,sc01,01-15 18:00:00+01:00,Coal,0.0
